Date,Open,High,Low,Close,Volume,Market Cap
2017-10-23,479.82,539.72,479.82,500.13,"7,652,060",-
2017-10-24,498.44,500.75,141.09,142.92,"23,301,700",-
2017-10-25,143.15,165.8,125.83,137.09,"16,040,700",-
2017-10-26,137.03,143.64,121.05,136.23,"11,556,600",-
2017-10-27,137.24,137.98,118.33,120.66,"8,217,860",-
2017-10-28,120.52,123.43,106.18,115.82,"5,635,800",-
2017-10-29,115.92,139.26,115.21,139.18,"11,295,300",-
2017-10-30,138.65,138.65,126.42,132.8,"6,730,380",-
2017-10-31,133.84,164.55,132.16,156.73,"18,906,800",-
2017-11-01,157.03,159.76,140.55,144.88,"14,898,100",-
2017-11-02,144.9,147.03,122.97,127.51,"12,020,600",-
2017-11-03,126.35,137.29,123.55,131.76,"8,035,790",-
2017-11-04,131.6,144.41,128.28,142.17,"9,145,650",-
2017-11-05,141.79,175.96,140.0,165.76,"16,915,700",-
2017-11-06,165.49,170.19,148.12,148.77,"10,901,900",-
2017-11-07,149.25,159.22,149.25,153.35,"7,219,510",-
2017-11-08,153.13,159.34,135.21,139.39,"12,513,700",-
2017-11-09,140.51,156.66,138.23,156.66,"13,140,500",-
2017-11-10,157.49,213.4,155.39,213.4,"36,198,500",-
2017-11-11,213.12,509.81,213.12,427.13,"187,191,000",-
2017-11-12,421.75,465.62,281.55,282.41,"90,339,900",-
2017-11-13,277.0,307.26,218.34,249.22,"45,916,500",-
2017-11-14,253.22,253.22,154.05,159.94,"39,340,400",-
2017-11-15,160.54,187.28,151.47,161.69,"30,094,100",-
2017-11-16,161.87,181.33,136.4,140.78,"27,949,200",-
2017-11-17,138.75,165.94,133.05,152.02,"24,935,100",-
2017-11-18,153.07,172.45,151.79,155.73,"24,642,900",-
2017-11-19,154.91,155.55,133.96,135.69,"19,503,400",-
2017-11-20,135.2,247.1,105.79,236.37,"93,826,900",-
2017-11-21,250.85,364.78,201.9,267.21,"370,782,000",-
2017-11-22,264.18,275.05,232.92,241.72,"111,451,000",-
2017-11-23,241.97,299.89,241.97,293.61,"154,038,000",-
2017-11-24,295.75,413.74,284.26,394.22,"537,472,000",-
2017-11-25,394.04,394.04,339.1,356.04,"208,662,000",-
2017-11-26,355.72,366.79,334.74,366.79,"141,228,000","5,930,460,000"
2017-11-27,370.18,387.88,353.67,359.25,"129,160,000","6,172,140,000"
2017-11-28,359.36,360.12,325.56,329.78,"101,004,000","5,992,370,000"
