Date,Open,High,Low,Close,Volume,Market Cap
2014-07-16,0.141961,0.42264300000000005,0.136898,0.296535,"101,409","120,117"
2014-07-17,0.308687,0.42555299999999996,0.216522,0.31711300000000003,"106,818","279,694"
2014-07-18,0.31735,0.412778,0.268776,0.34016599999999997,"67,531","321,760"
2014-07-19,0.334827,0.38925,0.31637600000000005,0.33822199999999997,"49,662","339,480"
2014-07-20,0.338244,0.367562,0.21912800000000002,0.281599,"41,744","342,944"
2014-07-21,0.281622,0.590115,0.228598,0.546539,"134,177","285,536"
2014-07-22,0.5645560000000001,1.62,0.544567,1.23,"519,782","664,848"
2014-07-23,1.25,3.8,0.9608270000000001,0.965044,"189,021","1,467,050"
2014-07-24,0.9553969999999999,1.16,0.725359,0.842857,"120,467","1,125,300"
2014-07-25,0.829601,0.99664,0.802611,0.874777,"64,404","977,214"
2014-07-26,0.875466,0.8964280000000001,0.7615529999999999,0.771066,"26,437","1,031,340"
2014-07-27,0.770807,0.8507620000000001,0.733119,0.751053,"23,347","908,128"
2014-07-28,0.751413,0.810055,0.603482,0.798143,"37,403","885,364"
2014-07-29,0.797953,0.798797,0.708394,0.734462,"11,269","940,272"
2014-07-30,0.73447,0.9266610000000001,0.645907,0.8724139999999999,"33,699","865,571"
2014-07-31,0.842201,0.9519489999999999,0.760127,0.9446950000000001,"41,075","992,614"
2014-08-01,0.933218,1.07,0.880316,0.979377,"31,210","1,099,970"
2014-08-02,0.979248,1.02,0.8596459999999999,0.871466,"31,950","1,154,320"
2014-08-03,0.8708110000000001,1.05,0.8609870000000001,0.972211,"17,249","1,026,560"
2014-08-04,0.971491,1.08,0.962449,1.08,"28,544","1,145,320"
2014-08-05,1.07,2.58,1.06,1.15,"48,528","1,265,600"
2014-08-06,1.16,1.38,1.15,1.32,"42,570","1,370,630"
2014-08-07,1.33,1.66,1.33,1.6,"74,719","1,562,860"
2014-08-08,1.6,2.25,1.6,2.22,"161,520","1,888,800"
2014-08-09,2.22,3.24,2.17,2.32,"346,377","2,616,740"
2014-08-10,2.24,2.43,1.74,2.11,"149,080","2,644,830"
2014-08-11,2.13,2.67,2.06,2.63,"122,231","2,511,180"
2014-08-12,2.64,3.05,2.47,2.47,"250,626","3,111,180"
2014-08-13,2.52,2.67,1.99,2.17,"186,746","2,977,220"
2014-08-14,2.16,2.37,1.94,2.08,"49,123","2,554,550"
2014-08-15,1.99,2.51,1.99,2.05,"56,954","2,344,140"
2014-08-16,2.06,2.1,1.93,1.93,"24,273","2,426,560"
2014-08-17,1.91,2.06,1.82,2.02,"27,159","2,257,840"
