Date,Open,High,Low,Close,Volume,Market Cap
2016-12-27,19.22,25.72,19.14,23.33,"8,827",-
2016-12-28,24.21,26.29,7.75,7.81,"19,916",-
2016-12-29,7.8,15.61,6.81,11.68,"13,275",-
2016-12-30,11.68,14.0,8.23,9.52,"21,293",-
2016-12-31,9.51,14.06,8.69,14.06,"26,068","951,021"
2017-01-01,14.06,22.86,13.54,20.96,"30,436","1,405,980"
2017-01-02,20.97,22.55,16.51,20.95,"7,829","2,097,100"
2017-01-03,20.94,26.1,16.43,26.1,"36,959","2,094,280"
2017-01-04,26.11,31.75,23.48,25.4,"29,046","2,611,000"
2017-01-05,25.45,27.56,17.75,19.25,"4,357","2,544,810"
2017-01-06,19.27,24.02,15.96,16.87,"8,871","1,927,060"
2017-01-07,16.9,22.71,15.57,22.71,"11,774","1,689,520"
2017-01-08,22.7,24.6,19.47,24.6,"10,580","2,270,440"
2017-01-09,24.66,28.01,17.82,24.38,"25,850","2,465,760"
2017-01-10,24.36,24.62,20.01,23.41,"3,815","2,436,500"
2017-01-11,23.41,23.71,16.4,20.05,"3,223","2,340,720"
2017-01-12,19.98,20.14,16.11,18.51,"1,367","1,998,410"
2017-01-13,18.49,21.39,17.95,21.26,"7,048","1,848,600"
2017-01-14,21.29,21.55,19.32,21.03,"3,583","2,128,870"
2017-01-15,21.03,23.04,18.74,20.55,"9,090","2,102,620"
2017-01-16,20.54,21.56,19.99,20.87,"2,439","2,054,460"
2017-01-17,20.86,24.23,19.7,22.28,"13,883","2,085,670"
2017-01-18,22.32,32.9,21.9,24.83,"13,927","2,231,600"
2017-01-19,24.87,36.1,24.76,35.96,"12,986","2,487,340"
2017-01-20,35.93,43.93,34.12,34.91,"25,218","3,592,690"
2017-01-21,34.91,44.25,34.04,41.48,"16,141","3,490,600"
2017-01-22,41.5,44.51,34.54,38.21,"7,681","4,149,920"
2017-01-23,38.24,41.57,34.11,39.51,"17,601","3,824,160"
2017-01-24,39.07,39.07,30.76,37.3,"21,924","3,906,800"
2017-01-25,37.26,37.85,34.77,37.68,"1,691","3,726,460"
2017-01-26,37.72,54.09,37.41,53.68,"35,261","3,772,010"
2017-01-27,53.68,54.74,45.05,45.07,"19,396","5,367,880"
2017-01-28,45.07,53.95,45.07,52.99,"13,500","4,507,070"
2017-01-29,53.02,57.11,49.09,54.8,"54,191","5,301,790"
2017-01-30,54.84,55.02,47.04,49.7,"24,933","5,484,190"
2017-01-31,49.73,52.28,43.21,48.42,"26,874","4,973,180"
2017-02-01,48.45,62.78,48.45,55.39,"35,485","4,845,000"
2017-02-02,55.44,199.49,55.44,98.81,"94,691","5,544,010"
2017-02-03,98.78,98.78,65.64,74.26,"54,642","9,877,920"
2017-02-04,74.36,109.83,54.08,89.69,"175,646","7,435,890"
2017-02-05,89.74,104.26,78.1,78.1,"88,468","8,974,270"
2017-02-06,78.18,98.11,78.16,83.07,"47,269","7,818,310"
2017-02-07,83.23,95.51,83.23,90.21,"44,943","8,323,300"
2017-02-08,90.3,91.1,81.82,90.24,"34,071","9,029,720"
2017-02-09,90.38,91.28,68.19,70.8,"40,774","9,038,240"
2017-02-10,70.89,80.35,68.77,70.39,"50,965","7,088,900"
2017-02-11,70.41,75.48,50.78,51.24,"92,377","7,040,950"
2017-02-12,65.23,78.96,51.11,68.34,"109,947","6,522,880"
2017-02-13,68.32,83.66,68.32,74.3,"52,457","6,832,370"
2017-02-14,74.38,79.22,66.97,66.97,"37,114","8,747,840"
2017-02-15,67.08,73.65,66.9,73.55,"10,215","7,889,750"
2017-02-16,73.56,76.47,70.31,75.92,"22,097","8,651,200"
2017-02-17,75.82,76.2,70.25,70.25,"30,202","8,917,190"
2017-02-18,70.45,76.19,68.52,68.54,"28,040","8,286,150"
2017-02-19,68.56,70.52,53.71,66.02,"41,926","8,063,270"
2017-02-20,66.07,66.09,54.41,57.78,"19,077","7,770,200"
2017-02-21,57.74,66.36,56.09,56.4,"25,582","6,790,980"
2017-02-22,56.38,61.43,46.93,61.29,"48,144","6,630,310"
2017-02-23,61.28,74.86,56.6,66.5,"13,132","7,207,410"
2017-02-24,66.84,72.98,59.2,59.86,"33,501","7,861,580"
2017-02-25,59.69,80.67,59.59,79.37,"37,216","7,020,250"
2017-02-26,79.4,80.62,67.81,79.22,"14,513","9,338,340"
2017-02-27,79.12,79.72,70.86,73.98,"19,243","9,305,530"
2017-02-28,74.03,76.37,59.18,66.08,"59,099","8,706,800"
2017-03-01,65.41,68.18,59.25,63.57,"12,870","7,693,250"
2017-03-02,63.68,65.38,58.38,64.74,"23,083","7,489,800"
2017-03-03,64.72,65.63,57.14,57.63,"10,785","7,611,920"
2017-03-04,57.74,65.01,56.32,61.5,"3,051","6,790,780"
2017-03-05,61.46,72.55,55.96,58.54,"12,198","7,228,330"
2017-03-06,58.56,76.42,58.42,73.55,"13,082","6,886,900"
2017-03-07,73.57,73.7,58.77,65.95,"2,562","8,652,850"
2017-03-08,65.93,66.41,57.02,61.96,"2,000","7,754,270"
2017-03-09,61.98,68.97,57.45,61.14,"6,892","7,289,570"
2017-03-10,61.19,74.7,57.63,65.89,"22,718","7,196,010"
2017-03-11,65.58,70.43,58.83,59.97,"33,670","7,713,310"
2017-03-12,60.01,67.27,41.56,43.73,"47,129","7,057,490"
2017-03-13,41.0,58.93,41.0,58.89,"80,788","4,822,070"
2017-03-14,58.9,58.9,46.32,55.04,"22,914","6,926,900"
2017-03-15,55.05,60.41,48.59,52.48,"25,707","7,566,280"
2017-03-16,52.56,60.9,50.13,54.06,"37,098","7,223,390"
2017-03-17,53.71,59.08,45.08,45.11,"48,325","7,381,890"
2017-03-18,45.09,56.95,45.09,48.69,"50,182","6,196,890"
2017-03-19,48.84,75.75,48.84,67.39,"79,718","6,712,190"
2017-03-20,67.42,75.54,57.88,66.73,"44,417","9,266,130"
2017-03-21,66.8,77.16,66.8,71.49,"15,206","9,181,720"
2017-03-22,71.5,77.31,62.24,63.58,"25,528","9,826,760"
