Date,Open,High,Low,Close,Volume,Market Cap
2014-06-17,6.500000000000001e-05,6.500000000000001e-05,5.9999999999999995e-05,5.9999999999999995e-05,"2,593","10,175,300"
2014-06-18,5.5e-05,7.3e-05,4.9e-05,6.7e-05,"14,531","8,572,420"
2014-06-19,6.7e-05,7.900000000000001e-05,6.1e-05,6.6e-05,"11,923","10,424,400"
2014-06-20,6.6e-05,7.2e-05,5.9e-05,6.500000000000001e-05,"9,531","10,262,500"
2014-06-21,6.500000000000001e-05,6.6e-05,5.9e-05,5.9999999999999995e-05,"9,797","10,197,900"
2014-06-22,5.9e-05,8.4e-05,5.9e-05,7.8e-05,"18,882","9,287,680"
2014-06-23,7.8e-05,8.4e-05,7.6e-05,8.3e-05,"5,535","12,226,800"
2014-06-24,8.3e-05,8.3e-05,5.7999999999999994e-05,5.7999999999999994e-05,"16,144","12,991,300"
2014-06-25,6.4e-05,6.9e-05,5.6999999999999996e-05,5.6999999999999996e-05,"6,862","10,011,100"
2014-06-26,5.6999999999999996e-05,6.9e-05,5.1e-05,5.7999999999999994e-05,"9,498","8,858,100"
2014-06-27,5.7999999999999994e-05,6.500000000000001e-05,5.7999999999999994e-05,5.9999999999999995e-05,"1,567","9,089,320"
2014-06-28,5.9999999999999995e-05,5.9999999999999995e-05,5.4000000000000005e-05,5.4000000000000005e-05,"2,040","9,374,630"
2014-06-29,5.4000000000000005e-05,5.9999999999999995e-05,5.4000000000000005e-05,5.4000000000000005e-05,"2,763","8,400,930"
2014-06-30,5.4000000000000005e-05,6.3e-05,5e-05,5.1e-05,"5,260","8,494,400"
2014-07-01,5.1e-05,5.3e-05,3.9e-05,5.1e-05,"3,807","8,058,680"
2014-07-02,5.1e-05,5.1e-05,3.2e-05,4.6e-05,"2,441","8,028,330"
2014-07-03,4.6e-05,4.6e-05,3.8e-05,3.9e-05,"2,646","7,142,670"
2014-07-04,3.9e-05,5.6999999999999996e-05,3.9e-05,5e-05,"11,741","6,071,930"
2014-07-05,5e-05,5.6999999999999996e-05,4.4e-05,4.4e-05,"2,308","7,910,050"
2014-07-06,4.4e-05,5.1e-05,4.4e-05,4.4e-05,"3,619","6,939,720"
2014-07-07,4.5e-05,5e-05,3.7e-05,3.7e-05,"3,244","6,991,590"
2014-07-08,3.7e-05,4.4e-05,3.1e-05,4.4e-05,"3,122","5,871,570"
2014-07-09,4.4e-05,4.4e-05,3.1e-05,3.1e-05,"1,022","6,879,050"
2014-07-10,3.1e-05,5.6000000000000006e-05,3.1e-05,4.9e-05,"12,453","4,916,300"
2014-07-11,4.9e-05,6.2e-05,4.3e-05,5.1e-05,"10,528","7,760,190"
2014-07-12,5.1e-05,6.3e-05,4.4e-05,4.4e-05,"4,235","7,959,760"
2014-07-13,4.4e-05,5e-05,3.8e-05,3.8e-05,"4,226","6,993,010"
2014-07-14,3.8e-05,5.6000000000000006e-05,3.7e-05,5e-05,"7,401","5,925,250"
2014-07-15,5e-05,5e-05,4.3e-05,4.4e-05,"1,100","7,815,600"
2014-07-16,4.4e-05,5e-05,3.7e-05,3.7e-05,"1,387","6,872,480"
2014-07-17,3.7e-05,4.9e-05,3.7e-05,3.7e-05,"1,098","5,851,570"
2014-07-18,3.7e-05,4.4e-05,3.7e-05,3.8e-05,"1,946","5,899,400"
2014-07-19,3.8e-05,4.4e-05,3.8e-05,3.8e-05,650,"5,971,260"
2014-07-20,3.8e-05,4.4e-05,3.7e-05,3.7e-05,"2,142","5,964,340"
2014-07-21,3.7e-05,4.4e-05,2.5e-05,3.1e-05,"7,383","5,922,150"
2014-07-22,3.1e-05,3.7e-05,3.1e-05,3.1e-05,"1,748","4,923,530"
2014-07-23,3.1e-05,3.7e-05,3.1e-05,3.1e-05,"1,449","4,919,050"
2014-07-24,3.1e-05,3.1e-05,2.9999999999999997e-05,2.9999999999999997e-05,"2,827","4,905,460"
2014-07-25,2.9999999999999997e-05,3.6e-05,2.4e-05,2.9999999999999997e-05,"1,931","4,765,710"
2014-07-26,2.9999999999999997e-05,2.9999999999999997e-05,2.4e-05,2.4e-05,618,"4,757,390"
2014-07-27,2.4e-05,2.9999999999999997e-05,2.4e-05,2.4e-05,329,"3,813,420"
2014-07-28,2.4e-05,2.9999999999999997e-05,2.3e-05,2.4e-05,655,"3,770,510"
2014-07-29,2.4e-05,2.8999999999999997e-05,2.3e-05,2.3e-05,"2,535","3,761,000"
2014-07-30,2.3e-05,2.7000000000000002e-05,2.3e-05,2.5e-05,"5,572","3,701,550"
2014-07-31,2.5e-05,2.5e-05,2e-05,2e-05,"1,229","3,977,150"
2014-08-01,2e-05,2.8000000000000003e-05,1.9e-05,2.4e-05,"2,175","3,120,220"
2014-08-02,2.4e-05,2.6000000000000002e-05,2.1e-05,2.4e-05,"1,724","3,783,140"
2014-08-03,2.4e-05,2.4e-05,2.2e-05,2.3e-05,"3,149","3,743,580"
2014-08-04,2.3e-05,2.4e-05,1.9e-05,1.9e-05,"7,626","3,731,270"
2014-08-05,1.9e-05,2e-05,1.7e-05,1.7e-05,706,"3,072,880"
2014-08-06,1.7e-05,2e-05,1.6e-05,1.8e-05,"7,420","2,771,680"
2014-08-07,1.8e-05,2.1e-05,1.7e-05,1.7e-05,"1,109","2,794,180"
2014-08-08,1.7e-05,2.1e-05,1.7e-05,1.8e-05,"1,019","2,729,870"
2014-08-09,1.8e-05,2.2e-05,1.2e-05,1.6e-05,"2,552","2,835,010"
2014-08-10,1.6e-05,1.8e-05,1.2e-05,1.3000000000000001e-05,632,"2,618,310"
2014-08-11,1.3000000000000001e-05,2e-05,1.2e-05,1.2e-05,899,"2,112,540"
2014-08-12,1.2e-05,1.7e-05,1.1e-05,1.6e-05,"15,690","1,935,790"
2014-08-13,1.6e-05,2.1e-05,1.1e-05,1.7e-05,"1,735","2,529,190"
2014-08-14,1.7e-05,2.4e-05,1.4999999999999999e-05,2.1e-05,"5,393","2,648,230"
2014-08-15,2.1e-05,2.5e-05,2e-05,2.3e-05,"5,821","3,342,750"
2014-08-16,2.3e-05,2.7000000000000002e-05,2e-05,2.6000000000000002e-05,"3,894","3,633,970"
2014-08-17,2.6000000000000002e-05,2.6000000000000002e-05,1.6e-05,1.7e-05,"3,676","4,127,750"
2014-08-18,1.7e-05,2e-05,1.4000000000000001e-05,1.8e-05,"2,381","2,685,790"
2014-08-19,1.8e-05,1.9e-05,1.8e-05,1.8e-05,"6,566","2,848,380"
2014-08-20,1.8e-05,2e-05,1.6e-05,1.6e-05,"2,696","2,944,160"
2014-08-21,1.6e-05,2.3e-05,1.6e-05,2.3e-05,"1,763","2,549,710"
2014-08-22,2.3e-05,2.9999999999999997e-05,1.7e-05,2.7000000000000002e-05,"13,695","3,658,120"
2014-08-23,2.7000000000000002e-05,2.8999999999999997e-05,2e-05,2.3e-05,"4,583","4,271,750"
2014-08-24,2.3e-05,2.4e-05,2.1e-05,2.1e-05,46,"3,771,490"
2014-08-25,2.1e-05,2.5e-05,2.1e-05,2.3e-05,"1,373","3,417,650"
2014-08-26,2.3e-05,2.5e-05,2.1e-05,2.1e-05,"4,730","3,770,280"
2014-08-27,2.1e-05,2.5e-05,2.1e-05,2.3e-05,"4,623","3,432,850"
2014-08-28,2.3e-05,2.3e-05,2.1e-05,2.1e-05,"2,264","3,736,180"
2014-08-29,2.1e-05,2.3e-05,1.8e-05,1.9e-05,"9,769","3,322,730"
2014-08-30,1.9e-05,1.9e-05,1.8e-05,1.8e-05,958,"3,023,300"
