Date,Open,High,Low,Close,Volume,Market Cap
2014-02-15,5.82,7.82,4.54,7.62,"42,170","15,418,500"
2014-02-16,7.62,18.48,6.23,9.26,"191,391","20,184,100"
2014-02-17,9.22,10.72,5.64,5.82,"87,979","24,422,100"
2014-02-18,5.83,7.88,5.21,7.39,"86,795","15,449,300"
2014-02-19,7.39,8.45,1.25,6.17,"149,579","19,563,200"
2014-02-20,6.17,6.21,5.8,5.8,44,"16,339,000"
2014-02-23,12.05,12.05,5.4,5.54,"53,991","31,927,400"
2014-02-24,5.55,6.38,4.59,4.61,"39,656","14,688,000"
2014-02-25,4.6,4.97,3.28,4.22,"39,805","12,184,200"
2014-02-26,4.2,5.21,4.08,4.66,"11,861","11,130,900"
2014-02-27,4.65,5.02,4.23,4.54,"10,657","12,325,100"
2014-02-28,4.64,5.83,4.05,4.83,"33,144","12,294,200"
2014-03-01,4.84,5.64,4.26,4.75,"30,099","12,816,600"
2014-03-02,4.76,5.13,4.22,4.71,"29,405","12,620,500"
2014-03-03,4.73,5.91,4.36,5.34,"15,527","12,531,500"
2014-03-04,5.35,5.79,5.1,5.19,"6,040","14,159,900"
2014-03-05,5.18,5.54,4.61,5.25,"13,037","13,729,300"
2014-03-06,5.32,5.35,4.87,4.98,"5,643","14,102,000"
2014-03-07,4.98,5.13,3.53,4.57,"24,127","13,198,600"
2014-03-08,4.58,5.21,3.51,3.77,"26,165","12,124,900"
2014-03-09,3.76,8.92,3.74,5.3,"71,733","9,957,840"
2014-03-10,5.27,6.36,4.57,4.97,"48,899","13,959,400"
2014-03-11,4.97,5.28,3.34,5.0,"14,165","13,156,500"
2014-03-12,4.98,4.99,4.27,4.55,"10,882","13,189,000"
2014-03-13,4.56,4.82,4.34,4.55,"18,416","12,079,500"
2014-03-14,4.55,4.57,4.14,4.36,"16,923","12,061,800"
2014-03-15,4.36,5.95,4.25,4.96,"103,758","11,545,900"
2014-03-16,4.96,5.6,4.68,5.41,"60,595","13,140,800"
2014-03-17,5.41,5.42,4.16,4.75,"20,903","14,337,000"
2014-03-18,4.74,4.75,3.53,3.54,"45,312","12,564,300"
2014-03-19,3.53,3.93,3.27,3.43,"46,592","9,354,710"
2014-03-20,3.43,3.89,3.08,3.81,"34,734","9,092,410"
2014-03-21,3.81,3.88,3.07,3.79,"30,234","10,091,600"
2014-03-22,3.78,3.78,2.7,3.09,"66,092","10,023,600"
2014-03-23,3.1,3.63,2.88,3.5,"20,533","8,200,650"
2014-03-24,3.51,3.51,3.02,3.34,"19,078","9,285,790"
2014-03-25,3.35,3.39,2.86,2.87,"24,888","8,862,690"
2014-03-26,2.87,3.21,2.51,2.51,"82,210","7,598,270"
2014-03-27,2.51,2.89,2.07,2.09,"62,411","6,641,470"
2014-03-28,1.87,2.21,1.73,1.98,"48,445","4,942,170"
2014-03-29,2.01,2.37,1.94,2.32,"9,109","5,310,250"
2014-03-30,2.32,2.41,1.98,2.23,"7,821","6,151,720"
2014-03-31,2.23,2.51,1.85,1.86,"8,230","5,911,070"
2014-04-01,1.86,2.26,1.86,2.17,"6,893","4,926,040"
2014-04-02,2.18,2.23,1.7,1.76,"6,452","5,761,600"
2014-04-03,1.76,2.09,1.69,2.05,"9,736","4,653,470"
2014-04-04,2.05,2.33,1.85,2.29,"7,072","5,441,830"
2014-04-05,2.28,2.6,2.08,2.54,"13,009","6,043,520"
2014-04-06,2.55,2.86,2.39,2.74,"11,860","6,749,680"
2014-04-07,2.75,3.03,2.21,2.5,"20,851","7,281,280"
2014-04-08,2.49,2.71,2.07,2.3,"17,480","6,592,080"
2014-04-09,2.3,2.31,2.05,2.24,"3,238","6,093,400"
2014-04-10,2.24,2.25,1.75,1.8,"4,739","5,947,540"
2014-04-11,1.8,2.13,1.66,2.1,"14,487","4,763,040"
2014-04-12,2.1,2.17,1.67,1.69,"11,037","5,565,440"
2014-04-13,1.69,1.86,1.49,1.66,"18,186","4,485,480"
2014-04-14,1.78,1.95,1.39,1.7,"33,597","4,718,520"
2014-04-15,1.7,1.96,1.62,1.78,"19,654","4,494,900"
2014-04-16,1.79,2.06,1.73,1.77,"34,991","4,747,660"
2014-04-17,1.77,2.04,1.77,1.87,"11,974","4,694,880"
2014-04-18,1.87,2.04,1.77,1.8,"25,060","4,945,030"
2014-04-19,1.8,1.97,1.72,1.96,"12,414","4,780,180"
2014-04-20,1.96,2.01,1.67,1.68,"10,182","5,198,380"
2014-04-21,1.68,1.81,1.63,1.64,"7,316","4,459,520"
2014-04-22,1.64,1.72,1.5,1.5,"16,025","4,345,200"
2014-04-23,1.5,1.65,1.39,1.56,"12,870","3,982,910"
2014-04-24,1.56,1.67,1.47,1.52,"7,525","4,125,490"
2014-04-25,1.52,1.8,1.43,1.49,"15,524","4,021,300"
2014-04-26,1.49,1.95,1.45,1.95,"15,743","3,950,860"
2014-04-27,1.95,1.95,1.55,1.55,"16,898","5,164,290"
2014-04-28,1.53,1.72,1.49,1.54,"9,644","4,059,520"
2014-04-29,1.54,1.7,1.35,1.57,"12,566","4,084,610"
