Date,Open,High,Low,Close,Volume,Market Cap
2017-10-07,2.7,2.7,2.7,2.7,"79,554",-
2017-10-12,3.09,3.1,2.62,2.99,"322,269",-
2017-10-13,3.0,3.0,2.29,2.71,"199,539",-
2017-10-14,2.71,2.81,1.38,2.24,"82,511",-
2017-10-15,2.24,2.87,0.8192879999999999,2.85,"604,427",-
2017-10-16,2.85,2.86,1.52,2.12,"48,748",-
2017-10-17,2.12,2.67,1.79,2.25,"442,008",-
2017-10-18,2.25,2.25,1.76,2.12,"1,959",-
2017-10-19,2.12,2.48,1.76,2.34,"560,956",-
2017-10-20,2.34,2.49,2.17,2.2,593,-
2017-10-21,2.19,2.32,1.65,2.29,"8,377",-
2017-10-22,2.29,2.31,1.63,1.91,68,-
2017-10-23,1.91,2.13,1.49,1.73,262,-
2017-10-24,1.72,2.25,1.33,1.83,"122,495",-
2017-10-25,1.83,1.83,1.35,1.59,"103,078",-
2017-10-26,1.59,2.22,0.956729,1.42,"121,160",-
2017-10-27,1.42,1.57,1.28,1.35,"114,814",-
2017-10-28,1.36,1.61,1.23,1.43,"104,856",-
2017-10-29,1.42,1.45,1.35,1.41,"105,742",-
2017-10-30,1.4,1.56,0.7371260000000001,0.884592,"144,318",-
2017-10-31,0.8815879999999999,1.61,0.728304,1.54,"574,651",-
2017-11-01,1.54,1.61,1.18,1.46,"138,360",-
2017-11-02,1.46,1.53,1.16,1.36,"104,615",-
2017-11-03,1.33,1.69,1.13,1.28,"93,517",-
2017-11-04,1.28,1.37,1.12,1.34,"83,286",-
2017-11-05,1.33,1.59,1.22,1.32,"79,061",-
2017-11-06,1.32,1.41,1.2,1.25,"143,660",-
2017-11-07,1.25,1.43,1.21,1.24,"102,042",-
2017-11-08,1.23,1.35,1.19,1.28,"107,181","55,510,400"
2017-11-09,1.27,1.33,1.21,1.24,"98,033","57,265,100"
2017-11-10,1.24,1.28,1.06,1.17,"77,186","55,870,500"
2017-11-11,1.16,1.33,0.9488790000000001,1.3,"142,993","52,208,100"
2017-11-12,1.3,1.3,0.9067879999999999,0.938893,"51,977","58,374,700"
2017-11-13,0.94026,1.19,0.875044,1.09,"106,703","42,273,000"
2017-11-14,1.09,1.18,1.05,1.06,"110,521","49,083,700"
2017-11-15,1.06,1.27,1.06,1.2,"101,793","47,683,200"
2017-11-16,1.21,1.34,1.16,1.25,"109,048","54,412,200"
2017-11-17,1.25,1.37,1.18,1.3,"100,245","56,138,100"
2017-11-18,1.29,1.34,1.17,1.26,"104,499","58,083,000"
2017-11-19,1.25,1.38,1.18,1.23,"98,804","56,417,000"
2017-11-20,1.23,1.4,1.22,1.32,"106,914","55,454,000"
2017-11-21,1.32,1.42,1.24,1.3,"105,209","59,173,300"
2017-11-22,1.3,1.54,1.28,1.54,"135,714","58,552,900"
2017-11-23,1.53,1.89,1.36,1.55,"132,188","69,028,200"
2017-11-24,1.55,2.03,1.51,1.87,"123,603","69,497,700"
2017-11-25,1.87,2.06,1.66,1.82,"104,993","84,057,900"
2017-11-26,1.82,2.14,1.82,2.12,"109,848","81,938,500"
2017-11-27,2.12,2.25,1.88,2.21,"127,646","95,205,700"
2017-11-28,2.21,2.33,2.05,2.09,"133,616","99,534,200"
2017-11-29,2.09,2.53,2.08,2.21,"123,391","94,085,900"
2017-11-30,2.25,2.49,2.0,2.23,"135,490","101,151,000"
2017-12-01,2.22,2.68,2.16,2.62,"146,838","99,979,000"
2017-12-02,2.44,3.62,2.35,3.62,"195,042","109,890,000"
2017-12-03,3.62,3.73,3.05,3.1,"236,638","162,945,000"
2017-12-04,3.11,3.59,3.1,3.25,"147,451","139,987,000"
2017-12-05,3.26,3.79,3.08,3.53,"173,397","146,729,000"
2017-12-06,3.52,4.26,3.25,4.25,"162,647","158,295,000"
2017-12-07,4.25,5.13,4.03,5.13,"210,681","191,115,000"
2017-12-08,5.14,5.19,3.8,4.36,"324,471","231,338,000"
2017-12-09,4.35,4.42,3.5,3.68,"171,704","195,953,000"
2017-12-10,3.7,4.26,3.3,3.99,"164,622","166,473,000"
2017-12-11,3.96,4.7,3.94,4.19,"192,131","178,142,000"
2017-12-12,4.2,4.62,4.1,4.31,"188,215","189,188,000"
2017-12-13,4.31,4.76,4.11,4.28,"174,245","193,938,000"
2017-12-14,4.26,4.68,4.2,4.47,"177,682","191,844,000"
2017-12-15,4.47,4.85,4.37,4.41,"199,080","201,298,000"
2017-12-16,4.41,5.46,4.4,5.45,"294,095","198,648,000"
