Date,Open,High,Low,Close,Volume,Market Cap
2016-02-10,0.953412,1.24,0.718432,0.9731299999999999,"127,149",-
2016-02-11,0.9906280000000001,1.28,0.8618889999999999,1.21,"44,529",-
2016-02-12,1.22,1.53,1.15,1.31,"41,599",-
2016-02-13,1.31,1.38,1.03,1.13,"37,094",-
2016-02-14,1.13,1.21,1.08,1.18,"15,138",-
2016-02-15,1.18,1.45,1.13,1.36,"45,922",-
2016-02-16,1.36,1.66,1.28,1.5,"59,303",-
2016-02-17,1.48,1.71,1.48,1.57,"41,295",-
2016-02-18,1.58,1.58,1.25,1.42,"31,431",-
2016-02-19,1.43,1.54,1.36,1.45,"18,000",-
2016-02-20,1.45,1.63,1.45,1.55,"23,922",-
2016-02-21,1.55,1.68,1.5,1.64,"27,627",-
2016-02-22,1.66,1.92,1.58,1.74,"61,298",-
2016-02-23,1.74,2.23,1.71,1.91,"90,550","1,629,160"
2016-02-24,1.91,2.89,1.9,2.67,"133,621","1,804,250"
2016-02-25,2.67,2.83,2.06,2.39,"138,725","2,554,480"
2016-02-26,2.43,2.65,2.13,2.43,"48,829","2,339,830"
2016-02-27,2.43,2.43,1.93,2.17,"46,765","2,361,910"
2016-02-28,2.17,2.31,2.07,2.24,"29,047","2,121,660"
2016-02-29,2.24,2.29,1.97,2.06,"39,208","2,211,740"
2016-03-01,2.06,2.11,1.34,1.72,"69,219","2,056,790"
2016-03-02,1.7,1.87,1.57,1.7,"40,583","1,708,010"
2016-03-03,1.7,1.92,1.65,1.74,"37,621","1,719,390"
2016-03-04,1.72,1.86,1.71,1.74,"17,233","1,764,430"
2016-03-05,1.74,1.78,1.63,1.69,"27,323","1,791,290"
2016-03-06,1.71,2.05,1.67,2.03,"37,126","1,778,700"
2016-03-07,2.04,2.19,1.97,2.16,"34,234","2,143,660"
2016-03-08,2.17,2.34,2.17,2.33,"29,222","2,292,010"
2016-03-09,2.31,2.6,2.25,2.48,"82,286","2,460,340"
2016-03-10,2.48,2.6,2.32,2.32,"35,050","2,663,650"
2016-03-11,2.32,2.58,2.11,2.4,"51,701","2,517,010"
2016-03-12,2.29,2.57,2.26,2.28,"51,006","2,505,580"
2016-03-13,2.28,2.39,2.21,2.38,"22,474","2,512,840"
2016-03-14,2.38,2.54,2.34,2.42,"48,534","2,642,520"
2016-03-15,2.43,2.64,2.37,2.59,"41,795","2,709,920"
2016-03-16,2.42,2.67,2.42,2.62,"38,186","2,727,830"
2016-03-17,2.63,2.63,2.43,2.49,"23,704","2,979,350"
2016-03-18,2.51,2.56,2.33,2.43,"20,667","2,868,020"
2016-03-19,2.43,2.45,2.27,2.31,"21,945","2,804,530"
2016-03-20,2.31,2.36,2.16,2.18,"20,628","2,676,350"
2016-03-21,2.18,2.27,2.1,2.19,"14,562","2,551,440"
2016-03-22,2.19,2.28,2.08,2.13,"19,899","2,582,630"
2016-03-23,2.13,2.14,1.99,2.04,"15,242","2,530,960"
2016-03-24,2.04,2.05,1.87,1.92,"17,730","2,442,810"
2016-03-25,1.92,2.19,1.88,2.05,"14,750","2,311,280"
2016-03-26,2.05,2.34,2.04,2.31,"25,084","2,487,230"
2016-03-27,2.31,2.36,1.96,2.07,"25,734","2,821,080"
2016-03-28,2.07,2.17,1.96,2.06,"17,492","2,552,280"
2016-03-29,2.06,2.33,2.02,2.06,"17,297","2,549,430"
2016-03-30,2.08,2.17,1.97,2.16,"10,261","2,593,780"
2016-03-31,2.16,2.16,1.95,1.97,"18,322","2,717,130"
2016-04-01,1.97,2.08,1.93,1.93,"10,215","2,493,460"
2016-04-02,1.93,2.02,1.9,1.96,"11,825","2,464,570"
2016-04-03,1.96,1.98,1.9,1.94,"11,890","2,513,210"
2016-04-04,1.96,1.99,1.88,1.91,"14,314","2,527,700"
2016-04-05,1.88,1.9,1.74,1.75,"25,092","2,447,100"
2016-04-06,1.75,1.84,1.7,1.75,"14,643","2,287,820"
2016-04-07,1.75,1.89,1.73,1.74,"13,286","2,301,380"
2016-04-08,1.74,1.83,1.71,1.75,"12,918","2,312,480"
2016-04-09,1.76,1.79,1.6,1.61,"18,126","2,351,500"
2016-04-10,1.61,1.68,1.47,1.55,"20,144","2,160,940"
2016-04-11,1.47,1.57,1.43,1.47,"13,226","1,989,440"
2016-04-12,1.47,1.66,1.4,1.63,"17,348","1,994,280"
2016-04-13,1.58,1.67,1.47,1.53,"9,428","2,158,110"
2016-04-14,1.54,1.71,1.49,1.53,"7,486","2,113,850"
2016-04-15,1.53,1.53,1.38,1.39,"9,294","2,114,230"
2016-04-16,1.38,1.46,1.31,1.37,"14,852","1,929,170"
2016-04-17,1.37,1.4,1.33,1.34,"7,936","1,921,900"
2016-04-18,1.34,1.71,1.32,1.66,"23,797","1,896,850"
2016-04-19,1.66,1.73,1.5,1.51,"21,691","2,351,550"
2016-04-20,1.51,1.54,1.5,1.53,"7,501","2,162,910"
2016-04-21,1.53,1.67,1.51,1.56,"11,051","2,203,160"
2016-04-22,1.56,1.68,1.53,1.56,"8,972","2,259,880"
2016-04-23,1.56,1.64,1.55,1.58,"8,728","2,268,050"
