Date,Open,High,Low,Close,Volume,Market Cap
2014-06-24,4.2e-05,4.8e-05,3.5e-05,3.5e-05,"6,579","115,860"
2014-06-25,3.5e-05,4.1e-05,2.4e-05,2.8000000000000003e-05,"6,505","99,241"
2014-06-26,2.6000000000000002e-05,2.8000000000000003e-05,1.7e-05,1.7e-05,"3,128","76,467"
2014-06-27,1.7e-05,2.4e-05,1.2e-05,1.4000000000000001e-05,"1,167","52,341"
2014-06-28,1.2e-05,2.1e-05,1.2e-05,1.2e-05,"2,549","37,449"
2014-06-29,1.2e-05,2.6000000000000002e-05,1.2e-05,1.9e-05,"2,227","38,476"
2014-06-30,1.9e-05,2.9999999999999997e-05,1.8e-05,2.4e-05,"1,411","64,524"
2014-07-01,2.4e-05,3.1e-05,1.7e-05,1.9e-05,"3,044","82,437"
2014-07-02,1.9e-05,3.2e-05,1.3000000000000001e-05,1.4999999999999999e-05,"2,841","66,235"
2014-07-03,1.4999999999999999e-05,2e-05,1.3000000000000001e-05,1.4999999999999999e-05,796,"51,783"
2014-07-04,1.4999999999999999e-05,2.5e-05,1.3000000000000001e-05,1.9e-05,"2,298","53,041"
2014-07-05,1.9e-05,4.7e-05,1.9e-05,3.5e-05,"26,159","68,245"
2014-07-06,3.5e-05,4.1e-05,2.5e-05,3.2e-05,"6,934","129,696"
2014-07-07,3.2e-05,3.8e-05,2.5e-05,2.8000000000000003e-05,"3,082","118,942"
2014-07-08,2.5e-05,3.1e-05,2.5e-05,2.5e-05,145,"94,355"
2014-07-09,2.5e-05,3.1e-05,1.9e-05,2.5e-05,279,"96,229"
2014-07-10,2.5e-05,2.5e-05,1.8e-05,1.9e-05,202,"96,875"
2014-07-11,1.8e-05,3.2e-05,1.8e-05,2.5e-05,"2,491","72,740"
2014-07-12,2.5e-05,2.5e-05,1.9e-05,2.5e-05,184,"100,646"
2014-07-13,2.5e-05,2.5e-05,1.9e-05,1.9e-05,182,"102,282"
2014-07-14,1.9e-05,2.7000000000000002e-05,1.9e-05,2.3e-05,"2,995","76,999"
2014-07-15,2.3e-05,2.9999999999999997e-05,1.9e-05,2e-05,"2,660","96,038"
2014-07-16,2e-05,2.5e-05,1.9e-05,2.1e-05,"2,234","84,368"
2014-07-17,2.1e-05,3.1e-05,1.9e-05,2e-05,"2,718","89,480"
2014-07-18,2e-05,2.8000000000000003e-05,2e-05,2.5e-05,"2,925","87,879"
2014-07-19,2.5e-05,3.1e-05,1.9e-05,2.5e-05,"2,623","109,977"
2014-07-20,2.5e-05,2.9999999999999997e-05,2.1e-05,2.5e-05,"1,419","111,423"
2014-07-21,2.5e-05,3.1e-05,2.5e-05,2.6000000000000002e-05,"4,522","111,784"
2014-07-22,2.6000000000000002e-05,2.9999999999999997e-05,2.3e-05,2.9999999999999997e-05,"4,371","118,676"
2014-07-23,2.9999999999999997e-05,3.9e-05,2.5e-05,3.9e-05,"6,728","138,201"
2014-07-24,2.8999999999999997e-05,3.5e-05,2.8999999999999997e-05,2.9999999999999997e-05,"1,568","136,587"
2014-07-25,2.9999999999999997e-05,4.5e-05,2.4e-05,4.3e-05,"9,696","141,607"
2014-07-26,4.3e-05,4.3e-05,3.2e-05,3.6e-05,"2,398","205,621"
2014-07-27,3.6e-05,5.3e-05,3.6e-05,4.9e-05,"10,997","172,220"
2014-07-28,4.9e-05,4.9e-05,3.3e-05,3.7e-05,"9,690","240,252"
2014-07-29,3.7e-05,4.1e-05,2.9999999999999997e-05,3.7e-05,"2,943","183,194"
2014-07-30,3.7e-05,4.6e-05,3.5e-05,3.9e-05,"7,916","186,502"
2014-07-31,3.9e-05,4.8e-05,3.9e-05,4.3e-05,"3,896","196,733"
2014-08-01,4.3e-05,4.7e-05,4.1e-05,4.3e-05,"2,921","220,888"
2014-08-02,4.3e-05,4.6e-05,3.6e-05,3.8e-05,"4,994","217,944"
2014-08-03,3.8e-05,4.2e-05,3.2e-05,3.2e-05,"2,088","196,166"
2014-08-04,3.2e-05,4e-05,2.4e-05,2.8999999999999997e-05,"1,997","163,298"
2014-08-05,2.8999999999999997e-05,3.7e-05,2.4e-05,3.2e-05,"1,711","148,640"
2014-08-06,3.2e-05,3.7e-05,2.8000000000000003e-05,2.9999999999999997e-05,"2,441","166,667"
2014-08-07,2.9999999999999997e-05,4.7e-05,2.9999999999999997e-05,3.8e-05,"3,391","157,689"
2014-08-08,3.8e-05,4.3e-05,3.6e-05,3.7e-05,"1,363","200,946"
2014-08-09,3.7e-05,4e-05,3.5e-05,3.7e-05,492,"194,079"
2014-08-10,3.7e-05,4e-05,3.5e-05,3.9e-05,"2,526","197,799"
2014-08-11,3.9e-05,4.1e-05,2.9999999999999997e-05,2.9999999999999997e-05,"4,197","210,625"
2014-08-12,2.9999999999999997e-05,4.7e-05,2.9999999999999997e-05,4.3e-05,"20,963","164,396"
2014-08-13,4.3e-05,5.1e-05,3.8e-05,4.8e-05,"18,968","234,606"
2014-08-14,4.8e-05,5.1e-05,4.2e-05,4.2e-05,"6,200","261,226"
2014-08-15,4.3e-05,8e-05,4.3e-05,8e-05,"41,393","234,855"
2014-08-16,7.8e-05,9.9e-05,6.8e-05,8.4e-05,"45,335","430,998"
2014-08-17,8.4e-05,9.9e-05,7.6e-05,8.7e-05,"15,511","464,519"
2014-08-18,9e-05,9.1e-05,7.4e-05,8.7e-05,"7,877","499,353"
2014-08-19,8.7e-05,9.9e-05,8.4e-05,9.2e-05,"9,490","484,329"
2014-08-20,9.2e-05,0.0001,7.4e-05,9.499999999999999e-05,"11,432","517,100"
2014-08-21,9.4e-05,0.000105,9.4e-05,0.0001,"9,051","532,469"
2014-08-22,9.8e-05,0.00010400000000000001,8.6e-05,8.8e-05,"3,255","559,344"
2014-08-23,8.8e-05,8.9e-05,8.4e-05,8.499999999999999e-05,"5,463","504,385"
2014-08-24,8.499999999999999e-05,8.7e-05,8.1e-05,8.6e-05,"6,943","486,266"
2014-08-25,8.4e-05,8.9e-05,8.1e-05,8.2e-05,"2,668","485,040"
2014-08-26,8.2e-05,9e-05,7.8e-05,8.4e-05,"5,337","474,682"
2014-08-27,8.4e-05,8.7e-05,7.7e-05,7.7e-05,"4,290","488,547"
2014-08-28,7.7e-05,8e-05,7.4e-05,7.8e-05,"3,527","453,380"
2014-08-29,7.8e-05,8.1e-05,7.4e-05,7.6e-05,"5,013","457,164"
2014-08-30,7.6e-05,0.00015800000000000002,7.3e-05,0.000121,"36,608","450,912"
2014-08-31,0.00011899999999999999,0.000129,0.000101,0.00011999999999999999,"7,891","705,496"
2014-09-01,0.00011999999999999999,0.000147,0.00010800000000000001,0.00013700000000000002,"13,380","716,410"
2014-09-02,0.000136,0.000153,0.000129,0.000146,"10,486","816,218"
2014-09-03,0.000146,0.000147,0.00013000000000000002,0.000136,"15,650","875,184"
2014-09-04,0.000136,0.000215,0.000126,0.00020299999999999997,"46,690","817,780"
2014-09-05,0.00020299999999999997,0.000215,0.00018999999999999998,0.000192,"17,232","1,221,940"
2014-09-06,0.000194,0.000202,0.000169,0.000178,"17,065","1,168,730"
2014-09-07,0.000178,0.00018600000000000002,0.000162,0.000172,"9,913","1,079,910"
2014-09-08,0.000173,0.000174,0.000151,0.000152,"12,569","1,048,960"
2014-09-09,0.000152,0.000178,0.000145,0.000153,"8,134","925,654"
2014-09-10,0.000152,0.000164,0.000149,0.000149,"10,809","925,938"
2014-09-11,0.000157,0.00015800000000000002,0.000143,0.000144,"16,944","956,348"
2014-09-12,0.000147,0.000149,0.000139,0.00014199999999999998,"11,867","901,518"
2014-09-13,0.00014099999999999998,0.000151,0.000139,0.00014199999999999998,"15,375","862,411"
2014-09-14,0.000151,0.000151,0.000139,0.00014,"11,826","929,626"
2014-09-15,0.00014,0.000146,0.000138,0.000139,"13,634","863,975"
2014-09-16,0.000139,0.000165,0.000139,0.000155,"31,028","860,973"
2014-09-17,0.000155,0.000155,0.000133,0.000136,"22,784","961,294"
2014-09-18,0.000134,0.000139,0.000122,0.000126,"16,276","834,899"
2014-09-19,0.000125,0.000182,0.00011399999999999999,0.00016,"34,036","779,204"
2014-09-20,0.00015800000000000002,0.000175,0.00014199999999999998,0.00014199999999999998,"22,532","982,958"
2014-09-21,0.000143,0.000155,0.00013700000000000002,0.00014,"19,974","894,000"
2014-09-22,0.00014,0.00016299999999999998,0.000138,0.000156,"25,035","875,157"
2014-09-23,0.000157,0.000175,0.00014099999999999998,0.000171,"23,185","984,582"
2014-09-24,0.000171,0.000172,0.000149,0.000164,"18,560","1,075,950"
2014-09-25,0.000164,0.000164,0.00015,0.000154,"20,233","1,030,430"
2014-09-26,0.000156,0.00016,0.00014099999999999998,0.00015800000000000002,"14,400","977,159"
2014-09-27,0.000157,0.000161,0.000145,0.000146,"15,415","994,465"
2014-09-28,0.000151,0.000151,0.00013700000000000002,0.00014,"19,767","956,427"
2014-09-29,0.00013700000000000002,0.000144,0.000133,0.000138,"15,978","875,222"
2014-09-30,0.000134,0.000145,0.000131,0.000144,"19,142","855,012"
2014-10-01,0.000144,0.000154,0.000139,0.000154,"14,470","918,970"
2014-10-02,0.000152,0.000154,0.00013700000000000002,0.00014099999999999998,"8,438","971,096"
2014-10-03,0.00014,0.000149,0.000129,0.00014099999999999998,"13,116","897,762"
2014-10-04,0.00013700000000000002,0.000143,0.00011599999999999999,0.000118,"6,857","877,797"
2014-10-05,0.000118,0.000124,7.8e-05,0.000105,"18,903","755,955"
2014-10-06,0.000105,0.000117,9.6e-05,0.00010800000000000001,"8,756","674,699"
2014-10-07,0.00011100000000000001,0.000118,9.7e-05,0.0001,"9,861","713,825"
2014-10-08,0.0001,0.00011200000000000001,9.300000000000001e-05,0.000103,"13,352","642,797"
2014-10-09,0.000106,0.00011,8.9e-05,9.1e-05,"13,094","682,144"
2014-10-10,9.1e-05,0.00010400000000000001,8.1e-05,9.1e-05,"13,907","588,398"
2014-10-11,9.2e-05,0.00010800000000000001,6.1e-05,6.6e-05,"18,108","593,189"
2014-10-12,6.7e-05,8.8e-05,5.9e-05,6.7e-05,"4,036","430,679"
2014-10-13,6.7e-05,7.5e-05,5.6000000000000006e-05,6.3e-05,"9,137","433,768"
2014-10-14,6.3e-05,7.7e-05,5.6000000000000006e-05,5.7999999999999994e-05,"26,814","408,116"
2014-10-15,5.9e-05,6.2e-05,5.3e-05,6.1e-05,"8,572","380,850"
2014-10-16,6.1e-05,6.9e-05,5.2000000000000004e-05,6.500000000000001e-05,"9,118","398,734"
2014-10-17,6.500000000000001e-05,7.2e-05,5.7999999999999994e-05,6.7e-05,"9,148","422,426"
2014-10-18,6.7e-05,6.9e-05,5.9e-05,6.4e-05,"6,512","433,687"
2014-10-19,6.4e-05,6.7e-05,5.9e-05,6.7e-05,"2,067","414,327"
2014-10-20,6.7e-05,6.9e-05,5.9e-05,6.2e-05,"5,819","438,094"
2014-10-21,6.2e-05,7.7e-05,5.9e-05,7.099999999999999e-05,"8,233","405,423"
2014-10-22,6.6e-05,7.7e-05,6.3e-05,6.4e-05,"6,425","429,037"
2014-10-23,6.4e-05,6.8e-05,5.5e-05,5.6999999999999996e-05,"1,126","418,570"
2014-10-24,5.6999999999999996e-05,6.4e-05,5.1e-05,5.6999999999999996e-05,826,"372,860"
2014-10-25,5.6999999999999996e-05,5.7999999999999994e-05,4.9e-05,5.5e-05,379,"374,680"
2014-10-26,5.5e-05,5.7999999999999994e-05,4.8e-05,5.5e-05,880,"361,799"
2014-10-27,5.5e-05,5.5e-05,4.7e-05,5.3e-05,640,"359,570"
2014-10-28,5.6000000000000006e-05,6.4e-05,5.1e-05,5.2000000000000004e-05,"2,131","370,120"
2014-10-29,5.2000000000000004e-05,6.2e-05,4.6e-05,5e-05,"2,046","343,212"
2014-10-30,5e-05,5.4000000000000005e-05,4.2e-05,4.4e-05,"1,404","332,668"
2014-10-31,4.3e-05,4.7e-05,3.9e-05,4.6e-05,"1,374","284,554"
2014-11-01,4.6e-05,4.8e-05,4.1e-05,4.1e-05,240,"305,248"
2014-11-02,4.2e-05,4.4e-05,4e-05,4e-05,154,"278,798"
2014-11-03,4e-05,4.5e-05,4e-05,4.1e-05,214,"266,238"
2014-11-04,4.1e-05,4.5e-05,4e-05,4.1e-05,653,"268,809"
2014-11-05,4.1e-05,4.6e-05,4e-05,4.4e-05,"2,482","269,011"
2014-11-06,4.4e-05,4.5e-05,3.6e-05,4e-05,"1,765","294,634"
2014-11-07,4e-05,4.4e-05,4e-05,4.2e-05,"3,165","267,328"
2014-11-08,4.2e-05,4.7e-05,4.1e-05,4.3e-05,"1,329","281,462"
2014-11-09,4.3e-05,5e-05,3.5e-05,4.5e-05,"1,338","285,403"
2014-11-10,4.5e-05,4.7e-05,4.4e-05,4.6e-05,546,"298,301"
2014-11-11,4.5e-05,4.6e-05,4.3e-05,4.5e-05,739,"302,207"
2014-11-12,4.5e-05,5.2000000000000004e-05,4.5e-05,5.2000000000000004e-05,"2,255","299,770"
2014-11-13,5.2000000000000004e-05,5.6000000000000006e-05,4.9e-05,5.1e-05,"4,711","347,298"
2014-11-14,5.1e-05,5.1e-05,4.5e-05,4.7e-05,557,"339,795"
2014-11-15,4.7e-05,4.8e-05,4.2e-05,4.2e-05,121,"314,530"
2014-11-16,4.2e-05,4.6e-05,4.2e-05,4.5e-05,348,"279,048"
2014-11-17,4.5e-05,4.9e-05,4.2e-05,4.6e-05,684,"298,448"
2014-11-18,4.6e-05,4.7e-05,4.2e-05,4.3e-05,"1,036","307,027"
