Date,Open,High,Low,Close,Volume,Market Cap
2014-01-06,2e-06,2e-06,1e-06,1e-06,"1,051","151,821"
2014-01-07,1e-06,2e-06,1e-06,2e-06,"1,460","106,123"
2014-01-08,2e-06,2e-06,1e-06,2e-06,925,"138,970"
2014-01-09,2e-06,2e-06,1e-06,1e-06,851,"138,710"
2014-01-10,1e-06,1e-06,8.9e-07,1e-06,183,"93,424"
2014-01-11,1e-06,1e-06,1e-06,1e-06,381,"90,596"
2014-01-12,1e-06,1e-06,6.8e-07,6.9e-07,148,"91,698"
2014-01-13,6.8e-07,9.2e-07,4.6e-07,5.7e-07,268,"59,878"
2014-01-14,5.7e-07,7.1e-07,4.7e-07,6.4e-07,220,"50,601"
2014-01-15,6.4e-07,7.7e-07,5.2e-07,5.9e-07,225,"57,134"
2014-01-16,5.9e-07,8.4e-07,5.6e-07,6e-07,51,"53,069"
2014-01-17,5.9e-07,7e-07,4.6e-07,5.3e-07,590,"53,833"
2014-01-18,5.3e-07,6.4e-07,4.7e-07,6e-07,28,"48,819"
2014-01-19,6e-07,7.3e-07,4.7e-07,6.4e-07,216,"55,266"
2014-01-20,6.4e-07,1e-06,6.3e-07,9.8e-07,"1,709","59,383"
2014-01-21,9.9e-07,2e-06,9.9e-07,1e-06,"1,391","92,062"
2014-01-22,2e-06,2e-06,1e-06,2e-06,"5,335","143,348"
2014-01-23,2e-06,3e-06,2e-06,3e-06,"6,817","201,791"
2014-01-24,3e-06,7.000000000000001e-06,3e-06,5e-06,"27,777","260,650"
2014-01-25,4e-06,1e-05,3e-06,8e-06,"49,297","418,691"
2014-01-26,8e-06,1e-05,5e-06,8e-06,"72,050","829,246"
2014-01-27,8e-06,8e-06,6e-06,7.000000000000001e-06,"200,151","789,130"
2014-01-28,7.000000000000001e-06,7.000000000000001e-06,4e-06,5e-06,"27,076","669,619"
2014-01-29,5e-06,6e-06,4e-06,5e-06,"13,258","526,535"
2014-01-30,5e-06,5e-06,4e-06,4e-06,"7,531","514,727"
2014-01-31,4e-06,4e-06,3e-06,3e-06,"4,545","469,777"
2014-02-01,3e-06,4e-06,3e-06,3e-06,"6,763","347,067"
2014-02-02,3e-06,5e-06,3e-06,5e-06,"11,097","315,178"
2014-02-03,5e-06,5e-06,3e-06,3e-06,"7,241","505,227"
2014-02-04,3e-06,3e-06,3e-06,3e-06,"4,621","358,988"
2014-02-05,3e-06,3e-06,3e-06,3e-06,"3,456","346,020"
2014-02-07,3e-06,3e-06,2e-06,2e-06,"2,543","307,623"
2014-02-08,2e-06,2e-06,2e-06,2e-06,"2,653","267,429"
2014-02-22,2e-06,2e-06,2e-06,2e-06,"6,064","222,349"
2014-02-23,2e-06,4e-06,2e-06,3e-06,"22,022","245,730"
2014-02-24,3e-06,3e-06,2e-06,2e-06,"5,136","315,993"
2014-02-25,2e-06,2e-06,2e-06,2e-06,"38,489","257,346"
2014-02-26,2e-06,2e-06,2e-06,2e-06,"3,923","271,528"
2014-02-27,2e-06,2e-06,2e-06,2e-06,"3,458","273,006"
2014-02-28,2e-06,1.1e-05,2e-06,2e-06,"1,784","292,339"
2014-03-01,2e-06,2e-06,2e-06,2e-06,"5,652","264,423"
2014-03-02,2e-06,2e-06,2e-06,2e-06,"2,216","263,634"
2014-03-03,2e-06,2e-06,2e-06,2e-06,"2,452","222,373"
