Date,Open,High,Low,Close,Volume,Market Cap
2014-03-20,2.4e-05,2.9999999999999997e-05,1.8e-05,2.4e-05,"1,127","130,891"
2014-03-21,2.4e-05,3.8e-05,1.4000000000000001e-05,3.8e-05,"9,083","135,214"
2014-03-22,3.8e-05,5.4000000000000005e-05,1.8e-05,3.8e-05,"38,395","234,083"
2014-03-23,4e-05,0.00010400000000000001,1.3000000000000001e-05,3.9e-05,"13,099","257,163"
2014-03-24,3.4e-05,4.3e-05,1.3000000000000001e-05,3.5e-05,"4,198","234,306"
2014-03-25,3.5e-05,4.5e-05,1.9e-05,3.5e-05,"27,249","253,611"
2014-03-26,3.5e-05,4.9e-05,3.4e-05,4.6e-05,"19,966","267,058"
2014-03-27,4.6e-05,5.6999999999999996e-05,2.8999999999999997e-05,3.3e-05,"31,524","370,866"
2014-03-28,3.3e-05,3.9e-05,2.5e-05,2.9999999999999997e-05,"18,327","278,954"
2014-03-29,2.5e-05,3.6e-05,2e-05,3.1e-05,"14,715","218,892"
2014-03-30,2.8999999999999997e-05,3.1e-05,1.8e-05,1.8e-05,"14,756","265,635"
2014-03-31,1.8e-05,2.4e-05,9e-06,2.2e-05,"12,412","174,247"
2014-04-01,1.8e-05,2.3e-05,1.4000000000000001e-05,1.4999999999999999e-05,"6,002","178,651"
2014-04-02,1.4999999999999999e-05,1.9e-05,9e-06,1.3000000000000001e-05,"6,040","152,781"
2014-04-03,1.3000000000000001e-05,2.2e-05,9e-06,1.8e-05,"8,007","138,096"
2014-04-04,1.8e-05,2.2e-05,1.3000000000000001e-05,1.4000000000000001e-05,"5,838","193,860"
2014-04-05,1.4000000000000001e-05,3.1e-05,1.4000000000000001e-05,2.7000000000000002e-05,"17,758","155,430"
2014-04-06,2.7000000000000002e-05,2.8000000000000003e-05,1.9e-05,2.7000000000000002e-05,"16,069","319,840"
2014-04-07,2.7000000000000002e-05,2.7000000000000002e-05,1.8e-05,1.8e-05,"14,351","327,839"
2014-04-08,1.8e-05,2.3e-05,1.4000000000000001e-05,1.8e-05,"8,906","222,022"
2014-04-09,1.8e-05,2.2e-05,1.3000000000000001e-05,1.7e-05,"6,692","230,089"
2014-04-10,1.7e-05,2.1e-05,1.1e-05,1.1e-05,"5,354","226,377"
2014-04-11,1.1e-05,2.1e-05,1.1e-05,1.3000000000000001e-05,"8,453","151,969"
2014-04-12,1.3000000000000001e-05,2.2e-05,1.3000000000000001e-05,1.7e-05,"6,116","174,715"
2014-04-13,1.7e-05,2.1e-05,1.2e-05,2.1e-05,"13,792","237,527"
2014-04-14,1.7e-05,5.9e-05,1.7e-05,4.1e-05,"204,410","240,485"
2014-04-15,4.1e-05,4.6e-05,2.5e-05,3.1e-05,"64,376","611,521"
2014-04-16,3.1e-05,4.2e-05,2.6000000000000002e-05,3.7e-05,"56,062","469,277"
2014-04-17,3.2e-05,4.2e-05,2.8999999999999997e-05,3.5e-05,"39,033","491,982"
2014-04-18,2.9999999999999997e-05,3.9e-05,2.8999999999999997e-05,3.4e-05,"18,880","473,392"
2014-04-19,3.4e-05,3.9e-05,2.8999999999999997e-05,3.5e-05,"17,765","541,094"
2014-04-20,3.5e-05,3.6e-05,2.5e-05,2.9999999999999997e-05,"33,552","569,200"
2014-04-21,2.9999999999999997e-05,3.6e-05,2.5e-05,2.9999999999999997e-05,"18,682","493,629"
2014-04-22,3.5e-05,3.5e-05,2.5e-05,2.8999999999999997e-05,"12,575","580,383"
2014-04-23,2.8999999999999997e-05,3.4e-05,2e-05,2.8999999999999997e-05,"14,271","489,468"
2014-04-24,2.8999999999999997e-05,2.8999999999999997e-05,1.4999999999999999e-05,2e-05,"13,872","493,578"
2014-04-25,2e-05,2.5e-05,1.8e-05,2.3e-05,"6,482","335,537"
2014-04-26,1.9e-05,2.3e-05,1.4000000000000001e-05,1.8e-05,"5,685","313,298"
2014-04-27,1.8e-05,2e-05,1.3000000000000001e-05,1.7e-05,"2,057","308,144"
2014-04-28,1.7e-05,1.8e-05,1.3000000000000001e-05,1.7e-05,"1,716","291,968"
2014-04-29,1.7e-05,1.8e-05,1.3000000000000001e-05,1.4000000000000001e-05,"2,132","292,688"
2014-04-30,1.4000000000000001e-05,1.8e-05,9e-06,1.3000000000000001e-05,"5,314","229,176"
2014-05-01,1.3000000000000001e-05,1.8e-05,9e-06,1.4000000000000001e-05,"3,196","225,415"
2014-05-02,1.4000000000000001e-05,1.8e-05,9e-06,1.4000000000000001e-05,"1,949","230,228"
2014-05-03,1.4000000000000001e-05,1.8e-05,1.3000000000000001e-05,1.3000000000000001e-05,"2,125","231,685"
2014-05-04,1.3000000000000001e-05,1.8e-05,9e-06,1.3000000000000001e-05,"3,635","220,728"
2014-05-05,1.3000000000000001e-05,1.7e-05,1.3000000000000001e-05,1.3000000000000001e-05,"1,840","219,907"
2014-05-06,1.3000000000000001e-05,1.7e-05,9e-06,1.3000000000000001e-05,"1,052","218,459"
2014-05-07,1.3000000000000001e-05,1.8e-05,9e-06,1.3000000000000001e-05,447,"215,725"
2014-05-08,1.3000000000000001e-05,1.8e-05,9e-06,1.3000000000000001e-05,"1,389","220,239"
2014-05-09,1.3000000000000001e-05,1.8e-05,9e-06,1.8e-05,"3,577","222,080"
2014-05-10,1.8e-05,1.8e-05,1.3000000000000001e-05,1.8e-05,"1,400","301,826"
2014-05-11,1.8e-05,1.8e-05,1.3000000000000001e-05,1.3000000000000001e-05,522,"304,218"
2014-05-12,1.3000000000000001e-05,1.8e-05,1.3000000000000001e-05,1.7e-05,566,"225,464"
2014-05-13,1.7e-05,1.8e-05,1.3000000000000001e-05,1.3000000000000001e-05,"1,765","289,609"
2014-05-14,1.3000000000000001e-05,1.8e-05,9e-06,1.3000000000000001e-05,"1,661","222,850"
2014-05-15,1.3000000000000001e-05,1.4000000000000001e-05,9e-06,9e-06,"1,065","224,121"
2014-05-16,9e-06,1.4000000000000001e-05,9e-06,1.3000000000000001e-05,458,"155,610"
2014-05-17,1.3000000000000001e-05,1.3000000000000001e-05,9e-06,1.3000000000000001e-05,259,"225,418"
2014-05-18,1.3000000000000001e-05,1.3000000000000001e-05,9e-06,9e-06,423,"224,270"
2014-05-19,9e-06,1.3000000000000001e-05,9e-06,9e-06,"2,693","154,488"
2014-05-20,9e-06,1.4999999999999999e-05,9e-06,1.4000000000000001e-05,688,"150,553"
2014-05-21,1.4000000000000001e-05,1.4999999999999999e-05,5e-06,1e-05,"1,836","243,885"
2014-05-22,1e-05,1.1e-05,5e-06,1e-05,"1,869","166,124"
2014-05-23,1e-05,1.1e-05,5e-06,1e-05,"3,530","173,649"
2014-05-24,1e-05,1e-05,5e-06,1e-05,"2,632","175,211"
2014-05-25,1e-05,1.6e-05,6e-06,1.1e-05,812,"164,177"
2014-05-26,1.1e-05,1.4000000000000001e-05,7.000000000000001e-06,1.3000000000000001e-05,673,"188,822"
2014-05-27,1.3000000000000001e-05,1.6e-05,6e-06,7.000000000000001e-06,566,"221,904"
2014-05-28,1.1e-05,1.2e-05,6e-06,6e-06,458,"191,923"
2014-05-29,9e-06,1.1e-05,6e-06,1.1e-05,661,"158,614"
2014-05-30,1.1e-05,1.2e-05,6e-06,7.000000000000001e-06,797,"191,399"
2014-05-31,7.000000000000001e-06,1.2e-05,7.000000000000001e-06,1.2e-05,658,"112,781"
2014-06-01,1.2e-05,1.3000000000000001e-05,6e-06,1.2e-05,"3,425","209,619"
2014-06-02,1.2e-05,1.3000000000000001e-05,6e-06,1.3000000000000001e-05,992,"209,481"
2014-06-03,1.3000000000000001e-05,1.3000000000000001e-05,6e-06,6e-06,"6,452","220,700"
2014-06-04,6e-06,6e-06,5e-06,6e-06,433,"109,768"
