Date,Open,High,Low,Close,Volume,Market Cap
2017-06-09,15.54,15.59,15.39,15.43,129,668
2017-06-10,15.46,867.88,15.46,867.88,43,665
2017-06-11,867.38,868.15,20.66,62.55,217,"37,297"
2017-06-12,62.46,447.51,29.36,52.98,"2,216","2,686"
2017-06-13,52.8,122.94,26.6,35.49,333,-
2017-06-14,35.47,64.25,24.67,25.8,27,-
2017-06-15,25.8,26.3,22.35,25.51,19,-
2017-06-16,25.49,72.44,24.47,72.44,67,-
2017-06-17,72.44,72.44,18.99,18.99,147,-
2017-06-18,18.99,18.99,18.99,18.99,45,-
2017-06-19,37.97,37.97,37.97,37.97,2,-
2017-06-20,37.97,37.97,37.97,37.97,2,-
2017-07-02,2e-06,6e-06,1e-06,5e-06,"1,555","43,048"
2017-07-03,5e-06,1e-05,4e-06,1e-05,"2,294","88,530"
2017-07-04,7.000000000000001e-06,1.6e-05,7.000000000000001e-06,1e-05,"2,338","137,282"
2017-07-05,1e-05,1.4999999999999999e-05,7.000000000000001e-06,9e-06,"1,634","194,543"
2017-07-06,9e-06,1.3000000000000001e-05,8e-06,9e-06,"3,437","164,331"
2017-07-07,9e-06,1.3000000000000001e-05,6e-06,1.2e-05,827,"163,384"
2017-07-08,1.2e-05,1.4000000000000001e-05,2e-06,8e-06,798,"229,402"
2017-07-09,8e-06,9e-06,3e-06,5e-06,225,"162,134"
2017-07-10,5e-06,9e-06,3e-06,8e-06,129,"103,039"
2017-07-11,8e-06,1.4000000000000001e-05,5e-06,1.2e-05,275,"165,394"
2017-07-12,1.2e-05,1.6e-05,1.2e-05,1.3000000000000001e-05,678,"237,802"
2017-07-13,1.3000000000000001e-05,2e-05,7.000000000000001e-06,2e-05,340,"256,057"
2017-07-14,2e-05,2.1e-05,1.4000000000000001e-05,1.4999999999999999e-05,163,"388,960"
2017-07-15,1.4999999999999999e-05,2.1e-05,6e-06,1.9e-05,930,"292,512"
2017-07-16,1.9e-05,1.9e-05,7.000000000000001e-06,1.4999999999999999e-05,61,"365,891"
2017-07-17,1.4999999999999999e-05,1.7e-05,1.2e-05,1.4999999999999999e-05,311,"296,289"
2017-07-18,1.4999999999999999e-05,2.2e-05,8e-06,1.8e-05,666,"295,134"
2017-07-19,1.8e-05,2.2e-05,8e-06,8e-06,170,"362,613"
2017-07-20,8e-06,1.8e-05,7.000000000000001e-06,1.7e-05,101,"148,772"
2017-07-21,1.7e-05,2.4e-05,6e-06,2.3e-05,392,"340,939"
2017-07-22,2.3e-05,2.6000000000000002e-05,7.000000000000001e-06,1.2e-05,14,"463,610"
2017-07-23,1.2e-05,2.7000000000000002e-05,8e-06,2.7000000000000002e-05,34,"237,543"
2017-07-24,2.7000000000000002e-05,2.7000000000000002e-05,1e-05,1e-05,72,"527,646"
2017-07-25,1e-05,1.1e-05,6e-06,7.000000000000001e-06,81,"199,640"
2017-07-26,7.000000000000001e-06,1.6e-05,3e-06,6e-06,69,"136,899"
2017-07-27,6e-06,1e-05,4e-06,9e-06,89,"114,632"
2017-07-28,1e-05,2.1e-05,9e-06,1.1e-05,128,"188,918"
2017-07-29,1.1e-05,1.1e-05,2e-06,3e-06,57,"213,269"
2017-07-30,3e-06,1.2e-05,2e-06,1.2e-05,225,"57,308"
2017-07-31,1.2e-05,1.7e-05,2e-06,2e-06,134,"235,522"
2017-08-01,2e-06,3e-06,2e-06,3e-06,41,"42,049"
2017-08-02,3e-06,4e-06,2e-06,2e-06,52,"60,077"
2017-08-03,2e-06,2.5e-05,2e-06,1.8e-05,78,"33,257"
2017-08-04,1.8e-05,2.5e-05,1.8e-05,2.1e-05,215,"365,326"
2017-08-05,2.1e-05,2.4e-05,6e-06,6e-06,68,"424,312"
2017-08-06,6e-06,1.9e-05,6e-06,1.8e-05,150,"129,357"
2017-08-07,1.8e-05,3.1e-05,7.000000000000001e-06,7.000000000000001e-06,104,"365,858"
2017-08-08,7.000000000000001e-06,2.4e-05,6e-06,2.4e-05,62,"136,490"
2017-08-09,2.4e-05,3.2e-05,7.000000000000001e-06,1.3000000000000001e-05,43,"471,298"
2017-08-10,1.3000000000000001e-05,3.2e-05,1.3000000000000001e-05,3.1e-05,441,"267,735"
2017-08-11,3.1e-05,3.6e-05,1.2e-05,3.6e-05,334,"614,092"
2017-08-12,3.6e-05,3.7e-05,5e-06,3.6e-05,643,"713,656"
2017-08-13,3.6e-05,4e-05,3e-06,6e-06,"1,370","723,844"
2017-08-14,6e-06,8e-06,5e-06,6e-06,612,"112,172"
2017-08-15,6e-06,9e-06,4e-06,7.000000000000001e-06,468,"112,646"
2017-08-16,9e-06,2.1e-05,4e-06,1.7e-05,137,"179,165"
2017-08-17,1.7e-05,1.7e-05,5e-06,5e-06,419,"337,366"
2017-08-18,5e-06,0.00014,5e-06,1.2e-05,"3,435","102,605"
2017-08-19,1.2e-05,3.5e-05,1.2e-05,2.9999999999999997e-05,962,"246,953"
2017-08-20,2.9999999999999997e-05,2.9999999999999997e-05,8e-06,8e-06,314,"600,818"
2017-08-21,8e-06,2.1e-05,8e-06,2.1e-05,117,"169,287"
2017-08-22,2.1e-05,2.1e-05,6e-06,8e-06,484,"419,261"
2017-08-23,8e-06,9e-06,5e-06,6e-06,575,"155,916"
2017-08-24,8e-06,9e-06,6e-06,7.000000000000001e-06,193,"158,355"
2017-08-25,7.000000000000001e-06,7.000000000000001e-06,4e-06,6e-06,164,"134,004"
2017-08-26,6e-06,7.000000000000001e-06,4e-06,7.000000000000001e-06,76,"130,912"
2017-08-27,7.000000000000001e-06,1.2e-05,4e-06,1e-05,"1,911","144,906"
2017-08-28,1e-05,2.2e-05,8e-06,2.2e-05,"1,345","192,961"
2017-08-29,2.2e-05,3.8e-05,2.2e-05,2.4e-05,867,"439,337"
2017-08-30,2.4e-05,2.5e-05,1.3000000000000001e-05,2.2e-05,"1,340","488,329"
2017-08-31,2.2e-05,2.6000000000000002e-05,1.4000000000000001e-05,2.1e-05,"1,406","441,139"
2017-09-01,2.1e-05,4.7e-05,2.1e-05,2.2e-05,615,"432,684"
2017-09-02,2.2e-05,2.4e-05,9e-06,1.4999999999999999e-05,"1,393","437,191"
2017-09-03,1.4999999999999999e-05,1.4999999999999999e-05,9e-06,9e-06,945,"309,408"
2017-09-04,9e-06,4.3e-05,9e-06,4.1e-05,181,"189,525"
2017-09-05,4.1e-05,4.1e-05,8e-06,2.4e-05,78,"833,562"
2017-09-06,2.4e-05,2.6000000000000002e-05,1.7e-05,2e-05,118,"488,067"
2017-09-07,2e-05,3.9e-05,1.6e-05,3.9e-05,324,"401,315"
2017-09-08,3.9e-05,4e-05,1.1e-05,3.7e-05,544,"790,509"
2017-09-09,3.7e-05,3.8e-05,1e-05,1e-05,220,"745,307"
2017-09-10,1e-05,1.2e-05,8e-06,8e-06,776,"212,660"
2017-09-11,8e-06,1.3000000000000001e-05,5e-06,1.3000000000000001e-05,"2,692","160,917"
2017-09-12,1.3000000000000001e-05,2e-05,9e-06,1.4000000000000001e-05,680,"267,795"
2017-09-13,1.4000000000000001e-05,1.7e-05,4e-06,5e-06,367,"294,479"
2017-09-14,5e-06,1.9e-05,5e-06,1.8e-05,518,"93,433"
2017-09-15,1.8e-05,1.8e-05,5e-06,9e-06,408,"368,537"
2017-09-16,9e-06,2.8999999999999997e-05,9e-06,2.8000000000000003e-05,84,"192,553"
2017-09-17,2.8000000000000003e-05,2.8999999999999997e-05,5e-06,5e-06,36,"566,675"
2017-09-18,5e-06,1.1e-05,4e-06,1.1e-05,224,"97,115"
2017-09-19,1.1e-05,1.4000000000000001e-05,4e-06,4e-06,"1,411","218,975"
2017-09-20,4e-06,5e-06,4e-06,4e-06,"1,398","91,093"
2017-09-21,6e-06,6e-06,3e-06,3e-06,433,"124,472"
2017-09-22,3e-06,4e-06,3e-06,3e-06,74,"68,779"
2017-09-23,3e-06,4e-06,3e-06,3e-06,160,"54,727"
2017-09-24,3e-06,4e-06,2e-06,2e-06,41,"71,582"
2017-09-25,2e-06,3e-06,2e-06,3e-06,3,"50,769"
2017-09-26,3e-06,5e-06,3e-06,4e-06,272,"64,377"
2017-09-27,4e-06,4e-06,3e-06,3e-06,433,"76,739"
2017-09-28,3e-06,3e-06,2e-06,3e-06,823,"69,366"
2017-09-29,3e-06,7.000000000000001e-06,2e-06,5e-06,629,"54,700"
2017-09-30,5e-06,1e-05,4e-06,1e-05,"2,113","108,483"
2017-10-01,1e-05,2.9999999999999997e-05,8e-06,2.8999999999999997e-05,"1,523","198,960"
2017-10-02,2.8999999999999997e-05,3.4e-05,1.2e-05,1.3000000000000001e-05,"1,883","585,841"
2017-10-03,1.3000000000000001e-05,2.2e-05,7.000000000000001e-06,9e-06,"1,787","271,000"
2017-10-04,9e-06,1.4999999999999999e-05,8e-06,1.3000000000000001e-05,"1,452","185,679"
2017-10-05,1.3000000000000001e-05,1.6e-05,7.000000000000001e-06,7.000000000000001e-06,"1,743","271,501"
2017-10-06,7.000000000000001e-06,1.3000000000000001e-05,7.000000000000001e-06,1.1e-05,220,"143,321"
2017-10-07,1.1e-05,1.3000000000000001e-05,7.000000000000001e-06,1e-05,410,"223,093"
2017-10-08,1e-05,1.3000000000000001e-05,9e-06,1.3000000000000001e-05,"1,096","201,933"
2017-10-09,1.3000000000000001e-05,2e-05,9e-06,1e-05,798,"259,944"
2017-10-10,1e-05,1.1e-05,8e-06,8e-06,640,"208,848"
2017-10-11,8e-06,1e-05,8e-06,9e-06,108,"160,578"
2017-10-12,9e-06,2e-05,9e-06,2e-05,325,"180,067"
2017-10-13,2e-05,2.2e-05,1.3000000000000001e-05,1.3000000000000001e-05,649,"414,681"
2017-10-14,1.3000000000000001e-05,3.6e-05,1.2e-05,2.8999999999999997e-05,"2,296","274,318"
2017-10-15,2.8999999999999997e-05,2.9999999999999997e-05,1.9e-05,2.2e-05,"1,466","598,470"
2017-10-16,2.2e-05,3.8e-05,1.2e-05,1.4000000000000001e-05,356,"454,730"
2017-10-17,1.4000000000000001e-05,1.4000000000000001e-05,9e-06,1.3000000000000001e-05,"1,537","282,783"
2017-10-18,1.3000000000000001e-05,1.8e-05,1e-05,1.4000000000000001e-05,339,"264,517"
2017-10-19,1.4000000000000001e-05,1.7e-05,8e-06,1e-05,"1,655","290,150"
2017-10-20,1e-05,1.3000000000000001e-05,1e-05,1.1e-05,763,"212,629"
2017-10-21,1.1e-05,1.2e-05,9e-06,1e-05,"1,186","232,440"
2017-10-22,1e-05,1.4999999999999999e-05,1e-05,1.3000000000000001e-05,807,"221,159"
2017-10-23,1.3000000000000001e-05,2.2e-05,8e-06,2e-05,"1,330","282,075"
2017-10-24,2e-05,3.8e-05,1.7e-05,1.7e-05,"1,538","425,684"
2017-10-25,1.7e-05,2.1e-05,1.3000000000000001e-05,1.8e-05,794,"361,381"
2017-10-26,1.8e-05,2.2e-05,8e-06,9e-06,217,"376,513"
2017-10-27,9e-06,1.1e-05,6e-06,1.1e-05,"1,756","191,311"
2017-10-28,1.1e-05,1.4000000000000001e-05,8e-06,8e-06,718,"240,140"
2017-10-29,8e-06,1e-05,8e-06,9e-06,458,"172,926"
2017-10-30,9e-06,9e-06,1e-06,2e-06,"4,588","187,600"
2017-10-31,2e-06,7.000000000000001e-06,2e-06,6e-06,853,"40,689"
2017-11-01,6e-06,8e-06,3e-06,7.000000000000001e-06,"1,064","121,025"
2017-11-02,7.000000000000001e-06,7.000000000000001e-06,4e-06,7.000000000000001e-06,640,"143,124"
2017-11-03,7.000000000000001e-06,1.8e-05,4e-06,1.8e-05,566,"141,462"
2017-11-04,1.8e-05,1.8e-05,5e-06,7.000000000000001e-06,193,"388,603"
2017-11-05,7.000000000000001e-06,7.000000000000001e-06,5e-06,6e-06,772,"148,303"
2017-11-06,6e-06,7.000000000000001e-06,5e-06,6e-06,397,"125,370"
2017-11-07,6e-06,1e-05,6e-06,1e-05,131,"135,312"
2017-11-08,1e-05,1.1e-05,6e-06,8e-06,279,"208,453"
2017-11-09,8e-06,1.2e-05,6e-06,6e-06,73,"177,519"
2017-11-10,6e-06,9e-06,6e-06,6e-06,740,"127,793"
2017-11-11,6e-06,1.9e-05,4e-06,1.9e-05,29,"136,021"
2017-11-12,1.9e-05,3.3e-05,6e-06,3.3e-05,148,"408,617"
2017-11-13,3.3e-05,4.8e-05,2.4e-05,2.4e-05,562,"705,528"
2017-11-14,2.4e-05,2.5e-05,7.000000000000001e-06,7.000000000000001e-06,220,"526,834"
2017-11-15,8e-06,3.3e-05,8e-06,3.1e-05,39,"162,558"
2017-11-16,3.1e-05,3.8e-05,7.000000000000001e-06,9e-06,233,"673,664"
2017-11-17,9e-06,2.8000000000000003e-05,9e-06,9e-06,167,"194,408"
2017-11-18,9e-06,2.5e-05,5e-06,1.3000000000000001e-05,71,"201,194"
2017-11-19,1.3000000000000001e-05,1.4000000000000001e-05,5e-06,1.1e-05,194,"282,908"
2017-11-20,1.1e-05,2e-05,9e-06,1e-05,244,"245,795"
2017-11-21,1e-05,1e-05,5e-06,6e-06,587,"222,782"
2017-11-22,6e-06,1e-05,5e-06,9e-06,240,"140,763"
2017-11-23,8e-06,1.9e-05,7.000000000000001e-06,1.1e-05,382,"184,371"
2017-11-24,1e-05,5.6000000000000006e-05,6e-06,9e-06,5,"223,078"
2017-11-25,8e-06,5.5e-05,5e-06,5e-06,612,"184,680"
2017-11-26,5e-06,2.7000000000000002e-05,5e-06,1.1e-05,854,"105,716"
2017-11-27,1.1e-05,1.1e-05,4e-06,4e-06,56,"244,003"
2017-11-28,4e-06,2.7000000000000002e-05,4e-06,2.4e-05,168,"90,037"
2017-11-29,2.3e-05,2.5e-05,3e-06,3e-06,210,"509,211"
2017-11-30,3e-06,6e-06,3e-06,6e-06,158,"69,809"
2017-12-01,6e-06,1.1e-05,1e-06,1.1e-05,183,"126,632"
2017-12-02,1.1e-05,2.3e-05,3e-06,3e-06,56,"243,166"
2017-12-03,3e-06,5.3e-05,3e-06,5.3e-05,25,"66,077"
2017-12-04,5.3e-05,8.499999999999999e-05,5e-06,5e-06,53,"1,162,360"
2017-12-05,5e-06,6e-06,3e-06,5e-06,77,"117,725"
2017-12-06,5e-06,6e-06,3e-06,6e-06,159,"115,955"
2017-12-07,6e-06,2e-05,6e-06,1.9e-05,645,"130,171"
2017-12-08,1.8e-05,1.9e-05,1.4999999999999999e-05,1.6e-05,986,"403,688"
2017-12-09,1.6e-05,2.3e-05,1.4999999999999999e-05,1.4999999999999999e-05,496,"356,599"
2017-12-10,1.4999999999999999e-05,1.6e-05,1.3000000000000001e-05,1.4999999999999999e-05,993,"330,478"
2017-12-11,1.4999999999999999e-05,9.9e-05,8e-06,1.6e-05,160,"334,968"
2017-12-12,1.6e-05,1.6e-05,1.3000000000000001e-05,1.3000000000000001e-05,38,"357,584"
2017-12-13,1.3000000000000001e-05,9.499999999999999e-05,1.2e-05,1.6e-05,"4,855","281,821"
2017-12-14,1.6e-05,2e-05,1.6e-05,1.7e-05,"2,830","358,616"
2017-12-15,1.7e-05,1.8e-05,1e-05,1.7e-05,"1,164","381,927"
2017-12-16,1.7e-05,0.000188,1.7e-05,3.9e-05,"7,210","382,334"
2017-12-17,3.9e-05,5.9e-05,1.9e-05,3.8e-05,"10,726","855,904"
2017-12-18,5.6999999999999996e-05,0.000576,2.4e-05,0.000195,"46,287","1,269,510"
2017-12-19,0.000319,0.000338,4.1e-05,0.000124,"98,188","7,096,440"
2017-12-20,0.000106,0.000817,3.4e-05,0.000131,"216,108","2,364,610"
2017-12-21,0.000132,0.000151,8e-05,0.00011,"174,879","2,937,890"
2017-12-22,0.000126,0.0007059999999999999,9.9e-05,0.000164,"322,620","2,811,970"
2017-12-23,0.000165,0.000466,7.900000000000001e-05,0.000217,"730,347","3,698,680"
2017-12-24,0.00021899999999999998,0.000354,0.000169,0.000236,"408,384","4,901,970"
2017-12-25,0.00023799999999999998,0.000543,0.000198,0.00039,"499,166","5,342,760"
2017-12-26,0.00039,0.00048499999999999997,0.000325,0.00044800000000000005,"811,281","8,745,860"
2017-12-27,0.00044500000000000003,0.000733,0.00038199999999999996,0.000437,"798,462","10,002,600"
2017-12-28,0.000436,0.00043799999999999997,0.00038199999999999996,0.000396,"724,003","9,807,080"
2017-12-29,0.000362,0.000368,0.000245,0.000339,"412,457","8,140,610"
2017-12-30,0.00035099999999999997,0.0008550000000000001,0.0003,0.000736,"1,006,000","7,899,960"
2017-12-31,0.000782,0.002755,0.000559,0.001979,"4,063,300","17,643,400"
2018-01-01,0.001975,0.002076,0.001186,0.002007,"2,672,140","44,603,500"
2018-01-02,0.001994,0.0028940000000000003,0.0019030000000000002,0.0028940000000000003,"4,416,650","45,071,700"
2018-01-03,0.00295,0.0063880000000000004,0.002898,0.005178,"9,622,720","66,743,400"
2018-01-04,0.005202,0.010651,0.004985,0.005007,"2,460,930","117,814,000"
2018-01-05,0.005017,0.00796,0.004964,0.007894,"684,815","113,744,000"
2018-01-06,0.0079,0.008307,0.007825,0.008284,"48,349","179,220,000"
2018-01-07,0.008278,0.008278,0.007651000000000001,0.007768000000000001,"45,326","187,973,000"
2018-01-15,0.005603,0.006331,0.005034,0.005802000000000001,"252,127",-
2018-01-16,0.00581,0.006553,0.0038950000000000005,0.00451,"336,341","5,015,880"
2018-01-17,0.004488000000000001,0.0046229999999999995,0.002836,0.003706,"195,210","3,874,830"
2018-01-18,0.003722,0.0049,0.003553,0.004756,"242,036","3,213,250"
2018-01-19,0.004149,0.004837,0.0039,0.004455,"234,369","93,150,100"
2018-01-20,0.004573,0.005336,0.004345,0.005137,"218,817","102,787,000"
2018-01-21,0.005149,0.005209,0.00419,0.004381,"176,113","115,837,000"
2018-01-22,0.004367,0.004725,0.0034170000000000003,0.004059,"245,940","98,338,700"
2018-01-23,0.004007999999999999,0.0045,0.0037869999999999996,0.004252000000000001,"152,978","90,369,000"
2018-01-24,0.004282,0.004561,0.003958,0.004324000000000001,"197,768","96,626,400"
2018-01-25,0.004458,0.00462,0.004176,0.004333,"133,464","100,678,000"
2018-01-26,0.0043219999999999995,0.004528,0.003805,0.004227000000000001,"212,575","97,705,100"
2018-01-27,0.004224,0.004487,0.004013,0.0043619999999999996,"150,854","95,572,300"
2018-01-28,0.004340999999999999,0.004591,0.003647,0.003665,"143,067","98,323,200"
2018-01-29,0.0036799999999999997,0.004254,0.003101,0.0038619999999999995,"179,472","83,413,000"
2018-01-30,0.0038640000000000002,0.003872,0.003211,0.003626,"115,870","87,654,600"
2018-01-31,0.003628,0.003995,0.0032549999999999996,0.003578,"148,844","82,383,400"
2018-02-01,0.003587,0.0037890000000000003,0.002741,0.003061,"153,950","81,538,100"
2018-02-02,0.003093,0.003093,0.001877,0.002644,"135,975","70,375,400"
2018-02-03,0.002627,0.003127,0.002225,0.002938,"92,489","59,835,100"
