Date,Open,High,Low,Close,Volume,Market Cap
2016-09-03,6e-06,6e-06,6e-06,6e-06,117,-
2016-09-04,6e-06,6e-06,6e-06,6e-06,19,"19,572"
2016-09-05,6e-06,6e-06,6e-06,6e-06,25,"23,163"
2016-09-06,6e-06,6e-06,1e-06,1e-06,18,"24,599"
2016-09-07,1e-06,6e-06,1e-06,6e-06,363,"6,699"
2016-09-08,6e-06,6e-06,5e-06,5e-06,103,"29,306"
2016-09-09,5e-06,6e-06,4.8e-07,6e-06,94,"28,601"
2016-09-10,6e-06,6e-06,2e-06,4e-06,125,"35,339"
2016-09-11,4e-06,6e-06,4e-06,6e-06,202,"21,669"
2016-09-12,6e-06,6e-06,1.9e-07,1.9e-07,61,"37,549"
2016-09-13,1.9e-07,2.3e-07,1.5e-07,2.3e-07,21,"1,236"
2016-09-14,2.3e-07,2.3e-07,1.5e-07,1.5e-07,40,"1,539"
2016-09-15,1.5e-07,3.8e-07,1.1e-07,3e-07,21,"1,159"
2016-09-16,3.1e-07,3.1e-07,1.5e-07,1.9e-07,9,"2,390"
2016-09-17,1.9e-07,2.3e-07,1.5e-07,1.5e-07,33,"1,538"
2016-09-18,2.3e-07,2.7e-07,1.5e-07,1.6e-07,48,"2,064"
2016-09-19,1.6e-07,1.7e-07,1.1e-07,1.1e-07,30,"1,503"
2016-09-20,1.1e-07,3.1e-07,1.1e-07,1.5e-07,19,"1,099"
2016-09-21,1.5e-07,1.9e-07,1.1e-07,1.2e-07,43,"1,586"
2016-09-22,1.2e-07,1.5e-07,1.1e-07,1.1e-07,14,"1,229"
2016-09-23,1.1e-07,1.9e-07,1.1e-07,1.1e-07,20,"1,248"
2016-09-24,1.1e-07,2.3e-07,1.1e-07,1.5e-07,38,"1,309"
2016-09-25,1.5e-07,1.5e-07,1.1e-07,1.1e-07,19,"1,776"
2016-09-26,1.1e-07,1.9e-07,1.1e-07,1.2e-07,48,"1,362"
2016-09-27,1.2e-07,1.5e-07,1.2e-07,1.2e-07,17,"1,435"
2016-09-28,1.2e-07,1.2e-07,1.1e-07,1.2e-07,20,"1,516"
2016-09-29,1.2e-07,2.3e-07,1.1e-07,1.9e-07,11,"1,541"
2016-09-30,1.9e-07,1.9e-07,1.1e-07,1.2e-07,0,"2,676"
2016-10-01,1.2e-07,1.9e-07,1.2e-07,1.2e-07,21,"1,654"
2016-10-02,1.2e-07,1.9e-07,1.1e-07,1.2e-07,176,"1,699"
2016-10-03,1.2e-07,1.2e-07,1.1e-07,1.2e-07,3,"1,736"
2016-10-04,1.2e-07,1.5e-07,1.1e-07,1.5e-07,55,"1,776"
2016-10-05,1.5e-07,1.9e-07,1.5e-07,1.5e-07,48,"2,423"
2016-10-06,1.5e-07,1.9e-07,1.5e-07,1.5e-07,53,"2,486"
2016-10-07,1.5e-07,2.3e-07,1.5e-07,1.5e-07,54,"2,521"
2016-10-08,1.5e-07,2.3e-07,1.5e-07,1.9e-07,70,"2,583"
2016-10-09,1.9e-07,1.9e-07,1.5e-07,1.5e-07,28,"3,287"
2016-10-10,1.5e-07,2.3e-07,1.5e-07,2.3e-07,83,"2,656"
2016-10-11,2.3e-07,2.3e-07,1.1e-07,1.1e-07,27,"4,022"
2016-10-12,1.1e-07,1.1e-07,7.5e-08,7.5e-08,36,"2,049"
2016-10-13,7.5e-08,7.8e-08,7.5e-08,7.8e-08,5,"1,360"
2016-10-14,7.8e-08,7.8e-08,7.8e-08,7.8e-08,8,"1,452"
2016-10-15,7.8e-08,7.8e-08,3.9e-08,3.9e-08,0,"1,470"
2016-10-16,3.9e-08,7.8e-08,3.9e-08,7.8e-08,8,742
2016-10-17,7.8e-08,7.8e-08,3.9e-08,3.9e-08,4,"1,506"
2016-10-18,4e-08,9.1e-08,3.7999999999999996e-08,3.7999999999999996e-08,60,776
2016-10-19,3.7999999999999996e-08,7.7e-08,3.7999999999999996e-08,7.599999999999999e-08,26,765
2016-10-20,7.599999999999999e-08,7.599999999999999e-08,3.7999999999999996e-08,3.7999999999999996e-08,1,"1,534"
2016-10-21,3.7999999999999996e-08,3.7999999999999996e-08,3.7999999999999996e-08,3.7999999999999996e-08,1,773
2016-10-23,3.9e-08,3.9e-08,3.9e-08,3.9e-08,4,822
2016-10-24,3.9e-08,3.9e-08,3.9e-08,3.9e-08,4,830
2016-10-25,3.9e-08,3.9e-08,3.9e-08,3.9e-08,1,827
2016-10-26,3.9e-08,7.9e-08,3.9e-08,4e-08,21,848
2016-10-27,4e-08,4.0999999999999997e-08,4e-08,4e-08,3,868
2016-10-28,4e-08,4e-08,4e-08,4e-08,1,896
2016-10-29,4e-08,4.0999999999999997e-08,4e-08,4.0999999999999997e-08,1,894
2016-10-30,4.0999999999999997e-08,8.1e-08,4e-08,8.1e-08,49,931
2016-10-31,8.1e-08,8.1e-08,4e-08,4e-08,0,"1,858"
2016-11-01,4e-08,4.0999999999999997e-08,4e-08,4.0999999999999997e-08,5,930
2016-11-02,4.0999999999999997e-08,8.199999999999999e-08,4.0999999999999997e-08,4.0999999999999997e-08,20,958
2016-11-03,4.0999999999999997e-08,4.2e-08,3.7999999999999996e-08,3.9e-08,7,972
2016-11-04,3.9e-08,7.7e-08,3.7999999999999996e-08,3.9e-08,36,921
2016-11-05,3.9e-08,3.9e-08,3.9e-08,3.9e-08,3,936
2016-11-06,3.9e-08,3.9e-08,3.7999999999999996e-08,3.9e-08,7,943
2016-11-07,3.9e-08,7.8e-08,3.7999999999999996e-08,3.7999999999999996e-08,33,960
2016-11-08,3.7999999999999996e-08,3.9e-08,3.7999999999999996e-08,3.7999999999999996e-08,3,957
2016-11-09,3.7999999999999996e-08,3.9e-08,3.7999999999999996e-08,3.9e-08,5,969
2016-11-10,3.9e-08,3.9e-08,3.7999999999999996e-08,3.7999999999999996e-08,8,982
2016-11-11,3.7999999999999996e-08,3.7999999999999996e-08,3.7999999999999996e-08,3.7999999999999996e-08,6,987
2016-11-12,3.7999999999999996e-08,3.7999999999999996e-08,3.7999999999999996e-08,3.7999999999999996e-08,0,992
2016-11-13,3.7999999999999996e-08,3.9e-08,3.7e-08,3.9e-08,0,989
2016-11-14,3.9e-08,3.9e-08,3.9e-08,3.9e-08,14,"1,033"
2016-11-15,3.9e-08,7.8e-08,3.9e-08,3.9e-08,13,"1,042"
2016-11-16,3.9e-08,4e-08,3.9e-08,4e-08,0,"1,054"
2016-11-17,4.0999999999999997e-08,5.2e-07,3.9e-08,3.9e-08,70,"1,111"
2016-11-18,4e-08,8e-08,3.9e-08,7.9e-08,39,"1,093"
2016-11-19,8e-08,8e-08,3.9e-08,4e-08,6,"2,218"
2016-11-20,4e-08,4e-08,3.9e-08,3.9e-08,4,"1,117"
2016-11-21,3.9e-08,4e-08,3.9e-08,3.9e-08,4,"1,117"
2016-11-22,4e-08,7.9e-08,3.9e-08,3.9e-08,3,"1,134"
2016-11-23,4e-08,7.9e-08,3.9e-08,7.8e-08,4,"1,149"
2016-11-24,7.9e-08,7.9e-08,3.9e-08,3.9e-08,5,"2,298"
2016-11-25,3.9e-08,3.9e-08,3.9e-08,3.9e-08,3,"1,154"
2016-11-26,3.9e-08,3.9e-08,3.9e-08,3.9e-08,21,"1,166"
2016-11-27,3.9e-08,3.9e-08,3.9e-08,3.9e-08,4,"1,173"
2016-11-28,3.9e-08,3.9e-08,3.9e-08,3.9e-08,3,"1,181"
2016-11-29,3.9e-08,7.8e-08,3.9e-08,3.9e-08,26,"1,189"
2016-11-30,3.9e-08,3.9e-08,3.9e-08,3.9e-08,12,"1,198"
2016-12-01,3.9e-08,3.9e-08,3.9e-08,3.9e-08,5,"1,211"
2016-12-02,3.9e-08,7.9e-08,3.9e-08,7.9e-08,11,"1,229"
2016-12-03,7.9e-08,7.9e-08,3.9e-08,3.9e-08,0,"2,497"
2016-12-04,3.9e-08,7.8e-08,3.9e-08,3.9e-08,7,"1,269"
2016-12-05,3.9e-08,3.9e-08,3.3e-08,3.5e-08,4,"1,256"
2016-12-06,3.5e-08,3.6e-08,3.5e-08,3.5e-08,10,"1,196"
2016-12-07,3.5e-08,3.6e-08,3.5e-08,3.6e-08,6,"1,285"
2016-12-08,3.6e-08,3.7e-08,3.6e-08,3.7e-08,5,"1,348"
2016-12-09,3.7e-08,3.7e-08,3.7e-08,3.7e-08,40,"1,391"
2016-12-10,3.7e-08,7.4e-08,3.6e-08,3.7e-08,3,"1,435"
2016-12-11,3.7e-08,3.7e-08,3.6e-08,3.6e-08,9,"1,443"
2016-12-12,3.6e-08,3.7e-08,3.6e-08,3.7e-08,8,"1,450"
2016-12-13,3.7e-08,3.7e-08,3.6e-08,3.7e-08,4,"1,472"
2016-12-14,3.7e-08,3.7e-08,3.6e-08,3.6e-08,15,"1,479"
2016-12-15,3.6e-08,3.7e-08,3.6e-08,3.6e-08,4,"1,473"
2016-12-16,3.6e-08,3.7e-08,3.6e-08,3.6e-08,4,"1,488"
2016-12-17,3.6e-08,3.6e-08,3.6e-08,3.6e-08,0,"1,536"
2016-12-18,3.7e-08,7.4e-08,3.7e-08,3.7e-08,20,"1,574"
2016-12-19,3.7e-08,3.7e-08,3.6e-08,3.7e-08,11,"1,579"
2016-12-20,3.7e-08,3.7e-08,3.6e-08,3.7e-08,9,"1,581"
2016-12-21,3.7e-08,3.7e-08,3.6e-08,3.7e-08,4,"1,611"
2016-12-22,3.7e-08,3.7e-08,3.7e-08,3.7e-08,4,"1,640"
2016-12-23,3.7e-08,4.3e-08,3.7e-08,4.2e-08,0,"1,672"
2016-12-24,4.7000000000000004e-08,4.7000000000000004e-08,4.4000000000000004e-08,4.5e-08,0,"2,153"
2016-12-25,4.5e-08,4.5999999999999995e-08,4.2e-08,4.3e-08,0,"2,116"
2016-12-27,4.5e-08,4.5999999999999995e-08,4.4000000000000004e-08,4.5e-08,3,"2,153"
2016-12-28,4.5e-08,4.7000000000000004e-08,4.5e-08,4.5999999999999995e-08,3,"2,125"
2016-12-29,4.5999999999999995e-08,4.5999999999999995e-08,4.5e-08,4.5e-08,5,"2,203"
2016-12-30,4.5999999999999995e-08,4.5999999999999995e-08,4.3e-08,4.4000000000000004e-08,5,"2,223"
2017-01-01,4.4000000000000004e-08,4.5e-08,4.4000000000000004e-08,4.5e-08,6,"2,196"
2017-01-02,4.5e-08,4.7000000000000004e-08,4.5e-08,4.7000000000000004e-08,0,"2,257"
2017-01-09,4e-08,4.4000000000000004e-08,3.9e-08,4.3e-08,12,"2,108"
2017-01-10,4.3e-08,4.5e-08,4.3e-08,4.5e-08,7,"2,301"
2017-01-11,4.5999999999999995e-08,7.7e-08,3.7999999999999996e-08,7.7e-08,6,"2,516"
2017-01-12,7.7e-08,7.7e-08,3.7999999999999996e-08,4e-08,54,"4,234"
2017-01-13,3.9e-08,4e-08,3.7999999999999996e-08,3.9e-08,8,"2,201"
2017-01-14,3.9e-08,3.9e-08,3.9e-08,3.9e-08,0,"2,183"
