Date,Open,High,Low,Close,Volume,Market Cap
2014-04-11,0.0042710000000000005,0.0054280000000000005,0.004247,0.004628,"11,843","61,334"
2014-04-12,0.004627,0.00583,0.0036969999999999998,0.004414,"9,781","66,866"
2014-04-13,0.004307,0.004379999999999999,0.003672,0.0036829999999999996,"3,415","65,071"
2014-04-14,0.0036780000000000003,0.006036,0.003201,0.0041259999999999995,"8,061","57,898"
2014-04-15,0.004132,0.004408,0.0032840000000000005,0.003669,"3,167","67,721"
2014-04-16,0.003664,0.004509,0.003341,0.003438,"2,196","62,464"
2014-04-17,0.003643,0.0036969999999999998,0.002768,0.003134,"1,318","64,491"
2014-04-18,0.00314,0.00391,0.002829,0.0030789999999999997,"2,089","57,655"
2014-04-19,0.003073,0.0034200000000000003,0.002486,0.0031940000000000002,"2,288","58,452"
2014-04-20,0.003117,0.0032159999999999997,0.002369,0.002568,"2,776","61,248"
2014-04-21,0.00257,0.0032340000000000003,0.00253,0.002702,"2,131","52,120"
2014-04-22,0.0027010000000000003,0.0031620000000000003,0.002418,0.002419,"10,025","56,529"
2014-04-23,0.0023,0.002762,0.0022649999999999997,0.002349,"1,918","49,673"
2014-04-24,0.002355,0.0027660000000000002,0.0020329999999999997,0.002441,"1,686","52,412"
2014-04-25,0.0024170000000000003,0.0024170000000000003,0.0016129999999999999,0.0019190000000000001,"1,338","55,432"
2014-04-26,0.001916,0.002867,0.0017870000000000002,0.002462,"5,173","45,202"
2014-04-27,0.002734,0.003087,0.002176,0.0021809999999999998,"3,728","66,286"
2014-04-28,0.002139,0.0023469999999999997,0.001848,0.002105,"1,127","53,219"
2014-04-29,0.002106,0.0045509999999999995,0.002042,0.004403,"18,532","53,726"
2014-04-30,0.004067,0.005232,0.0035159999999999996,0.00474,"30,098","106,204"
2014-05-01,0.004748,0.004878,0.003351,0.003941,"9,295","126,638"
2014-05-02,0.003944,0.004914,0.003437,0.004354,"6,951","107,448"
2014-05-03,0.004548,0.00485,0.00391,0.0039689999999999994,"9,194","126,480"
2014-05-04,0.00394,0.004256,0.0034799999999999996,0.003508,"2,547","112,108"
2014-05-05,0.003514,0.003672,0.0026320000000000002,0.002832,"3,349","102,422"
2014-05-06,0.002834,0.0035259999999999996,0.0027,0.003094,"2,986","84,677"
2014-05-07,0.003085,0.0033909999999999995,0.002329,0.002672,"4,783","94,284"
2014-05-08,0.002667,0.003134,0.001465,0.002727,"2,410","83,253"
2014-05-09,0.002727,0.0028190000000000003,0.001536,0.002722,"5,849","87,743"
2014-05-10,0.00271,0.0027140000000000003,0.0020559999999999997,0.002203,"5,934","90,605"
2014-05-11,0.0022010000000000003,0.002633,0.001835,0.002414,"3,383","76,761"
2014-05-12,0.002414,0.0024920000000000003,0.002032,0.002131,"1,841","86,523"
2014-05-13,0.002134,0.002288,0.0021100000000000003,0.002148,786,"77,609"
2014-05-14,0.002148,0.0022440000000000003,0.002008,0.002088,"1,405","79,081"
2014-05-15,0.0020870000000000003,0.002207,0.001678,0.0018670000000000002,"2,203","77,766"
2014-05-16,0.0018679999999999999,0.002076,0.001749,0.0018579999999999998,"1,093","70,383"
2014-05-17,0.0018559999999999998,0.002196,0.001795,0.0019440000000000002,"1,388","70,724"
2014-05-18,0.001945,0.002129,0.001789,0.0019149999999999998,"1,252","74,958"
2014-05-19,0.001916,0.0020039999999999997,0.001759,0.0017690000000000002,898,"74,672"
2014-05-20,0.001875,0.002402,0.0017239999999999998,0.0021620000000000003,"1,702","73,842"
2014-05-21,0.0021609999999999997,0.002336,0.001549,0.001719,"1,615","86,090"
2014-05-22,0.001719,0.0022440000000000003,0.0017170000000000002,0.0021,"1,090","68,607"
2014-05-23,0.002102,0.002159,0.001667,0.002069,"1,318","83,887"
2014-05-24,0.0020670000000000003,0.00216,0.0018,0.001834,"3,290","84,711"
2014-05-25,0.001834,0.002137,0.001572,0.001827,722,"75,851"
2014-05-26,0.00183,0.002025,0.00175,0.0018039999999999998,785,"76,354"
2014-05-27,0.001805,0.002008,0.0013779999999999999,0.001714,"1,827","75,986"
2014-05-28,0.0017120000000000002,0.002171,0.001637,0.0016649999999999998,758,"72,727"
2014-05-29,0.0016870000000000001,0.002412,0.0016530000000000002,0.002216,"1,642","72,291"
2014-05-30,0.002216,0.004497999999999999,0.002176,0.003908,"15,560","95,750"
2014-05-31,0.0037549999999999997,0.004863,0.0029010000000000004,0.0034799999999999996,"11,640","163,586"
2014-06-01,0.003474,0.004521,0.00266,0.0029920000000000003,"7,375","152,580"
2014-06-02,0.002997,0.004404,0.002993,0.00367,"8,355","132,685"
2014-06-03,0.003674,0.0038590000000000005,0.002886,0.003237,"6,545","163,958"
2014-06-04,0.003237,0.004239,0.003135,0.0031579999999999998,"5,355","145,629"
2014-06-05,0.0032170000000000002,0.003713,0.003139,0.003259,"1,441","145,605"
2014-06-06,0.003261,0.00337,0.002571,0.002934,816,"145,275"
2014-06-07,0.002931,0.003166,0.002691,0.002751,656,"134,659"
2014-06-08,0.002751,0.002893,0.002301,0.0024519999999999998,"1,046","127,102"
2014-06-09,0.0024519999999999998,0.002566,0.0020510000000000003,0.002198,"1,482","113,833"
2014-06-10,0.0021969999999999997,0.002613,0.002038,0.002049,747,"102,479"
2014-06-11,0.00205,0.002302,0.001975,0.002184,273,"96,013"
2014-06-12,0.0021809999999999998,0.002246,0.001761,0.0019260000000000002,"1,489","102,546"
2014-06-13,0.0019149999999999998,0.002211,0.0017980000000000001,0.001918,"1,039","90,312"
2014-06-14,0.0019199999999999998,0.002049,0.001645,0.0016940000000000002,776,"90,858"
2014-06-15,0.0016820000000000001,0.002186,0.0016769999999999999,0.002058,687,"79,795"
2014-06-16,0.002064,0.0021739999999999997,0.001973,0.001989,378,"98,147"
2014-06-17,0.001991,0.002177,0.001809,0.001819,"1,078","94,903"
2014-06-18,0.0018149999999999998,0.003564,0.001759,0.0018510000000000002,"4,056","86,713"
2014-06-19,0.001852,0.002054,0.001825,0.001871,197,"88,628"
2014-06-20,0.0018690000000000002,0.001945,0.001797,0.001849,230,"89,578"
2014-06-21,0.001852,0.002008,0.0017280000000000002,0.001861,268,"88,901"
2014-06-22,0.001857,0.001887,0.001663,0.001663,"1,068","89,276"
2014-06-23,0.001662,0.001663,0.001181,0.001489,890,"79,998"
2014-06-24,0.00149,0.001802,0.001354,0.0014550000000000001,193,"71,762"
2014-06-25,0.001436,0.002206,0.001225,0.001225,260,"69,235"
2014-06-26,0.001215,0.00145,0.001172,0.001218,327,"58,625"
2014-06-27,0.00122,0.0017079999999999999,0.001218,0.0016589999999999999,547,"58,934"
2014-06-28,0.001663,0.0016699999999999998,0.0015429999999999999,0.0015429999999999999,504,"80,397"
2014-06-29,0.0015429999999999999,0.0018100000000000002,0.0015429999999999999,0.001577,300,"74,610"
2014-06-30,0.001578,0.0016710000000000002,0.001322,0.001472,124,"76,400"
2014-07-01,0.0014730000000000001,0.001777,0.001343,0.001343,406,"71,324"
2014-07-02,0.001344,0.001559,0.001335,0.0013570000000000001,439,"65,159"
2014-07-03,0.001356,0.001556,0.0013449999999999998,0.001556,"1,097","65,791"
2014-07-04,0.001556,0.001567,0.0014060000000000001,0.001535,"1,005","75,534"
2014-07-05,0.001533,0.001534,0.001287,0.001296,"1,410","74,450"
2014-07-06,0.001296,0.001526,0.001271,0.001335,"1,012","63,001"
2014-07-07,0.001336,0.0014449999999999999,0.001119,0.0012519999999999999,239,"64,971"
2014-07-08,0.001167,0.001224,0.0010199999999999999,0.001132,186,"56,803"
