Date,Open,High,Low,Close,Volume,Market Cap
2017-08-20,20.38,20.58,18.98,20.37,"6,789,300",-
2017-08-21,20.25,20.25,14.16,15.3,"11,376,500",-
2017-08-22,15.34,15.57,12.82,13.99,"8,898,470",-
2017-08-23,13.91,23.29,12.78,22.37,"8,823,000",-
2017-08-24,22.41,29.21,18.88,27.67,"12,398,700",-
2017-08-25,27.76,28.23,24.17,26.32,"5,318,770",-
2017-08-26,26.34,34.82,26.27,34.76,"8,036,550",-
2017-08-27,36.45,43.17,35.72,40.83,"72,960,100",-
2017-08-28,40.78,41.54,28.52,32.84,"57,085,600",-
2017-08-29,32.54,35.37,28.47,32.48,"60,918,800","1,093,280,000"
2017-08-30,31.92,32.38,24.7,27.36,"33,471,700","1,072,670,000"
2017-08-31,27.64,35.17,27.06,33.58,"46,054,400","928,817,000"
2017-09-01,33.55,36.92,30.31,33.34,"56,578,600","1,127,400,000"
2017-09-02,32.95,33.02,25.32,28.55,"60,982,700","1,107,020,000"
2017-09-03,28.41,29.06,18.84,20.85,"60,751,100","954,485,000"
2017-09-04,20.77,21.2,8.46,9.03,"64,300,800","697,918,000"
2017-09-05,9.15,10.96,6.23,9.03,"88,734,200","307,385,000"
2017-09-06,8.97,10.55,8.24,9.68,"13,079,500","301,422,000"
2017-09-07,9.82,22.41,9.34,19.4,"34,848,700","329,917,000"
2017-09-08,19.47,19.47,11.42,12.47,"23,469,000","654,199,000"
2017-09-09,12.54,14.73,11.0,12.36,"26,475,000","421,221,000"
2017-09-10,12.34,12.34,10.15,11.42,"21,907,000","414,700,000"
2017-09-11,11.45,12.4,10.38,11.83,"31,587,100","384,568,000"
2017-09-12,11.83,13.8,11.01,11.41,"18,006,300","397,572,000"
2017-09-13,11.36,11.65,10.47,11.19,"16,480,300","381,549,000"
2017-09-14,11.08,11.26,6.26,6.46,"13,122,700","372,242,000"
2017-09-15,6.52,7.49,3.77,6.01,"19,928,800","218,964,000"
2017-09-16,5.93,6.93,5.23,5.57,"17,010,600","199,238,000"
2017-09-17,5.63,5.67,4.65,5.08,"11,607,000","189,102,000"
2017-09-18,5.15,6.66,5.15,6.46,"16,419,900","172,983,000"
2017-09-19,6.53,6.76,5.78,5.82,"15,557,000","219,478,000"
2017-09-20,5.81,5.82,5.26,5.45,"11,062,000","195,256,000"
2017-09-21,5.42,5.65,4.99,5.02,"6,283,640","181,958,000"
2017-09-22,5.03,5.21,4.83,4.96,"6,049,430","168,961,000"
2017-09-23,4.98,5.27,4.93,5.27,"5,412,700","167,187,000"
2017-09-24,5.26,5.27,5.07,5.16,"2,969,910","176,592,000"
2017-09-25,5.15,6.05,5.14,6.02,"10,613,600","173,154,000"
2017-09-26,6.02,6.81,5.92,6.0,"6,613,300","202,114,000"
2017-09-27,5.99,6.22,5.6,5.94,"5,827,500","201,361,000"
2017-09-28,6.15,7.06,5.98,6.69,"13,321,400","206,633,000"
2017-09-29,6.69,7.85,6.5,6.5,"11,415,400","224,822,000"
2017-09-30,6.5,8.8,6.43,8.4,"24,790,100","218,380,000"
