Date,Open,High,Low,Close,Volume,Market Cap
2013-04-28,4.3,4.4,4.18,4.35,-,"73,773,400"
2013-04-29,4.37,4.57,4.23,4.38,-,"74,952,700"
2013-04-30,4.4,4.57,4.17,4.3,-,"75,726,800"
2013-05-01,4.29,4.36,3.52,3.8,-,"73,901,200"
2013-05-02,3.78,4.04,3.01,3.37,-,"65,242,700"
2013-05-03,3.39,3.45,2.4,3.04,-,"58,607,400"
2013-05-04,3.03,3.64,2.9,3.48,-,"52,476,400"
2013-05-05,3.49,3.69,3.35,3.59,-,"60,525,000"
2013-05-06,3.59,3.78,3.12,3.37,-,"62,356,000"
2013-05-07,3.37,3.41,2.94,3.33,-,"58,588,300"
2013-05-08,3.28,3.49,3.28,3.41,-,"57,196,300"
2013-05-09,3.4,3.44,3.29,3.42,-,"59,337,100"
2013-05-10,3.41,3.63,3.37,3.44,-,"59,588,000"
2013-05-11,3.46,3.48,3.3,3.35,-,"60,658,000"
2013-05-12,3.36,3.42,3.22,3.27,-,"59,052,900"
2013-05-13,3.26,3.37,3.2,3.28,-,"57,363,200"
2013-05-14,3.28,3.33,2.78,2.82,-,"57,812,000"
2013-05-15,2.82,3.04,2.64,2.94,-,"49,842,500"
2013-05-16,2.93,2.97,2.69,2.92,-,"51,790,900"
2013-05-17,2.89,3.34,2.87,3.19,-,"51,195,900"
2013-05-18,3.2,3.36,3.13,3.29,-,"56,721,100"
2013-05-19,3.3,3.41,3.19,3.3,-,"58,645,400"
2013-05-20,3.31,3.32,3.15,3.18,-,"58,962,900"
2013-05-21,3.19,3.22,3.04,3.09,-,"56,887,600"
2013-05-22,3.09,3.14,3.03,3.12,-,"55,165,300"
2013-05-23,3.12,3.19,3.09,3.18,-,"55,727,000"
2013-05-24,3.17,3.19,3.04,3.18,-,"56,747,200"
2013-05-25,3.19,3.2,3.05,3.12,-,"57,165,800"
2013-05-26,3.12,3.33,3.09,3.25,-,"56,123,900"
2013-05-27,3.23,3.26,3.02,3.1,-,"58,130,800"
2013-05-28,3.1,3.13,3.02,3.09,-,"55,916,500"
2013-05-29,3.09,3.12,3.02,3.1,-,"55,814,300"
2013-05-30,3.08,3.09,2.88,2.97,-,"55,640,200"
2013-05-31,2.97,2.99,2.69,2.96,-,"53,813,700"
2013-06-01,2.94,2.97,2.8,2.83,-,"53,372,200"
2013-06-02,2.83,2.86,2.56,2.73,-,"51,378,100"
2013-06-03,2.73,2.75,2.61,2.73,-,"49,688,400"
2013-06-04,2.7,2.9,2.7,2.87,-,"49,268,800"
2013-06-05,2.87,2.99,2.81,2.86,-,"52,338,100"
2013-06-06,2.88,2.91,2.74,2.75,-,"52,595,600"
2013-06-07,2.78,2.79,2.51,2.6,-,"50,890,900"
2013-06-08,2.6,2.66,2.54,2.56,-,"47,770,700"
2013-06-09,2.55,2.59,2.07,2.38,-,"46,911,500"
2013-06-10,2.38,2.58,2.26,2.49,-,"43,883,900"
2013-06-11,2.49,2.5,2.18,2.4,-,"45,951,500"
2013-06-12,2.41,2.45,2.31,2.38,-,"44,532,400"
2013-06-13,2.4,2.49,2.23,2.27,-,"44,356,700"
2013-06-14,2.27,2.29,2.09,2.13,-,"42,035,700"
2013-06-15,2.14,2.21,2.05,2.11,-,"39,693,000"
