Date,Open,High,Low,Close,Volume,Market Cap
2014-05-21,2.47,2.65,1.23,1.6,"246,540","2,079,640"
2014-05-22,1.59,2.19,1.36,2.1,"132,918","1,371,470"
2014-05-23,2.05,3.43,2.05,2.96,"266,852","1,816,200"
2014-05-24,2.92,4.01,2.62,3.7,"248,028","2,653,720"
2014-05-25,4.04,4.04,2.8,3.14,"283,545","3,774,890"
2014-05-26,3.22,3.76,2.31,3.02,"220,148","3,070,190"
2014-05-27,3.03,3.03,2.07,2.21,"97,603","2,958,060"
2014-05-28,2.24,2.85,1.91,2.27,"177,716","2,231,880"
2014-05-29,2.21,2.49,1.68,1.68,"109,157","2,251,030"
2014-05-30,1.68,1.87,1.08,1.57,"119,296","1,742,630"
2014-05-31,1.58,2.28,1.41,1.94,"117,399","1,675,440"
2014-06-01,1.94,2.57,1.54,1.74,"130,602","2,111,850"
2014-06-02,1.76,1.94,1.6,1.73,"47,672","1,964,820"
2014-06-03,1.73,2.1,1.65,1.93,"91,332","1,966,370"
2014-06-04,1.93,1.99,1.71,1.81,"51,886","2,238,440"
2014-06-06,1.46,1.51,1.17,1.24,"100,635","1,781,530"
2014-06-07,1.24,1.69,1.21,1.36,"44,187","1,523,430"
2014-06-08,1.36,1.44,1.24,1.34,"40,634","1,702,900"
2014-06-09,1.33,1.64,1.27,1.52,"56,500","1,697,580"
2014-06-10,1.48,2.39,1.31,1.73,"182,599","1,917,820"
2014-06-11,1.72,2.17,1.53,1.62,"85,735","2,279,840"
2014-06-12,1.62,2.17,1.53,1.74,"108,619","2,174,900"
2014-06-13,1.65,1.96,1.62,1.92,"84,237","2,257,650"
2014-06-14,1.93,2.82,1.88,2.34,"276,919","2,677,530"
2014-06-15,2.32,2.75,2.25,2.69,"150,652","3,288,170"
2014-06-16,2.72,3.55,2.62,3.18,"438,776","3,905,660"
2014-06-17,3.15,3.31,2.72,2.82,"228,445","4,601,540"
2014-06-18,2.9,2.98,2.46,2.79,"183,102","4,304,890"
2014-06-19,2.78,3.52,2.68,3.13,"283,962","4,188,790"
2014-06-20,3.17,4.59,3.12,4.56,"543,764","4,844,000"
2014-06-21,4.33,5.85,4.14,5.01,"723,077","6,730,580"
2014-06-22,4.98,5.21,4.02,4.35,"491,984","7,853,920"
2014-06-23,4.28,4.82,3.77,3.98,"433,301","6,851,250"
2014-06-24,3.93,4.07,2.96,3.28,"150,995","6,374,590"
2014-06-25,3.23,3.39,2.63,3.39,"217,183","5,313,820"
2014-06-26,3.28,3.38,2.8,2.89,"117,740","5,471,230"
2014-06-27,2.98,3.0,2.07,2.2,"250,643","5,044,180"
2014-06-28,2.32,2.9,2.25,2.55,"184,970","3,997,740"
2014-06-29,2.55,2.76,2.26,2.54,"138,511","4,434,960"
2014-06-30,2.55,2.7,2.44,2.5,"124,575","4,484,350"
2014-07-01,2.51,2.65,2.34,2.35,"98,540","4,470,350"
2014-07-02,2.34,2.54,2.26,2.31,"101,095","4,225,600"
2014-07-03,2.31,2.82,2.23,2.64,"168,532","4,217,730"
2014-07-04,2.64,3.0,2.54,2.64,"148,555","4,899,760"
2014-07-05,2.64,2.64,2.44,2.47,"68,525","4,956,910"
2014-07-06,2.47,2.48,2.29,2.4,"77,663","4,690,900"
2014-07-07,2.4,2.4,1.95,1.99,"111,370","4,609,840"
2014-07-08,1.98,2.36,1.97,2.35,"94,993","3,851,290"
2014-07-09,2.3,2.31,1.99,2.01,"69,554","4,518,280"
2014-07-10,2.03,2.09,1.86,1.89,"89,099","4,033,590"
2014-07-11,1.86,1.92,1.72,1.79,"116,666","3,746,700"
2014-07-12,1.79,1.94,1.72,1.73,"65,375","3,648,870"
2014-07-13,1.73,1.97,1.46,1.79,"122,049","3,562,450"
2014-07-14,1.79,1.99,1.62,1.97,"100,284","3,716,450"
2014-07-15,1.95,2.2,1.79,2.11,"136,205","4,096,760"
2014-07-16,2.16,2.93,2.05,2.71,"353,430","4,585,570"
2014-07-17,2.71,3.58,2.64,2.98,"503,684","5,804,450"
2014-07-18,3.03,3.29,2.46,2.62,"348,336","6,577,180"
2014-07-19,2.59,3.07,2.54,2.88,"169,471","5,680,000"
2014-07-20,2.88,2.93,2.58,2.63,"116,853","6,372,740"
2014-07-21,2.67,3.14,2.65,3.09,"243,140","5,978,470"
2014-07-22,3.09,3.32,3.01,3.2,"262,049","6,966,760"
2014-07-23,3.2,3.24,2.84,2.91,"274,946","7,296,220"
2014-07-24,2.92,2.97,2.28,2.36,"292,547","6,717,400"
2014-07-25,2.37,2.71,2.31,2.71,"182,887","5,500,730"
2014-07-26,2.7,2.77,2.51,2.62,"125,320","6,327,920"
2014-07-27,2.62,2.65,2.45,2.55,"111,827","6,211,480"
2014-07-28,2.55,2.7,2.42,2.7,"141,903","6,102,470"
2014-07-29,2.7,2.8,2.56,2.62,"272,756","6,507,970"
2014-07-30,2.62,2.63,2.5,2.54,"79,830","6,374,650"
2014-07-31,2.52,2.64,2.49,2.55,"111,065","6,187,770"
2014-08-01,2.57,2.67,2.49,2.67,"145,177","6,361,190"
2014-08-02,2.67,2.73,2.5,2.5,"101,031","6,665,580"
2014-08-03,2.5,2.5,2.25,2.36,"144,327","6,295,750"
2014-08-04,2.36,37.78,1.99,2.01,"234,647","5,992,660"
2014-08-05,2.01,2.2,1.98,2.15,"94,391","5,154,370"
2014-08-06,2.2,2.28,2.13,2.19,"76,411","5,698,660"
2014-08-07,2.19,2.24,2.1,2.14,"88,304","5,713,790"
2014-08-08,2.14,2.21,2.11,2.18,"87,502","5,636,120"
2014-08-09,2.17,2.18,2.08,2.1,"72,351","5,760,020"
2014-08-10,2.05,2.12,1.99,2.06,"80,847","5,482,750"
2014-08-11,2.04,2.17,1.93,2.08,"132,234","5,505,760"
2014-08-12,2.08,2.1,1.97,2.0,"114,580","5,649,600"
2014-08-13,2.0,2.04,1.83,1.9,"89,506","5,465,790"
2014-08-14,1.91,1.92,1.69,1.76,"99,815","5,280,750"
2014-08-15,1.78,1.8,1.52,1.59,"182,760","4,932,750"
2014-08-16,1.59,1.61,1.49,1.6,"82,703","4,413,540"
2014-08-17,1.6,1.65,1.42,1.46,"72,244","4,447,240"
2014-08-18,1.47,1.65,1.34,1.45,"108,222","4,074,930"
2014-08-19,1.45,1.65,1.39,1.65,"98,273","4,013,520"
2014-08-20,1.66,1.96,1.61,1.83,"286,655","4,795,780"
2014-08-21,1.84,1.9,1.78,1.82,"141,302","5,337,170"
2014-08-22,1.82,1.9,1.75,1.78,"118,268","5,331,550"
2014-08-23,1.78,1.86,1.73,1.81,"81,316","5,236,920"
2014-08-24,1.81,1.97,1.81,1.95,"113,086","5,377,400"
2014-08-25,1.95,2.08,1.89,2.05,"179,315","5,843,100"
2014-08-26,2.09,2.1,1.9,2.01,"191,411","6,291,750"
2014-08-27,2.01,2.04,1.94,2.01,"125,364","6,098,760"
2014-08-28,2.0,2.24,2.0,2.21,"246,829","6,110,120"
2014-08-29,2.18,2.28,2.14,2.21,"219,724","6,708,610"
2014-08-30,2.21,2.49,2.19,2.44,"270,668","6,832,530"
2014-08-31,2.43,2.56,2.1,2.17,"308,396","7,577,360"
2014-09-01,2.17,2.28,1.97,2.04,"268,279","6,827,450"
2014-09-02,2.05,2.07,1.89,1.96,"218,797","6,464,120"
2014-09-03,1.95,2.09,1.9,2.03,"153,437","6,205,680"
2014-09-04,2.03,2.16,1.88,2.05,"186,620","6,507,160"
2014-09-05,2.05,2.11,1.86,1.98,"168,193","6,595,670"
2014-09-06,1.98,2.0,1.9,1.95,"120,274","6,411,200"
2014-09-07,1.94,1.97,1.84,1.88,"151,671","6,324,720"
2014-09-08,1.88,1.92,1.79,1.87,"158,829","6,166,130"
2014-09-09,1.88,1.89,1.75,1.77,"129,058","6,200,410"
2014-09-10,1.77,2.08,1.76,1.97,"280,005","5,876,080"
2014-09-11,1.97,2.07,1.92,1.94,"173,065","6,583,810"
2014-09-12,1.94,2.0,1.82,1.88,"166,282","6,544,780"
2014-09-13,1.88,1.89,1.79,1.85,"156,820","6,365,210"
2014-09-14,1.85,1.89,1.79,1.82,"123,269","6,308,010"
2014-09-15,1.82,1.91,1.81,1.9,"132,403","6,241,990"
2014-09-16,1.9,1.91,1.83,1.84,"149,855","6,557,510"
2014-09-17,1.84,1.9,1.65,1.77,"291,633","6,389,740"
2014-09-18,1.74,1.74,1.5,1.57,"253,082","6,076,160"
2014-09-19,1.57,1.59,1.38,1.45,"171,739","5,503,840"
2014-09-20,1.44,1.57,1.17,1.27,"362,626","5,094,260"
2014-09-21,1.27,1.41,1.17,1.27,"239,591","4,502,750"
2014-09-22,1.27,1.34,1.21,1.26,"137,822","4,552,650"
2014-09-23,1.26,1.5,1.23,1.47,"205,229","4,526,380"
2014-09-24,1.46,1.56,1.45,1.51,"122,748","5,285,770"
2014-09-25,1.5,1.51,1.39,1.4,"126,179","5,441,180"
2014-09-26,1.4,1.46,1.32,1.39,"81,632","5,104,450"
2014-09-27,1.38,1.39,1.28,1.31,"95,657","5,082,540"
2014-09-28,1.31,1.37,1.21,1.22,"84,413","4,821,140"
2014-09-29,1.22,1.23,1.14,1.15,"83,902","4,533,030"
2014-09-30,1.16,1.25,1.14,1.22,"82,094","4,344,950"
2014-10-01,1.21,1.22,1.17,1.2,"65,140","4,536,570"
