Date,Open,High,Low,Close,Volume,Market Cap
2014-01-06,1e-05,1.9e-05,9e-06,1e-05,"1,754","72,279"
2014-01-07,1e-05,1.9e-05,1e-05,1.4999999999999999e-05,"2,166","82,925"
2014-01-08,1.4999999999999999e-05,1.8e-05,1e-05,1.2e-05,782,"134,577"
2014-01-09,1.2e-05,1.4999999999999999e-05,8e-06,1.4000000000000001e-05,"2,298","115,151"
2014-01-10,1.4000000000000001e-05,1.4000000000000001e-05,8e-06,1e-05,"1,812","144,114"
2014-01-11,1e-05,1.2e-05,9e-06,9e-06,1,"108,754"
2014-01-12,6e-06,6e-06,6e-06,6e-06,"2,264","77,227"
2014-01-13,6e-06,6e-06,5e-06,5e-06,"1,980","75,752"
2014-01-14,5e-06,5e-06,2e-06,2e-06,"1,508","67,700"
2014-01-15,2e-06,4e-06,2e-06,3e-06,555,"31,244"
2014-01-16,3e-06,4e-06,2e-06,3e-06,546,"53,690"
2014-01-17,3e-06,3e-06,3e-06,3e-06,498,"51,933"
2014-01-18,3e-06,3e-06,3e-06,3e-06,387,"51,596"
2014-01-19,3e-06,1.2e-05,3e-06,1.2e-05,"18,041","51,929"
2014-01-20,1.2e-05,4.6e-05,1e-05,3.4e-05,"36,821","242,325"
2014-01-21,3.3e-05,4.5e-05,2.8999999999999997e-05,4.1e-05,"13,834","703,648"
2014-01-22,3.9e-05,4e-05,2.9999999999999997e-05,3.9e-05,"6,709","837,440"
2014-01-23,4e-05,0.00018999999999999998,4e-05,0.000188,"68,037","874,631"
2014-01-24,0.00018999999999999998,0.000258,0.000154,0.00019099999999999998,"424,852","4,409,800"
2014-01-25,0.00019099999999999998,0.000194,0.000134,0.000154,"97,316","4,583,520"
2014-01-26,0.000155,0.000157,0.00011200000000000001,0.000138,"103,589","3,824,280"
2014-01-27,0.00013700000000000002,0.00014,9.6e-05,9.8e-05,"33,466","3,490,320"
2014-01-28,9.8e-05,0.000123,8.9e-05,0.000102,"41,755","2,538,110"
2014-01-29,0.000101,0.00011499999999999999,0.0001,0.000106,"17,247","2,643,150"
2014-01-30,0.00010700000000000001,0.00011399999999999999,0.000103,0.00010700000000000001,"22,427","2,792,900"
2014-01-31,0.00010400000000000001,0.000106,8.4e-05,8.7e-05,"24,855","2,726,040"
2014-02-01,8.7e-05,9.1e-05,7.2e-05,7.2e-05,"18,286","2,323,540"
2014-02-02,7.2e-05,8.1e-05,6.7e-05,7.2e-05,"16,403","1,905,770"
2014-02-03,7.2e-05,0.000129,5.5e-05,0.00011100000000000001,"82,122","1,910,950"
2014-02-04,0.00011100000000000001,0.000148,0.0001,0.0001,"588,765","2,945,070"
2014-02-05,0.00010800000000000001,0.00011499999999999999,9.1e-05,9.7e-05,"156,478","2,870,440"
2014-02-06,9.7e-05,0.00010400000000000001,9e-05,9.4e-05,"43,402","2,599,700"
2014-02-07,9.4e-05,9.4e-05,7.3e-05,7.8e-05,"128,101","2,504,270"
2014-02-08,7.7e-05,8.6e-05,6.9e-05,7.5e-05,"42,025","2,050,180"
2014-02-09,7.4e-05,7.8e-05,6.2e-05,6.2e-05,"80,559","1,981,150"
2014-02-10,6.8e-05,7.6e-05,5e-05,6.8e-05,"86,855","1,829,700"
2014-02-11,6.8e-05,7.7e-05,6.1e-05,6.7e-05,"71,932","1,831,110"
2014-02-12,6.7e-05,7.3e-05,5.9e-05,5.9e-05,"48,506","1,799,330"
2014-02-13,7.099999999999999e-05,7.2e-05,5.5e-05,5.9999999999999995e-05,"42,738","1,904,340"
2014-02-14,5.5e-05,6.7e-05,4.9e-05,6.500000000000001e-05,"65,286","1,462,290"
2014-02-15,5.9e-05,6.500000000000001e-05,5.6999999999999996e-05,5.9e-05,"17,212","1,591,430"
2014-02-16,5.9e-05,6.500000000000001e-05,5.3e-05,5.6000000000000006e-05,"18,491","1,573,000"
2014-02-17,5.5e-05,6.3e-05,5e-05,5.4000000000000005e-05,"29,671","1,479,930"
2014-02-18,5.6000000000000006e-05,6.3e-05,5e-05,5.1e-05,"17,625","1,510,160"
2014-02-19,5.1e-05,5.6000000000000006e-05,4.4e-05,5e-05,"47,259","1,361,410"
2014-02-20,4.5e-05,5.4000000000000005e-05,4.2e-05,4.9e-05,"17,087","1,206,260"
2014-02-21,5e-05,5e-05,3.3e-05,4.4e-05,"35,744","1,328,970"
2014-02-22,4.4e-05,4.8e-05,2.8999999999999997e-05,3.7e-05,"37,505","1,173,140"
2014-02-23,3.7e-05,4.4e-05,3.6e-05,3.6e-05,"60,422","985,206"
2014-02-24,3.6e-05,3.6e-05,2.7000000000000002e-05,2.8000000000000003e-05,"59,525","970,697"
2014-02-25,2.7000000000000002e-05,2.9999999999999997e-05,1.8e-05,2.2e-05,"32,597","736,916"
2014-02-26,2.2e-05,2.8999999999999997e-05,1.8e-05,2.4e-05,"38,473","579,468"
2014-02-27,2.4e-05,3.3e-05,2.3e-05,2.8999999999999997e-05,"3,732","635,870"
2014-02-28,2.8999999999999997e-05,2.8999999999999997e-05,2.2e-05,2.2e-05,"28,137","766,972"
2014-03-01,2.2e-05,2.3e-05,1.7e-05,1.8e-05,"29,272","597,638"
2014-03-02,1.8e-05,2.2e-05,1.3000000000000001e-05,1.3000000000000001e-05,"19,685","478,977"
2014-03-03,1.3000000000000001e-05,1.7e-05,1.2e-05,1.7e-05,"29,369","344,484"
