Date,Open,High,Low,Close,Volume,Market Cap
2015-11-02,7.2e-09,9.4e-09,7.2e-09,9.4e-09,47,-
2015-11-03,9.4e-09,1.1000000000000001e-08,8.9e-09,9.6e-09,57,-
2015-11-04,9.6e-09,1.1000000000000001e-08,8.8e-09,9e-09,18,-
2015-11-05,9e-09,1.2e-08,8.3e-09,1.2e-08,70,-
2015-11-06,1.2e-08,1.3e-08,1.1000000000000001e-08,1.1000000000000001e-08,34,-
2015-11-07,1.1000000000000001e-08,1.2e-08,1.1000000000000001e-08,1.2e-08,22,-
2015-11-08,1.2e-08,1.2e-08,1.1000000000000001e-08,1.1000000000000001e-08,4,-
2015-11-09,1.1000000000000001e-08,1.1000000000000001e-08,9.4e-09,9.7e-09,13,-
2015-11-10,9.7e-09,9.8e-09,6.9e-09,7e-09,62,-
2015-11-11,7e-09,7.5e-09,6.5e-09,6.6e-09,24,-
2015-11-12,6.6e-09,7.1e-09,6.2e-09,6.6e-09,22,-
2015-11-13,6.6e-09,6.8000000000000005e-09,6.2e-09,6.3e-09,0,-
2015-11-14,6.3e-09,6.9e-09,5.9e-09,5.9e-09,11,-
2015-11-15,5.9e-09,6.4e-09,5.8e-09,6.2e-09,2,-
2015-11-16,6.2e-09,7.1e-09,5.9e-09,7e-09,12,-
2015-11-17,7e-09,7.3e-09,7e-09,7.1e-09,1,-
2015-11-18,7.1e-09,7.3e-09,6.4e-09,7e-09,4,-
2015-11-19,6.8000000000000005e-09,6.9e-09,6.5e-09,6.5e-09,0,-
2015-11-20,6.5e-09,6.8000000000000005e-09,6.3e-09,6.4e-09,8,-
2015-11-21,6.3e-09,6.7000000000000004e-09,6.3e-09,6.5e-09,1,-
2015-11-22,6.5e-09,6.6e-09,5.8e-09,5.7e-09,22,-
2015-11-23,5.7e-09,6.9e-09,5.1e-09,5.7e-09,27,-
2015-11-24,5.6000000000000005e-09,5.8e-09,5.4e-09,5.4e-09,5,-
2015-11-25,5.4e-09,5.6000000000000005e-09,5.1e-09,5.2e-09,5,-
2015-11-26,5.2e-09,5.7e-09,5.2e-09,5.5000000000000004e-09,2,-
2015-11-27,5.5000000000000004e-09,6e-09,5.3e-09,5.7e-09,7,-
2015-11-28,5.7e-09,5.8e-09,5e-09,5.4e-09,3,-
2015-11-29,5.4e-09,5.5000000000000004e-09,4.9e-09,4.9e-09,0,-
2015-11-30,4.9e-09,5.2e-09,4.8e-09,5e-09,7,-
2015-12-01,5e-09,6.3e-09,4.5e-09,5.9e-09,37,-
2015-12-02,6e-09,6.1e-09,5e-09,5e-09,10,-
2015-12-03,5e-09,6.1e-09,4.9e-09,5.1e-09,43,-
2015-12-04,5.1e-09,5.8e-09,4.6e-09,4.6e-09,15,-
2015-12-05,4.6e-09,6.5e-09,4.6e-09,5.6000000000000005e-09,24,-
2015-12-06,5.6000000000000005e-09,6e-09,4.8e-09,5.1e-09,10,-
2015-12-07,5e-09,5.9e-09,5.1e-09,5.8e-09,3,-
2015-12-08,5.8e-09,5.9e-09,5e-09,5.7e-09,11,-
2015-12-09,5.7e-09,5.8e-09,5.1e-09,5.3e-09,13,-
2015-12-10,5.3e-09,5.9e-09,4.8e-09,4.8e-09,27,-
2015-12-11,4.8e-09,5.8e-09,4.8e-09,5.3e-09,5,-
2015-12-12,5.3e-09,5.6000000000000005e-09,4.9e-09,5e-09,0,-
2015-12-13,4.9e-09,7.4e-09,4.9e-09,5.4e-09,66,-
2015-12-14,5.4e-09,4.5e-08,5.4e-09,1.8e-08,479,-
2015-12-15,1.8e-08,1.8999999999999998e-08,5.1e-09,6.1e-09,228,-
2015-12-16,6.1e-09,9e-09,5.2e-09,5.9e-09,3,-
2015-12-17,5.9e-09,9.4e-09,4.9e-09,6.3e-09,21,-
2015-12-18,6.3e-09,7.6e-09,5.3e-09,6.4e-09,2,-
2015-12-19,6.5e-09,7.9e-09,5.4e-09,5.3e-09,10,-
2015-12-20,5.3e-09,6.8000000000000005e-09,5.1e-09,5.7e-09,4,-
2015-12-21,5.8e-09,5.9e-09,5.1e-09,5.2e-09,1,-
2015-12-22,5.2e-09,8.3e-09,5.2e-09,5.2e-09,23,-
2015-12-23,5.2e-09,7.4e-09,5.3e-09,5.5000000000000004e-09,0,-
2015-12-24,5.6000000000000005e-09,7.3e-09,5.5000000000000004e-09,5.6000000000000005e-09,0,-
2015-12-25,5.6000000000000005e-09,8.9e-09,5.6000000000000005e-09,5.8e-09,6,-
2015-12-26,5.9e-09,6.9e-09,5.2e-09,5.6000000000000005e-09,1,-
2015-12-27,5.7e-09,8.1e-09,5.4e-09,8e-09,7,-
2015-12-28,8e-09,8e-09,5.8e-09,5.8e-09,0,-
2015-12-29,5.8e-09,7e-09,5.8e-09,6.6e-09,6,-
2015-12-30,6.7000000000000004e-09,7.2e-09,6.2e-09,6.5e-09,11,-
2015-12-31,6.5e-09,6.9e-09,6.3e-09,6.5e-09,2,-
2016-01-01,6.5e-09,7.1e-09,6.4e-09,6.4e-09,8,-
2016-01-02,6.4e-09,6.8000000000000005e-09,6.1e-09,6.1e-09,8,-
