Date,Open,High,Low,Close,Volume,Market Cap
2017-07-20,6.8,6.95,6.8,6.95,"983,921","51,998,200"
2017-07-21,7.22,8.01,5.0,5.82,"1,020,090","55,185,000"
2017-07-22,5.39,6.13,4.86,5.95,"702,698","41,181,200"
2017-07-23,5.95,7.21,5.69,6.88,"451,767","45,495,200"
2017-07-24,6.71,7.64,6.36,6.67,"438,281","51,329,500"
2017-07-25,6.94,6.97,4.88,6.11,"263,620","53,057,200"
2017-07-26,6.11,6.16,4.91,5.69,"121,000","46,735,800"
2017-07-27,5.61,5.93,5.39,5.47,"86,468","42,884,000"
2017-07-28,5.48,6.15,5.13,5.33,"193,689","41,933,000"
2017-07-29,5.38,5.49,4.94,5.02,"66,003","41,166,400"
2017-07-30,5.03,5.57,5.02,5.46,"67,129","38,477,100"
2017-07-31,5.4,5.52,4.76,5.13,"152,741","41,304,000"
2017-08-01,5.13,6.05,4.75,5.36,"143,405","39,259,800"
2017-08-02,5.36,5.75,5.16,5.21,"89,193","41,067,900"
2017-08-03,5.26,5.78,5.24,5.75,"62,178","40,297,500"
2017-08-04,5.65,5.98,5.52,5.8,"53,803","43,228,400"
2017-08-05,5.79,7.07,5.71,6.77,"85,077","44,379,000"
2017-08-06,6.77,7.35,6.48,6.62,"178,446","51,859,700"
2017-08-07,6.6,7.43,6.43,7.12,"128,399","50,575,200"
2017-08-08,6.8,7.24,5.51,6.72,"139,162","52,083,900"
2017-08-09,6.72,6.79,5.03,5.65,"321,938","51,457,000"
2017-08-10,5.65,6.84,5.46,6.76,"365,844","43,294,000"
2017-08-11,6.63,8.82,6.32,7.85,"951,132","50,803,200"
2017-08-12,7.85,9.96,7.78,9.41,"822,778","60,161,800"
2017-08-13,9.32,9.81,7.75,9.57,"581,556","71,468,800"
2017-08-14,9.55,12.43,8.81,12.08,"1,940,450","73,199,600"
2017-08-15,12.2,13.12,9.21,10.25,"910,936","93,585,000"
2017-08-16,10.26,10.39,9.14,9.44,"511,992","78,736,300"
2017-08-17,9.49,10.49,8.78,8.93,"360,790","72,804,200"
2017-08-18,8.94,9.62,7.87,8.14,"414,517","68,589,100"
2017-08-19,8.14,8.62,6.93,8.14,"312,599","62,437,100"
2017-08-20,8.08,9.0,7.43,7.75,"296,757","62,040,000"
2017-08-21,8.01,8.04,6.69,6.99,"396,110","61,522,000"
2017-08-22,7.0,8.07,6.02,7.78,"658,849","53,752,300"
2017-08-23,7.77,8.86,7.75,8.01,"273,039","59,629,400"
2017-08-24,8.01,8.31,7.77,8.06,"124,812","61,528,400"
2017-08-25,8.04,8.49,7.99,8.35,"97,324","61,772,800"
2017-08-26,8.38,8.67,8.08,8.27,"174,800","64,351,100"
2017-08-27,8.26,9.85,8.22,9.69,"436,408","63,493,700"
2017-08-28,9.7,10.18,8.85,10.09,"249,024","74,525,500"
2017-08-29,10.26,10.84,9.19,9.75,"509,384","78,828,700"
2017-08-30,9.75,11.5,9.64,10.18,"710,423","74,932,000"
2017-08-31,10.17,11.62,10.15,11.62,"885,794","78,152,000"
2017-09-01,11.65,13.67,11.32,13.67,"671,737","89,581,900"
2017-09-02,13.69,13.78,11.42,12.09,"340,407","105,249,000"
2017-09-03,12.1,12.46,11.32,12.03,"186,201","93,047,800"
2017-09-04,12.03,12.05,9.36,10.23,"349,726","92,526,400"
2017-09-05,10.19,11.67,8.98,11.48,"297,952","78,417,100"
2017-09-06,11.5,12.53,10.87,11.32,"363,552","88,458,600"
2017-09-07,11.33,11.4,10.63,11.34,"213,756","87,170,900"
2017-09-08,11.33,11.33,9.17,9.76,"285,640","87,220,900"
2017-09-09,9.78,9.92,8.76,9.51,"205,266","75,259,500"
2017-09-10,9.34,9.59,8.38,8.94,"121,121","71,867,000"
2017-09-11,8.97,9.22,8.5,8.68,"136,508","69,044,000"
2017-09-12,8.68,9.44,7.88,8.13,"219,707","66,805,300"
2017-09-13,7.95,8.55,7.2,7.95,"191,499","61,214,600"
2017-09-14,7.95,8.17,5.94,6.15,"268,359","61,236,700"
2017-09-15,6.19,8.59,5.7,7.66,"279,721","47,706,700"
2017-09-16,7.73,8.39,7.2,7.92,"122,942","59,556,700"
2017-09-17,7.92,8.49,7.71,8.13,"145,366","61,024,300"
2017-09-18,8.12,8.85,7.96,8.16,"209,294","62,549,800"
2017-09-19,8.18,8.51,7.63,7.63,"180,497","63,067,900"
2017-09-20,7.89,8.35,7.43,8.19,"106,929","60,812,300"
2017-09-21,8.15,8.2,6.8,6.85,"117,333","62,807,500"
2017-09-22,6.85,7.23,6.26,6.95,"161,949","52,795,000"
2017-09-23,6.88,7.58,6.84,7.58,"42,375","53,033,100"
2017-09-24,7.57,7.61,6.94,7.11,"62,152","58,369,000"
2017-09-25,7.1,7.61,6.9,7.4,"156,981","54,791,400"
2017-09-26,7.4,7.63,6.61,7.19,"464,401","57,110,000"
2017-09-27,7.08,8.06,7.05,7.85,"295,910","54,637,100"
2017-09-28,7.85,8.73,7.46,7.93,"451,862","60,570,700"
2017-09-29,7.93,7.98,7.37,7.58,"100,653","61,188,200"
2017-09-30,7.58,8.22,7.57,8.2,"107,468","58,498,900"
2017-10-01,8.2,8.4,7.67,7.83,"122,148","63,332,300"
2017-10-02,7.82,8.06,7.67,7.94,"114,720","60,405,200"
2017-10-03,7.94,7.96,7.21,7.39,"161,971","61,294,000"
2017-10-04,7.41,7.76,6.83,6.94,"85,666","57,215,800"
2017-10-05,6.95,6.95,6.46,6.7,"110,697","53,680,200"
2017-10-06,6.7,7.0,6.31,6.53,"196,643","51,778,200"
2017-10-07,6.49,6.71,5.93,6.02,"167,033","50,142,300"
2017-10-08,6.0,6.44,5.44,5.71,"223,593","46,406,300"
2017-10-09,5.71,6.16,5.19,5.38,"228,049","44,150,700"
2017-10-10,5.38,6.23,5.38,5.6,"124,775","41,573,000"
2017-10-11,5.69,6.19,5.45,5.98,"144,450","44,005,000"
2017-10-12,5.99,6.4,5.66,5.7,"205,892","46,300,100"
2017-10-13,5.72,6.47,5.0,6.25,"194,443","44,242,600"
2017-10-14,6.25,6.67,5.76,5.9,"96,582","48,342,700"
2017-10-15,5.97,7.09,5.54,6.47,"148,868","46,180,800"
2017-10-16,6.49,6.79,5.71,6.04,"65,688","50,198,200"
2017-10-17,6.04,6.18,5.4,5.78,"50,440","46,784,600"
2017-10-18,5.79,7.03,5.56,6.31,"176,780","44,779,800"
2017-10-19,6.32,9.52,6.1,6.63,"846,248","48,890,200"
2017-10-20,6.55,7.05,6.32,6.5,"119,424","50,685,300"
2017-10-21,6.49,6.62,5.81,6.07,"51,987","50,240,900"
2017-10-22,6.07,7.65,6.07,6.68,"162,201","47,037,500"
2017-10-23,6.67,7.71,6.22,6.3,"164,132","51,687,000"
2017-10-24,6.29,7.38,6.12,7.0,"153,510","48,732,700"
2017-10-25,7.0,7.15,6.58,6.98,"73,025","54,270,400"
2017-10-26,6.98,6.98,6.17,6.53,"89,243","54,071,800"
2017-10-27,6.51,7.09,6.26,6.74,"66,725","50,436,600"
2017-10-28,6.76,6.85,6.24,6.47,"46,589","52,394,800"
2017-10-29,6.46,8.04,6.44,7.06,"319,171","50,110,000"
2017-10-30,7.02,7.45,6.53,7.24,"155,682","54,438,900"
2017-10-31,7.21,7.5,6.76,6.84,"138,544","55,921,300"
2017-11-01,6.83,7.8,6.74,7.13,"282,037","52,976,900"
2017-11-02,7.14,7.69,6.88,7.11,"196,113","55,364,900"
2017-11-03,7.03,7.62,6.95,7.05,"136,992","54,510,400"
2017-11-04,7.03,8.25,6.92,7.73,"174,866","54,537,500"
2017-11-05,7.71,8.93,7.67,8.64,"305,721","59,855,300"
2017-11-06,8.66,8.69,7.8,7.8,"126,051","67,240,700"
2017-11-07,7.84,8.95,7.84,8.35,"230,313","60,854,600"
2017-11-08,8.32,9.42,8.16,9.02,"483,150","64,632,200"
2017-11-09,9.01,10.31,8.8,9.68,"460,262","69,978,400"
2017-11-10,9.7,10.14,7.74,8.13,"473,936","75,359,800"
