Date,Open,High,Low,Close,Volume,Market Cap
2014-02-10,3.5e-05,3.5e-05,1.8e-05,2e-05,"7,925","270,516"
2014-02-11,2.1e-05,2.8000000000000003e-05,1.3000000000000001e-05,2.7000000000000002e-05,"7,000","167,344"
2014-02-12,2e-05,4e-05,1.9e-05,3.3e-05,"20,180","164,621"
2014-02-13,3.9e-05,3.9e-05,2.4e-05,2.9999999999999997e-05,"15,631","318,812"
2014-02-14,2.9999999999999997e-05,4.1e-05,2.3e-05,4e-05,"16,589","269,327"
2014-02-15,3.3e-05,3.9e-05,2.5e-05,3.3e-05,"16,569","296,087"
2014-02-16,3.3e-05,3.9e-05,2.6000000000000002e-05,3.1e-05,"19,706","291,786"
2014-02-17,3.1e-05,3.9e-05,2.9999999999999997e-05,3.1e-05,"5,174","275,178"
2014-02-18,3.1e-05,9.499999999999999e-05,3.1e-05,5.6000000000000006e-05,"90,884","337,593"
2014-02-19,5.6000000000000006e-05,8.1e-05,5.6000000000000006e-05,6.2e-05,"48,348","619,553"
2014-02-20,5.6000000000000006e-05,6.8e-05,5e-05,5e-05,"19,522","629,312"
2014-02-21,5e-05,6.4e-05,4.8e-05,5.6999999999999996e-05,"21,633","572,114"
2014-02-22,5.6999999999999996e-05,6.4e-05,4.1e-05,4.8e-05,"14,160","668,809"
2014-02-23,4.9e-05,5.5e-05,4.3e-05,4.8e-05,"5,323","574,830"
2014-02-24,4.8e-05,5.5e-05,3.8e-05,3.9e-05,"10,914","582,902"
2014-02-25,3.7e-05,3.7e-05,2.8999999999999997e-05,3.4e-05,124,"446,126"
2014-02-27,4.6e-05,5.5e-05,4e-05,5e-05,"6,763","578,348"
2014-02-28,5e-05,5.6000000000000006e-05,4.4e-05,4.4e-05,"4,856","627,996"
2014-03-01,4.4e-05,9e-05,3.9e-05,4.5e-05,"9,782","560,393"
2014-03-02,4.5e-05,0.00032599999999999996,2.2e-05,4.5e-05,"9,972","584,608"
2014-03-03,4.5e-05,9.8e-05,2.3e-05,5.6999999999999996e-05,"17,687","586,366"
2014-03-04,5.6999999999999996e-05,6.2e-05,3.1e-05,4.5e-05,"6,370","752,045"
2014-03-05,4.5e-05,0.00031299999999999996,1.4000000000000001e-05,7e-05,"15,906","599,874"
2014-03-06,6.8e-05,8.9e-05,5.6999999999999996e-05,6.2e-05,"6,111","963,370"
2014-03-07,6.2e-05,0.000125,2.5e-05,5.2000000000000004e-05,"19,817","836,670"
2014-03-08,5.6999999999999996e-05,5.7999999999999994e-05,1.8e-05,4.7e-05,"5,111","777,247"
2014-03-09,4.7e-05,0.00028199999999999997,3.8e-05,3.8e-05,"4,449","655,289"
2014-03-10,4.5e-05,0.000338,3.8e-05,4.9e-05,"6,333","623,927"
2014-03-11,4.9e-05,5.6000000000000006e-05,2.3e-05,4.1e-05,"10,829","697,674"
2014-03-12,4.9e-05,5.3e-05,2.2e-05,4.5e-05,"9,646","697,630"
2014-03-13,4.5e-05,5.2000000000000004e-05,4.1e-05,4.3e-05,"7,430","655,795"
2014-03-14,4.3e-05,0.000258,2.6000000000000002e-05,5.4000000000000005e-05,"23,782","631,836"
2014-03-15,5.4000000000000005e-05,5.6000000000000006e-05,3.2e-05,4.4e-05,"15,764","793,935"
2014-03-16,4.4e-05,4.5e-05,3.2e-05,3.8e-05,"9,843","647,824"
2014-03-17,3.8e-05,4.6e-05,3.7e-05,3.8e-05,"7,628","568,663"
2014-03-18,3.7e-05,4.2e-05,2.5e-05,3.1e-05,"11,608","567,830"
2014-03-19,3.1e-05,3.7e-05,2.7000000000000002e-05,2.9999999999999997e-05,"5,214","473,872"
2014-03-20,2.9999999999999997e-05,3.5e-05,2.8999999999999997e-05,2.9999999999999997e-05,"3,880","470,408"
2014-03-21,2.9999999999999997e-05,4.1e-05,2.8999999999999997e-05,3.4e-05,"14,523","461,617"
