Date,Open,High,Low,Close,Volume,Market Cap
2017-11-03,0.000505,0.000576,0.000499,0.0005740000000000001,"17,310",-
2017-11-04,0.000502,0.00073,0.000298,0.000586,"15,142",-
2017-11-05,0.000516,0.0013390000000000001,0.00044,0.001286,"31,510",-
2017-11-06,0.001109,0.0012490000000000001,0.000651,0.0008089999999999999,"6,390",-
2017-11-07,0.0009050000000000001,0.0010550000000000002,0.0007769999999999999,0.0008619999999999999,"6,227","408,756"
2017-11-08,0.000925,0.0010400000000000001,0.000661,0.0009720000000000001,"6,432","418,405"
2017-11-09,0.0009710000000000001,0.001396,0.000851,0.001137,"17,508","439,506"
2017-11-10,0.001141,0.001458,0.0008439999999999999,0.0009480000000000001,"12,116","516,499"
2017-11-11,0.0009449999999999999,0.001088,0.000831,0.000852,"3,601","428,965"
2017-11-12,0.0009550000000000001,0.001016,0.000789,0.0008539999999999999,"3,012","434,248"
2017-11-13,0.000822,0.000992,0.0007740000000000001,0.0009689999999999999,"3,951","374,030"
2017-11-14,0.000953,0.001241,0.0009019999999999999,0.000991,"5,703","434,278"
2017-11-15,0.000992,0.001296,0.000992,0.001259,"3,985","452,238"
2017-11-16,0.001214,0.00164,0.001143,0.0016010000000000002,"7,508","554,240"
2017-11-17,0.001519,0.0025210000000000002,0.001519,0.002449,"24,412","693,885"
2017-11-18,0.002548,0.004483,0.002222,0.00294,"37,466","1,165,670"
2017-11-19,0.003198,0.0032619999999999997,0.002353,0.002675,"18,146","1,464,410"
2017-11-20,0.0024850000000000002,0.002778,0.0020559999999999997,0.0023899999999999998,"21,525","1,139,020"
2017-11-21,0.002392,0.002898,0.0020239999999999998,0.002428,"13,011","1,097,500"
2017-11-22,0.002434,0.0033350000000000003,0.002113,0.002433,"12,906","1,118,170"
2017-11-23,0.002432,0.002726,0.00212,0.002328,"18,579","1,118,420"
2017-11-24,0.0023239999999999997,0.0027010000000000003,0.00227,0.002523,"10,159","1,069,950"
2017-11-25,0.002518,0.0030559999999999997,0.002396,0.003054,"27,678","1,160,250"
2017-11-26,0.003053,0.004565,0.0028989999999999997,0.004422,"61,102","1,408,190"
2017-11-27,0.004419,0.007129000000000001,0.004352,0.006241,"98,309","2,040,500"
2017-11-28,0.005555,0.009483,0.005174,0.009124,"130,014","2,567,530"
2017-11-29,0.009114,0.026531,0.006808,0.007441,"147,661","4,216,500"
2017-11-30,0.00763,0.00975,0.004422,0.009177,"93,591","3,533,840"
2017-12-01,0.009216,0.024762,0.008596,0.00965,"50,018","4,272,370"
2017-12-02,0.010356,0.010356,0.008436,0.008579,"45,349","4,805,720"
2017-12-03,0.009186,0.009757,0.006648,0.008274,"77,250","4,266,740"
2017-12-04,0.008301000000000001,0.009118000000000001,0.0067989999999999995,0.008101,"54,607","3,859,690"
