Date,Open,High,Low,Close,Volume,Market Cap
2017-04-17,0.8315,1.07,0.796905,1.07,"3,733",-
2017-04-18,1.07,1.33,0.8121,1.33,"11,299",-
2017-04-19,1.21,1.64,1.21,1.45,"5,050",-
2017-04-20,1.45,1.67,0.920407,1.65,"6,513",-
2017-04-21,1.65,1.65,0.8445309999999999,1.34,"9,706",-
2017-04-22,1.34,1.47,1.1,1.45,"3,406","7,135,520"
2017-04-23,1.45,1.45,0.917897,0.9661299999999999,"10,439","7,712,150"
2017-04-24,0.967994,1.39,0.734598,0.952564,"13,612","5,232,300"
2017-04-25,0.9524299999999999,1.39,0.952297,1.27,"11,478","5,148,170"
2017-04-26,1.27,1.34,1.02,1.19,"10,014","6,848,730"
2017-04-27,1.19,1.41,0.905697,0.923702,"13,845","6,450,680"
2017-04-28,1.05,1.19,0.9188629999999999,1.04,"10,179","5,704,540"
2017-04-29,1.04,1.26,1.04,1.07,"8,786","5,639,280"
2017-04-30,1.07,1.13,0.927739,0.9647120000000001,"11,160","5,798,150"
2017-05-01,0.9644790000000001,1.16,0.9612850000000001,0.9719620000000001,"39,759","5,219,080"
2017-05-02,0.971175,1.29,0.8265129999999999,0.995603,"14,493","5,255,320"
2017-05-03,0.996334,1.27,0.873699,0.873699,"2,742","5,391,460"
2017-05-04,0.8740690000000001,1.25,0.602384,0.7929609999999999,"11,433","4,729,850"
2017-05-05,0.794134,1.33,0.624057,1.01,"11,549","4,297,300"
2017-05-06,1.02,1.9,1.02,1.42,"22,599","5,499,670"
2017-05-07,1.43,3.07,1.42,3.03,"30,722","7,717,670"
2017-05-08,3.03,3.3,1.51,1.73,"8,431","16,404,900"
2017-05-09,1.73,2.16,1.49,1.49,"3,963","9,364,680"
2017-05-10,1.49,1.82,1.49,1.5,"1,308","8,086,880"
2017-05-11,1.51,1.93,1.49,1.59,"30,248","8,150,300"
2017-05-12,1.59,1.59,1.15,1.18,"15,309","8,610,050"
2017-05-13,1.17,1.49,1.12,1.38,"17,457","6,354,960"
2017-05-14,1.39,1.62,1.39,1.45,"13,358","7,516,270"
2017-05-15,1.45,1.68,1.37,1.4,"19,431","7,831,930"
2017-05-16,1.4,1.62,1.37,1.41,"15,208","7,595,230"
2017-05-17,1.41,1.6,1.16,1.27,"18,019","7,635,030"
2017-05-18,1.27,1.63,1.25,1.27,"5,730","6,879,510"
2017-05-19,1.27,1.68,1.21,1.34,"11,269","6,862,210"
2017-05-20,1.34,1.72,1.07,1.46,"9,409","7,266,570"
2017-05-21,1.46,1.63,1.01,1.43,"56,496","7,928,270"
2017-05-22,1.43,1.8,1.22,1.52,"8,335","7,757,820"
2017-05-23,1.52,1.83,1.25,1.51,"2,378","8,237,610"
2017-05-24,1.51,2.02,1.51,1.73,"4,816","8,185,390"
2017-05-25,1.73,2.99,1.63,1.86,"15,646","9,388,220"
