Date,Open,High,Low,Close,Volume,Market Cap
2014-10-25,7.000000000000001e-06,1e-05,7.000000000000001e-06,7.000000000000001e-06,707,"24,519"
2014-10-26,7.000000000000001e-06,1.3000000000000001e-05,7.000000000000001e-06,1.1e-05,"2,234","24,407"
2014-10-27,1.1e-05,1.7e-05,7.000000000000001e-06,1e-05,"2,857","40,807"
2014-10-28,1e-05,1.1e-05,4e-06,4e-06,"2,185","37,687"
2014-10-29,4e-06,1.1e-05,4e-06,7.000000000000001e-06,"1,221","15,542"
2014-10-30,7.000000000000001e-06,1.1e-05,4e-06,7.000000000000001e-06,"1,116","26,243"
2014-10-31,7.000000000000001e-06,7.000000000000001e-06,3e-06,7.000000000000001e-06,"1,444","25,912"
2014-11-01,7.000000000000001e-06,7.000000000000001e-06,4e-06,4e-06,269,"25,137"
2014-11-02,4e-06,6e-06,3e-06,5e-06,295,"15,363"
2014-11-03,5e-06,7.000000000000001e-06,3e-06,4e-06,286,"18,086"
2014-11-04,4e-06,7.000000000000001e-06,3e-06,5e-06,551,"14,550"
2014-11-05,5e-06,7.000000000000001e-06,3e-06,4e-06,"1,592","17,533"
2014-11-06,4e-06,7.000000000000001e-06,4e-06,4e-06,203,"14,112"
2014-11-07,4e-06,7.000000000000001e-06,4e-06,4e-06,101,"13,586"
2014-11-08,4e-06,7.000000000000001e-06,3e-06,4e-06,"1,707","14,844"
2014-11-09,4e-06,6e-06,4e-06,6e-06,538,"15,560"
2014-11-10,6e-06,6e-06,4e-06,4e-06,147,"21,373"
2014-11-11,4e-06,4e-06,4e-06,4e-06,134,"14,845"
2014-11-12,4e-06,4e-06,4e-06,4e-06,102,"14,467"
2014-11-13,4e-06,5e-06,4e-06,4e-06,214,"16,056"
2014-11-14,4e-06,4e-06,4e-06,4e-06,101,"15,645"
2014-11-15,4e-06,4e-06,4e-06,4e-06,171,"14,638"
2014-11-16,4e-06,6e-06,4e-06,5e-06,160,"14,941"
2014-11-17,5e-06,8e-06,4e-06,4e-06,235,"19,468"
2014-11-18,4e-06,4e-06,4e-06,4e-06,174,"14,399"
2014-11-19,4e-06,7.000000000000001e-06,4e-06,4e-06,492,"13,905"
2014-11-20,4e-06,8e-06,4e-06,4e-06,366,"14,183"
2014-11-21,4e-06,4e-06,3e-06,4e-06,87,"13,303"
2014-11-22,4e-06,4e-06,4e-06,4e-06,37,"13,210"
2014-11-23,4e-06,5e-06,4e-06,4e-06,66,"13,396"
2014-11-24,4e-06,4e-06,4e-06,4e-06,143,"13,125"
2014-11-25,4e-06,4e-06,3e-06,3e-06,22,"13,889"
2014-11-26,3e-06,4e-06,3e-06,3e-06,16,"10,796"
2014-11-27,3e-06,4e-06,3e-06,4e-06,134,"10,050"
2014-11-28,4e-06,4e-06,4e-06,4e-06,9,"13,703"
2014-11-29,4e-06,6e-06,4e-06,4e-06,75,"13,954"
2014-11-30,4e-06,4e-06,4e-06,4e-06,59,"13,562"
2014-12-01,4e-06,6e-06,4e-06,6e-06,119,"14,043"
2014-12-02,6e-06,6e-06,4e-06,4e-06,131,"20,423"
2014-12-03,4e-06,6e-06,4e-06,5e-06,46,"16,538"
2014-12-04,5e-06,6e-06,4e-06,5e-06,377,"17,764"
2014-12-05,5e-06,7.000000000000001e-06,4e-06,5e-06,22,"17,331"
