Date,Open,High,Low,Close,Volume,Market Cap
2014-01-20,0.072872,0.209013,0.06357,0.202121,"14,602","66,178"
2014-01-21,0.201994,0.202707,0.085642,0.179607,"13,404","193,581"
2014-01-22,0.27664,0.323996,0.223217,0.24145300000000003,"21,147","281,910"
2014-01-23,0.30451100000000003,0.444479,0.278904,0.444479,"50,128","321,975"
2014-01-24,0.450251,0.526742,0.37096799999999996,0.37900700000000004,"26,869","499,373"
2014-01-25,0.392546,0.442129,0.320861,0.344466,"19,322","453,116"
2014-01-26,0.341476,0.356423,0.306381,0.32534,"12,561","411,888"
2014-01-27,0.32509,0.407729,0.29179,0.336943,"16,763","400,787"
2014-01-28,0.356668,0.411958,0.347783,0.381758,"15,008","445,996"
2014-01-29,0.38056,0.390248,0.317076,0.317349,"7,749","483,140"
2014-01-30,0.323355,0.352761,0.310053,0.339007,"4,260","417,532"
2014-01-31,0.335404,0.354628,0.29083200000000003,0.332375,"10,074","441,643"
2014-02-01,0.33185,0.49608500000000005,0.33099,0.416954,"31,268","447,682"
2014-02-02,0.42102,0.76076,0.35630700000000004,0.76076,"80,009","579,702"
2014-02-03,0.709286,1.64,0.585,1.64,"175,201","999,739"
2014-02-04,1.61,4.54,1.44,4.54,"1,000,060","2,329,270"
2014-02-05,4.8,10.12,4.07,5.4,"1,480,360","7,094,260"
2014-02-06,5.66,6.71,5.0,5.38,"817,727","8,571,370"
2014-02-07,4.9,5.31,4.43,4.78,"441,589","7,585,800"
2014-02-08,4.76,4.76,3.21,3.45,"332,129","7,468,430"
2014-02-09,3.42,4.33,3.1,4.3,"493,625","5,467,450"
2014-02-10,4.11,4.12,2.97,3.68,"395,001","6,672,920"
2014-02-11,3.66,3.86,3.27,3.47,"264,439","6,054,540"
2014-02-12,3.47,3.47,2.55,3.19,"391,122","5,837,000"
2014-02-13,3.18,3.18,2.64,2.73,"233,428","5,438,560"
2014-02-14,2.71,2.71,2.24,2.42,"308,127","4,713,830"
2014-02-15,2.43,2.69,2.37,2.45,"219,887","4,291,820"
2014-02-16,2.45,2.45,1.81,1.91,"186,464","4,395,970"
2014-02-17,1.92,1.95,1.62,1.64,"196,586","3,500,100"
2014-02-18,1.63,1.63,1.41,1.42,"189,928","3,012,790"
2014-02-19,1.42,3.02,1.38,3.02,"951,079","2,671,470"
2014-02-20,2.94,2.94,1.77,1.89,"560,787","5,620,120"
2014-02-21,1.97,1.97,1.77,1.95,"157,513","3,822,190"
2014-02-22,1.98,2.13,1.88,2.02,"134,519","3,900,760"
2014-02-23,2.03,2.03,1.78,1.82,"127,817","4,054,050"
2014-02-24,1.82,1.85,1.51,1.55,"133,245","3,692,000"
2014-02-25,1.52,1.63,1.3,1.62,"115,446","3,127,630"
2014-02-26,1.63,1.91,1.62,1.89,"163,095","3,402,400"
2014-02-27,1.89,1.92,1.8,1.82,"49,930","3,990,420"
2014-02-28,1.81,1.86,1.73,1.74,"109,025","3,888,370"
2014-03-01,1.74,1.78,1.69,1.69,"88,108","3,777,500"
2014-03-02,1.7,1.71,1.53,1.61,"100,550","3,748,940"
2014-03-03,1.62,1.99,1.58,1.86,"151,606","3,611,060"
2014-03-04,1.84,1.97,1.75,1.78,"184,159","4,171,450"
2014-03-05,1.8,1.83,1.56,1.67,"113,278","4,121,550"
2014-03-06,1.68,1.68,1.5,1.59,"105,465","3,895,220"
2014-03-07,1.59,1.6,1.26,1.41,"93,317","3,724,650"
2014-03-08,1.41,1.44,1.25,1.4,"74,305","3,361,910"
2014-03-09,1.4,1.64,1.39,1.56,"120,261","3,360,190"
2014-03-10,1.56,1.56,1.38,1.39,"73,429","3,794,630"
2014-03-11,1.39,1.44,1.27,1.32,"68,568","3,435,420"
2014-03-12,1.32,1.35,1.27,1.29,"61,456","3,287,310"
2014-03-13,1.3,1.31,1.22,1.23,"54,713","3,273,820"
2014-03-14,1.23,1.26,1.02,1.06,"83,218","3,127,260"
2014-03-15,1.06,1.11,0.865713,0.989275,"95,533","2,725,290"
2014-03-16,0.9897389999999999,1.01,0.821259,0.8221780000000001,"60,646","2,577,970"
2014-03-17,0.804195,0.911866,0.761994,0.85715,"72,735","2,117,850"
2014-03-18,0.8565139999999999,0.867711,0.815832,0.842015,"40,410","2,279,740"
2014-03-19,0.84093,1.12,0.821626,1.09,"149,663","2,263,150"
2014-03-20,1.09,1.47,1.06,1.25,"347,802","2,966,710"
2014-03-21,1.25,1.54,1.2,1.42,"244,183","3,437,780"
2014-03-22,1.41,2.1,1.36,1.82,"883,171","3,933,590"
2014-03-23,1.82,1.94,1.7,1.83,"380,274","5,130,120"
2014-03-24,1.84,2.02,1.6,1.74,"350,786","5,220,160"
2014-03-25,1.74,1.74,1.5,1.5,"131,556","5,007,860"
2014-03-26,1.49,1.72,1.42,1.64,"204,301","4,331,390"
2014-03-27,1.63,1.63,1.28,1.28,"130,975","4,766,190"
2014-03-28,1.29,1.42,1.25,1.35,"101,948","3,819,280"
2014-03-29,1.36,1.38,1.28,1.32,"87,739","4,075,220"
2014-03-30,1.32,1.33,1.14,1.22,"64,636","3,987,320"
2014-03-31,1.2,1.25,1.14,1.17,"62,646","3,658,130"
2014-04-01,1.16,1.23,1.1,1.15,"85,078","3,578,450"
2014-04-02,1.15,1.16,1.01,1.01,"50,743","3,576,470"
2014-04-03,1.01,1.03,0.864477,1.02,"52,279","3,151,900"
2014-04-04,1.02,1.02,0.942876,0.979866,"38,587","3,224,700"
2014-04-05,0.978189,1.0,0.9352209999999999,0.9524040000000001,"24,558","3,115,140"
2014-04-06,0.9552120000000001,0.9757620000000001,0.840197,0.894274,"58,541","3,068,240"
2014-04-07,0.8958959999999999,0.909429,0.8643219999999999,0.879337,"33,294","2,893,700"
2014-04-08,0.8765639999999999,0.905741,0.861656,0.9033110000000001,"31,718","2,868,510"
2014-04-09,0.903493,1.18,0.903482,1.1,"187,731","2,981,390"
2014-04-10,1.09,1.1,0.8037529999999999,0.8142560000000001,"50,220","3,645,550"
2014-04-11,0.811824,1.0,0.801219,0.966543,"33,456","2,727,850"
2014-04-12,0.966435,1.02,0.958433,0.9897729999999999,"40,415","3,275,880"
2014-04-13,0.990448,1.02,0.9300780000000001,0.9678559999999999,"64,455","3,384,210"
2014-04-14,0.969448,1.08,0.9271389999999999,1.03,"73,780","3,339,700"
2014-04-15,1.03,1.14,0.990345,1.12,"60,497","3,586,200"
2014-04-16,1.12,1.18,1.06,1.11,"54,176","3,903,660"
2014-04-17,1.11,1.13,0.9928629999999999,1.02,"42,891","3,933,930"
2014-04-18,1.02,1.06,0.970935,0.9813620000000001,"50,506","3,626,770"
2014-04-19,0.981245,1.05,0.9649989999999999,1.04,"25,933","3,516,050"
2014-04-20,1.04,1.04,0.9860540000000001,0.992592,"32,466","3,742,090"
2014-04-21,0.991883,1.02,0.9526879999999999,0.956513,"33,725","3,607,630"
2014-04-22,0.956149,0.999275,0.926847,0.926847,"43,217","3,504,960"
2014-04-23,0.92755,0.9521569999999999,0.9225129999999999,0.936083,"30,753","3,427,340"
2014-04-24,0.935425,0.966498,0.9254870000000001,0.963032,"47,036","3,485,350"
2014-04-25,0.962449,1.02,0.8684270000000001,0.915975,"90,282","3,614,380"
2014-04-26,0.924517,0.9842920000000001,0.9001819999999999,0.9231,"32,301","3,499,020"
2014-04-27,0.9207120000000001,0.9415309999999999,0.8563299999999999,0.8568879999999999,"28,422","3,510,580"
2014-04-28,0.848182,0.8560760000000001,0.8052819999999999,0.837159,"28,818","3,261,090"
2014-04-29,0.834868,0.8639120000000001,0.8219139999999999,0.8592360000000001,"31,387","3,233,490"
2014-04-30,0.858714,0.951234,0.8480479999999999,0.882842,"22,698","3,350,060"
2014-05-01,0.8828299999999999,0.923132,0.870591,0.8990819999999999,"37,880","3,470,850"
2014-05-02,0.899141,0.90251,0.8532790000000001,0.859599,"15,664","3,561,860"
2014-05-03,0.8594379999999999,0.860403,0.8022819999999999,0.8085600000000001,"26,485","3,430,280"
2014-05-04,0.809689,0.86388,0.78317,0.827808,"34,945","3,253,940"
2014-05-05,0.824997,0.82915,0.773307,0.784263,"23,596","3,340,210"
2014-05-06,0.783589,0.802709,0.744943,0.766558,"27,251","3,195,360"
2014-05-07,0.767151,0.817757,0.7404149999999999,0.801184,"37,997","3,149,810"
2014-05-08,0.800937,0.810493,0.7482439999999999,0.791996,"27,263","3,308,270"
2014-05-09,0.791247,0.9529629999999999,0.783934,0.8576879999999999,"110,545","3,293,210"
2014-05-10,0.857668,1.01,0.857668,0.9448549999999999,"123,347","3,594,490"
2014-05-11,0.9437719999999999,0.9907450000000001,0.8867139999999999,0.924908,"110,433","3,984,370"
2014-05-12,0.9237629999999999,0.9618899999999999,0.8888219999999999,0.935311,"83,941","3,924,930"
2014-05-13,0.9354370000000001,1.07,0.920954,1.05,"165,809","4,002,780"
2014-05-14,1.05,1.28,1.03,1.16,"332,095","4,526,870"
2014-05-15,1.16,1.31,1.12,1.27,"83,256","5,026,590"
2014-05-16,1.28,1.29,0.957923,1.03,"207,969","5,590,830"
2014-05-17,1.03,1.1,0.969828,1.03,"88,607","4,543,640"
2014-05-18,1.03,1.09,0.9956440000000001,1.0,"36,977","4,574,890"
2014-05-19,1.0,1.01,0.950032,0.975305,"51,195","4,455,220"
2014-05-20,0.9659760000000001,1.06,0.955335,1.0,"93,382","4,329,890"
2014-05-21,1.01,1.03,0.9614950000000001,1.01,"62,204","4,538,280"
2014-05-22,1.01,1.01,0.909907,0.9245549999999999,"105,506","4,605,040"
2014-05-23,0.9270459999999999,1.08,0.842564,1.07,"160,258","4,236,460"
2014-05-24,1.07,1.09,0.978159,1.05,"125,083","4,899,200"
2014-05-25,1.05,1.08,1.02,1.04,"75,563","4,868,360"
