Date,Open,High,Low,Close,Volume,Market Cap
2016-10-29,4293.37,5941.8,2006.47,2044.47,"2,532,790","1,383,590"
2016-10-30,2014.38,2028.46,504.54,574.82,"1,009,210","959,342"
2016-10-31,570.91,2217.64,472.73,1624.58,"4,333,820","593,240"
2016-11-01,1599.72,2027.05,1189.33,1333.74,"4,802,060","2,895,110"
2016-11-02,1326.29,1409.07,872.41,942.78,"3,936,160","3,701,650"
2016-11-03,940.66,1067.59,863.81,887.26,"2,783,300","3,728,630"
2016-11-04,887.66,889.8,601.84,603.98,"2,469,390","4,734,940"
2016-11-05,599.52,634.0,501.69,504.57,"1,984,150","4,167,660"
2016-11-06,504.27,507.5,320.54,321.79,"2,390,590","4,422,370"
2016-11-07,319.23,345.94,236.0,236.0,"1,808,930","3,436,850"
2016-11-08,233.78,308.64,178.98,308.64,"2,578,200","3,035,070"
2016-11-09,331.69,374.12,222.51,255.58,"3,706,020","5,098,610"
2016-11-10,254.94,257.49,224.83,226.17,"1,255,400","4,580,450"
2016-11-11,224.67,226.17,183.24,183.36,"1,173,130","4,667,530"
2016-11-12,183.02,189.54,144.11,144.11,"1,167,540","4,372,390"
2016-11-13,143.17,146.23,117.26,117.26,"1,401,920","3,875,970"
2016-11-14,117.55,117.82,97.18,105.06,"1,418,260","3,594,280"
2016-11-15,105.16,131.22,97.43,109.34,"2,030,660","3,600,530"
2016-11-16,109.71,115.62,96.92,96.95,"1,443,840","4,190,380"
2016-11-17,97.48,100.42,85.39,87.64,"915,597","4,107,780"
2016-11-18,87.33,88.84,70.47,70.64,"1,032,890","4,064,910"
2016-11-19,71.12,72.0,64.63,65.7,"822,655","3,622,130"
2016-11-20,65.29,67.63,60.27,60.27,"598,211","3,632,640"
2016-11-21,59.96,60.23,53.94,54.02,"711,312","3,627,400"
2016-11-22,54.01,72.02,53.39,57.9,"1,326,320","3,546,160"
2016-11-23,57.54,87.68,57.4,77.56,"2,391,080","4,077,640"
2016-11-24,78.43,102.42,69.08,97.19,"4,090,150","5,998,180"
2016-11-25,96.64,106.89,88.17,91.33,"3,525,760","7,953,550"
2016-11-26,91.13,92.36,76.02,77.3,"1,902,290","8,032,700"
2016-11-27,77.33,80.42,66.66,69.83,"1,465,100","7,286,500"
2016-11-28,69.26,75.52,66.21,70.96,"1,262,350","6,962,100"
2016-11-29,71.84,77.66,67.96,68.72,"1,275,680","7,698,550"
2016-11-30,68.76,72.94,66.71,68.69,"1,389,900","7,833,490"
2016-12-01,68.46,68.46,62.49,63.03,"1,247,650","8,268,910"
2016-12-02,63.63,64.5,60.32,60.32,"1,201,460","8,145,410"
2016-12-03,59.85,60.85,58.66,59.53,"837,752","8,086,360"
2016-12-04,59.46,62.11,58.35,58.39,"825,231","8,458,930"
2016-12-05,58.39,58.59,50.81,50.93,"1,036,500","8,728,140"
2016-12-06,50.97,53.08,47.48,48.74,"1,386,070","7,977,960"
2016-12-07,48.74,61.18,47.71,54.61,"1,479,950","7,982,650"
2016-12-08,54.0,57.45,53.28,53.3,"797,234","9,229,090"
2016-12-09,53.38,53.44,49.7,50.37,"674,180","9,506,630"
2016-12-10,50.35,50.54,48.11,49.78,"539,462","9,328,520"
2016-12-11,49.6,50.56,48.34,48.48,"512,219","9,544,090"
2016-12-12,48.48,50.12,48.33,49.92,"650,266","9,674,570"
2016-12-13,50.02,50.02,46.55,46.78,"600,625","10,340,500"
2016-12-14,46.82,47.24,43.13,44.33,"801,444","10,014,600"
2016-12-15,44.41,44.41,40.08,40.31,"658,957","9,817,220"
2016-12-16,40.48,42.3,40.06,40.22,"417,793","9,235,150"
2016-12-17,40.22,40.22,35.8,35.84,"668,641","9,464,260"
2016-12-18,35.82,40.63,35.14,36.44,"603,727","8,685,170"
2016-12-19,36.55,37.48,33.91,34.47,"544,746","9,123,560"
2016-12-20,34.55,40.06,34.24,36.02,"1,105,810","8,869,190"
2016-12-21,36.17,39.32,35.77,36.29,"892,439","9,545,130"
2016-12-22,36.29,48.57,36.28,47.76,"2,591,110","9,840,030"
2016-12-23,48.02,63.97,45.97,52.05,"4,812,040","13,371,200"
2016-12-24,51.99,54.89,47.51,48.24,"1,362,700","14,847,800"
2016-12-25,48.52,50.01,44.06,45.85,"927,218","14,195,300"
2016-12-26,45.89,46.91,42.67,43.59,"896,655","13,753,700"
2016-12-27,43.5,48.31,42.16,44.38,"1,034,630","13,352,300"
2016-12-28,44.02,54.11,43.72,48.49,"2,236,980","13,824,500"
2016-12-29,48.43,52.93,48.43,50.99,"1,191,160","15,557,400"
2016-12-30,50.52,52.24,49.97,50.38,"960,167","16,595,400"
2016-12-31,50.48,50.48,48.01,48.1,"534,660","16,941,000"
2017-01-01,48.05,49.06,47.97,48.47,"530,961","16,468,900"
2017-01-02,48.36,50.26,48.14,49.79,"795,244","16,919,100"
2017-01-03,50.09,51.71,48.61,50.04,"1,131,760","17,880,500"
2017-01-04,49.8,57.25,49.72,57.03,"1,998,750","18,137,500"
2017-01-05,57.22,59.77,47.7,49.84,"2,845,970","21,251,900"
2017-01-06,49.79,52.24,45.74,47.46,"1,202,660","18,845,700"
2017-01-07,47.71,47.87,44.01,47.38,"1,084,960","18,393,900"
2017-01-08,47.39,48.17,45.62,46.11,"831,332","18,617,800"
2017-01-09,46.12,46.47,45.59,46.1,"668,273","18,441,800"
2017-01-10,46.22,46.37,45.03,45.66,"749,575","18,817,000"
2017-01-11,45.63,46.04,39.76,40.05,"1,211,260","18,903,600"
2017-01-12,40.07,45.42,39.44,42.81,"1,387,920","16,884,400"
2017-01-13,42.66,44.47,42.28,43.21,"691,680","18,284,300"
2017-01-14,43.21,44.04,42.9,43.64,"575,149","18,834,500"
2017-01-15,43.63,45.41,43.02,45.15,"806,839","19,324,100"
2017-01-16,45.1,45.23,43.3,43.46,"667,903","20,288,200"
2017-01-17,43.58,45.25,43.4,44.68,"1,087,180","19,924,600"
2017-01-18,44.74,44.98,41.95,43.92,"963,419","20,774,000"
2017-01-19,43.89,44.35,42.99,44.25,"589,695","20,688,300"
2017-01-20,44.22,44.22,43.12,43.65,"682,880","21,162,900"
2017-01-21,43.6,44.42,43.39,43.51,"691,633","21,181,600"
2017-01-22,43.5,44.49,42.79,43.31,"812,956","21,444,100"
2017-01-23,43.34,43.61,42.79,42.85,"611,189","21,673,400"
2017-01-24,42.67,43.42,41.41,41.41,"661,979","21,641,900"
2017-01-25,41.41,42.08,39.69,40.15,"831,920","21,303,700"
2017-01-26,40.09,41.55,37.64,38.52,"1,161,820","20,909,800"
2017-01-27,38.71,40.16,37.9,38.22,"939,370","20,464,400"
2017-01-28,38.23,38.98,38.09,38.2,"571,993","20,487,000"
2017-01-29,38.26,41.53,38.24,38.67,"890,475","20,775,300"
2017-01-30,38.65,40.31,38.52,39.98,"764,947","21,264,100"
2017-01-31,39.8,40.45,38.94,39.52,"973,401","22,181,100"
2017-02-01,39.57,40.29,39.44,39.89,"635,382","22,332,800"
2017-02-02,39.91,40.04,38.64,39.24,"678,128","22,811,500"
2017-02-03,39.25,39.31,38.01,39.02,"843,232","22,712,100"
2017-02-04,39.04,39.55,38.52,39.34,"635,301","22,873,800"
2017-02-05,39.37,39.45,38.12,38.16,"615,852","23,346,500"
2017-02-06,38.18,38.26,37.58,37.59,"639,128","22,919,200"
2017-02-07,37.63,37.78,35.46,36.42,"966,072","22,856,400"
2017-02-08,36.45,36.75,34.58,35.3,"951,820","22,402,200"
2017-02-09,35.32,36.13,32.25,33.34,"1,148,210","21,961,100"
2017-02-10,33.35,33.44,31.93,32.7,"602,423","20,974,100"
2017-02-11,32.71,33.67,32.15,32.76,"521,365","20,803,800"
2017-02-12,32.7,32.98,31.61,31.61,"515,968","21,034,500"
2017-02-13,31.52,31.82,30.1,30.38,"771,020","20,493,800"
2017-02-14,30.4,32.6,30.2,32.37,"750,407","19,988,100"
2017-02-15,32.3,34.17,31.15,33.55,"852,288","21,469,300"
2017-02-16,33.56,34.22,32.52,32.56,"679,495","22,549,000"
2017-02-17,32.54,32.79,31.73,32.01,"495,639","22,094,500"
2017-02-18,32.1,32.3,30.77,30.84,"638,843","22,025,200"
2017-02-19,30.79,31.28,30.48,30.58,"515,481","21,350,900"
2017-02-20,30.6,31.19,30.36,30.87,"556,168","21,434,000"
2017-02-21,30.89,30.89,29.6,29.9,"685,559","21,859,000"
2017-02-22,29.93,30.08,26.93,27.16,"1,044,580","21,400,000"
2017-02-23,27.18,32.62,26.15,29.98,"1,441,340","19,626,800"
2017-02-24,30.11,31.81,28.47,30.23,"1,180,920","21,953,500"
2017-02-25,30.12,30.71,28.58,29.15,"508,970","22,177,700"
2017-02-26,29.14,29.96,28.48,29.45,"505,969","21,661,100"
2017-02-27,29.37,37.96,29.36,35.94,"2,214,690","22,047,100"
2017-02-28,36.42,38.4,34.41,37.3,"2,551,690","27,596,000"
2017-03-01,37.28,41.45,37.19,41.41,"2,376,490","28,517,700"
2017-03-02,41.58,42.3,39.3,39.67,"2,385,790","32,105,400"
2017-03-03,39.71,42.0,37.73,41.8,"2,223,230","30,944,900"
2017-03-04,41.86,43.63,39.92,41.64,"1,619,630","32,919,300"
2017-03-05,41.67,41.74,39.11,39.44,"802,597","33,074,800"
2017-03-06,39.44,40.33,37.83,40.32,"1,250,700","31,577,900"
2017-03-07,40.13,40.64,38.02,38.03,"1,051,440","32,420,300"
