Date,Open,High,Low,Close,Volume,Market Cap
2016-11-10,5.27,7.0,4.66,5.23,"35,136","164,050"
2016-11-11,5.23,5.65,3.98,3.99,"32,506","200,113"
2016-11-12,3.99,4.84,2.38,3.52,"34,364","181,284"
2016-11-13,3.52,5.05,3.52,4.84,"57,773","185,607"
2016-11-14,4.88,5.75,3.99,4.13,"50,653","292,814"
2016-11-15,4.17,5.54,3.92,4.8,"38,490","280,435"
2016-11-16,4.8,5.28,4.08,4.09,"23,768","357,876"
2016-11-17,4.1,4.13,3.05,3.63,"22,162","334,640"
2016-11-18,3.63,3.76,2.76,2.82,"26,938","322,177"
2016-11-19,2.82,2.9,2.62,2.68,"16,553","270,793"
2016-11-20,2.69,2.76,2.44,2.49,"20,105","278,062"
2016-11-21,2.49,2.52,1.86,1.98,"30,389","274,113"
2016-11-22,1.93,1.98,1.23,1.44,"20,878","226,277"
2016-11-23,1.44,1.58,1.28,1.29,"10,639","178,748"
2016-11-24,1.29,1.45,1.28,1.29,"12,476","168,846"
2016-11-25,1.3,1.81,1.29,1.54,"16,635","179,184"
2016-11-26,1.65,1.78,1.46,1.48,"10,915","240,109"
2016-11-27,1.48,1.53,1.18,1.18,"21,793","225,094"
2016-11-28,1.18,1.22,0.997009,1.0,"15,883","188,500"
2016-11-29,1.0,1.0,0.699681,0.7293149999999999,"14,105","166,847"
2016-11-30,0.729981,0.818078,0.724558,0.7456229999999999,"5,487","126,843"
2016-12-01,0.745599,0.792901,0.619687,0.688214,"7,158","134,702"
2016-12-02,0.6889149999999999,0.712933,0.5757680000000001,0.600884,"5,000","129,430"
2016-12-03,0.601069,0.601218,0.555392,0.5667760000000001,"3,606","117,141"
2016-12-04,0.566765,0.592182,0.544258,0.5585479999999999,"4,558","114,529"
2016-12-05,0.558802,0.56293,0.47340699999999997,0.475495,"2,763","116,783"
2016-12-06,0.475523,0.528089,0.427831,0.449297,"4,366","102,796"
2016-12-07,0.44333900000000004,0.448949,0.393497,0.394702,"2,629","98,953"
2016-12-08,0.395246,0.419404,0.384893,0.384893,"2,827","91,089"
2016-12-09,0.384123,0.43374300000000005,0.384123,0.388056,"3,380","91,210"
2016-12-10,0.38816,0.41533000000000003,0.38658400000000004,0.38927,"2,338","95,007"
2016-12-11,0.389297,0.5403060000000001,0.384412,0.5173270000000001,"5,597","98,010"
2016-12-12,0.517568,0.518066,0.41305299999999995,0.44081099999999995,"3,880","133,985"
2016-12-13,0.435229,0.46392700000000003,0.421306,0.42471899999999996,"2,290","115,738"
2016-12-14,0.424105,0.43775600000000003,0.393167,0.393675,"2,005","115,844"
2016-12-15,0.39438,0.42155200000000004,0.38960300000000003,0.390046,"1,236","110,505"
2016-12-16,0.390085,0.638792,0.390085,0.46333500000000005,"26,120","112,086"
2016-12-17,0.46348999999999996,0.512721,0.46348999999999996,0.47921800000000003,"2,689","136,544"
2016-12-18,0.47923599999999994,0.506486,0.446917,0.447267,"4,739","144,603"
2016-12-19,0.44727700000000004,0.470516,0.425728,0.43004799999999993,"2,668","138,080"
2016-12-20,0.429796,0.458104,0.429796,0.44528199999999996,"2,152","135,687"
2016-12-21,0.44528199999999996,0.47698900000000005,0.436759,0.442245,"3,956","143,754"
2016-12-22,0.44219200000000003,0.472467,0.440723,0.445024,"5,033","145,901"
2016-12-23,0.444851,0.539636,0.444851,0.474958,"3,713","149,920"
2016-12-24,0.531352,0.532044,0.444842,0.44654799999999994,"3,547","183,037"
2016-12-25,0.446647,0.446647,0.391273,0.400752,"2,912","156,818"
2016-12-26,0.40107,0.43578999999999996,0.385841,0.390366,"1,571","143,563"
2016-12-27,0.390366,0.442015,0.373101,0.37511700000000003,"5,421","142,596"
2016-12-28,0.375335,0.417001,0.375335,0.393796,"2,315","139,667"
2016-12-29,0.393475,0.41828699999999996,0.378284,0.380573,"4,622","149,319"
2016-12-30,0.380581,0.40752,0.363191,0.375899,"1,975","146,861"
2016-12-31,0.375893,0.447871,0.37354899999999996,0.388694,"2,765","147,749"
2017-01-01,0.38871700000000003,0.403702,0.379257,0.392851,"2,936","155,603"
2017-01-02,0.392989,0.465394,0.383748,0.40996499999999997,"8,232","160,153"
2017-01-03,0.409792,0.424124,0.386181,0.407882,"1,592","169,920"
2017-01-04,0.408131,0.44422700000000004,0.377787,0.421588,"9,634","172,083"
2017-01-05,0.422339,0.493841,0.349528,0.372201,"5,771","181,099"
2017-01-06,0.37251599999999996,0.38982,0.323606,0.33102800000000004,"4,362","162,445"
2017-01-07,0.3315,0.34441700000000003,0.303193,0.335189,"2,175","146,884"
2017-01-08,0.335043,0.369356,0.33236,0.358406,"3,550","150,815"
