Date,Open,High,Low,Close,Volume,Market Cap
2017-06-01,10.75,21.8,9.67,11.33,"3,196",-
2017-06-02,11.34,14.48,6.86,9.09,"23,401",-
2017-06-03,9.08,17.69,5.5,9.16,"23,728",-
2017-06-04,9.13,13.86,5.16,10.32,"26,662",-
2017-06-05,10.57,19.06,8.11,19.06,"3,495,730",-
2017-06-06,19.13,19.18,15.55,16.84,"1,989,300",-
2017-06-07,16.85,17.09,12.76,13.05,"1,101,790","23,967,400"
2017-06-08,12.93,14.63,5.26,8.12,"1,732,100","18,482,300"
2017-06-09,8.29,11.28,8.24,8.82,"1,128,090","11,905,900"
2017-06-10,8.82,9.88,7.79,8.15,"485,824","12,729,300"
2017-06-11,8.15,10.86,7.24,10.22,"364,843","11,815,100"
2017-06-12,10.41,11.64,8.54,9.49,"508,947","15,166,600"
2017-06-13,9.45,10.89,8.87,10.21,"233,285","13,842,700"
2017-06-14,10.2,11.89,8.36,8.77,"324,085","15,013,000"
2017-06-15,9.18,9.58,7.19,8.53,"258,595","13,570,700"
2017-06-16,8.5,8.97,7.71,8.38,"243,002","12,620,200"
2017-06-17,8.37,8.86,7.75,7.88,"188,220","12,491,300"
2017-06-18,7.84,8.46,6.28,6.79,"315,384","11,763,000"
2017-06-19,6.62,7.31,6.27,6.55,"458,862","9,977,440"
2017-06-20,6.55,7.12,6.44,6.44,"232,102","9,906,850"
2017-06-21,6.47,7.7,6.42,6.5,"280,990","9,791,250"
2017-06-22,6.5,7.21,6.43,6.86,"200,342","9,826,540"
2017-06-23,6.86,10.0,6.86,9.18,"615,053","10,376,700"
2017-06-24,9.17,9.49,7.95,8.1,"197,645","13,879,600"
2017-06-25,8.08,8.26,6.77,7.06,"188,597","12,227,200"
2017-06-26,7.05,7.53,5.79,6.39,"245,934","10,669,300"
2017-06-27,6.67,6.76,5.64,6.33,"168,652","10,097,800"
2017-06-28,6.48,6.59,5.47,6.21,"249,964","9,808,020"
2017-06-29,6.21,7.02,5.62,5.62,"156,999","9,395,640"
2017-06-30,5.82,6.09,5.13,5.18,"158,316","8,798,980"
2017-07-01,5.22,5.72,4.46,4.73,"149,683","8,305,310"
2017-07-02,4.52,5.4,4.32,4.86,"113,632","7,232,180"
2017-07-03,5.0,5.26,4.43,4.83,"150,365","8,016,110"
2017-07-04,5.04,6.23,4.83,5.58,"182,075","8,081,120"
2017-07-05,5.57,5.98,5.38,5.5,"110,432","8,933,640"
2017-07-06,5.5,5.51,4.94,5.12,"104,429","8,821,710"
2017-07-07,5.12,5.73,4.89,5.0,"99,876","8,204,300"
2017-07-08,5.0,5.2,4.56,4.6,"77,084","8,019,220"
2017-07-09,4.6,5.2,4.51,4.51,"77,663","7,374,940"
2017-07-10,4.52,5.03,3.99,4.3,"111,956","7,244,080"
2017-07-11,4.29,4.9,3.75,4.0,"99,142","6,873,910"
2017-07-12,3.94,4.39,3.85,4.13,"78,137","6,314,570"
2017-07-13,4.13,5.01,4.0,4.02,"106,360","6,626,390"
2017-07-14,4.02,4.31,3.77,4.01,"60,051","6,438,480"
2017-07-15,4.0,4.37,3.55,3.59,"52,996","6,413,420"
2017-07-16,3.58,3.95,3.28,3.42,"47,648","5,734,670"
2017-07-17,3.3,3.91,3.16,3.79,"99,744","5,292,880"
2017-07-18,3.8,4.32,3.68,3.84,"91,503","6,092,400"
2017-07-19,3.85,4.45,3.84,4.05,"90,234","6,172,300"
2017-07-20,4.04,4.86,4.04,4.78,"110,797","6,467,080"
2017-07-21,4.66,4.75,3.82,4.08,"106,542","7,466,540"
2017-07-22,4.08,4.4,4.03,4.25,"55,549","6,538,980"
2017-07-23,4.38,4.42,3.88,3.97,"58,339","7,012,270"
2017-07-24,3.96,4.13,3.89,3.95,"56,591","6,349,360"
2017-07-25,3.95,4.04,3.48,3.63,"78,753","6,325,710"
2017-07-26,3.64,4.09,3.48,3.68,"55,380","5,826,770"
2017-07-27,3.69,3.97,3.64,3.69,"76,761","5,908,670"
2017-07-28,3.7,4.43,3.7,4.19,"132,315","5,928,070"
2017-07-29,4.17,4.29,3.74,3.94,"51,699","6,686,520"
2017-07-30,3.96,3.99,3.58,3.71,"59,855","6,350,210"
2017-07-31,3.71,3.74,3.09,3.29,"112,113","5,952,040"
2017-08-01,3.3,3.88,3.11,3.51,"81,806","5,282,050"
2017-08-02,3.51,4.3,3.34,3.92,"123,524","5,620,930"
2017-08-03,4.05,5.54,3.86,4.83,"395,230","6,494,870"
2017-08-04,4.82,5.61,4.81,5.34,"174,381","7,732,680"
2017-08-05,5.34,5.64,4.87,5.21,"174,178","8,562,440"
2017-08-06,5.49,5.81,5.06,5.11,"143,448","8,801,610"
2017-08-07,5.12,5.49,4.54,5.22,"155,460","8,200,310"
2017-08-08,5.22,5.65,4.77,5.62,"152,135","8,372,730"
2017-08-09,5.71,5.89,4.92,4.98,"131,344","9,149,740"
2017-08-10,4.98,5.11,4.73,5.02,"177,477","7,982,680"
2017-08-11,5.02,5.6,4.78,5.23,"255,889","8,052,490"
2017-08-12,5.44,5.98,5.23,5.87,"224,760","8,716,040"
2017-08-13,5.84,6.59,5.66,6.4,"264,486","11,085,600"
2017-08-14,6.34,6.44,5.53,5.61,"218,227","12,073,200"
2017-08-15,5.71,6.41,5.0,5.81,"208,688","10,922,700"
2017-08-16,5.82,6.42,5.28,5.57,"202,633","11,175,800"
2017-08-17,5.44,8.7,5.14,7.63,"1,057,820","10,484,500"
2017-08-18,7.43,8.17,6.62,6.75,"327,931","14,376,900"
2017-08-19,6.74,7.84,6.61,7.62,"332,545","13,081,300"
2017-08-20,7.73,7.87,7.15,7.54,"200,055","15,064,100"
2017-08-21,7.51,7.9,6.53,6.67,"286,852","14,675,800"
2017-08-22,6.72,6.96,5.93,6.68,"186,140","13,178,400"
2017-08-23,6.66,7.77,6.56,7.52,"257,292","13,119,500"
2017-08-24,7.45,9.97,7.28,9.02,"917,657","14,722,100"
2017-08-25,9.26,9.39,8.22,8.54,"366,466","18,371,300"
2017-08-26,8.72,9.05,7.94,9.05,"292,991","17,349,900"
2017-08-27,9.03,9.61,8.05,9.19,"357,312","18,037,800"
2017-08-28,9.2,12.17,8.53,11.33,"943,996","18,442,300"
2017-08-29,11.4,12.3,10.64,11.09,"588,334","22,946,200"
2017-08-30,11.09,12.09,10.92,11.4,"302,192","22,388,700"
2017-08-31,11.37,13.43,10.88,12.88,"796,268","23,044,100"
2017-09-01,12.89,13.03,11.7,12.77,"322,921","26,204,400"
2017-09-02,12.79,13.09,10.09,10.6,"366,283","26,091,300"
2017-09-03,10.61,10.73,8.68,9.97,"364,773","21,730,300"
2017-09-04,9.98,10.2,6.82,8.12,"563,803","20,496,700"
2017-09-05,8.06,9.15,7.07,8.64,"302,971","16,623,300"
2017-09-06,8.66,10.7,8.5,10.41,"329,524","17,919,700"
2017-09-07,10.17,10.62,9.58,9.92,"301,193","21,117,900"
2017-09-08,9.96,10.18,7.94,8.26,"280,861","20,751,400"
2017-09-09,8.3,8.75,7.83,8.37,"165,846","17,346,100"
2017-09-10,8.33,8.69,7.51,7.86,"162,879","17,460,500"
2017-09-11,7.88,9.34,7.67,7.93,"204,588","16,581,200"
2017-09-12,7.92,8.35,7.52,7.69,"129,754","16,728,800"
2017-09-13,7.69,7.77,6.34,6.79,"197,428","16,296,000"
2017-09-14,6.92,6.96,5.61,5.66,"136,672","14,709,100"
2017-09-15,5.7,7.18,5.17,7.1,"160,224","12,157,900"
2017-09-16,7.07,7.25,6.43,6.95,"103,831","15,134,800"
2017-09-17,6.96,7.1,6.52,6.81,"80,260","14,937,800"
2017-09-18,6.85,7.55,6.67,7.55,"129,904","14,748,300"
2017-09-19,7.42,7.47,6.74,6.77,"98,777","16,025,700"
2017-09-20,6.75,7.3,6.63,6.82,"155,140","14,639,100"
2017-09-21,6.83,8.47,6.39,6.84,"943,154","14,850,700"
2017-09-22,6.77,7.9,6.63,7.02,"502,130","14,777,400"
2017-09-23,6.96,7.41,6.91,7.02,"156,965","14,964,900"
2017-09-24,7.02,7.27,6.74,6.98,"135,262","15,141,700"
2017-09-25,6.98,8.34,6.92,8.04,"261,447","15,096,800"
2017-09-26,8.04,8.32,7.61,7.88,"221,413","17,448,900"
2017-09-27,7.87,8.84,7.86,8.8,"400,524","17,133,900"
2017-09-28,8.92,9.37,8.53,8.7,"340,872","19,466,800"
2017-09-29,8.69,8.79,7.75,7.98,"235,118","19,029,600"
2017-09-30,7.98,8.25,7.95,8.16,"154,880","17,535,300"
2017-10-01,8.16,8.24,7.72,8.03,"183,135","17,988,500"
2017-10-02,8.0,8.09,7.59,7.78,"161,306","17,692,800"
2017-10-03,7.78,7.94,6.84,7.48,"226,186","17,265,200"
2017-10-04,7.51,7.53,6.6,6.84,"182,234","16,710,500"
2017-10-05,6.84,7.29,6.54,7.02,"156,574","15,257,000"
2017-10-06,7.07,7.52,6.69,6.88,"149,421","15,761,800"
2017-10-07,6.89,7.02,6.02,6.53,"200,945","15,349,000"
2017-10-08,6.56,6.67,5.97,5.98,"147,748","14,619,100"
2017-10-09,5.98,6.41,5.27,6.41,"232,187","13,341,800"
2017-10-10,6.37,6.38,5.32,5.53,"156,024","14,198,500"
2017-10-11,5.66,6.28,5.37,6.12,"170,826","12,615,700"
2017-10-12,6.13,7.67,5.88,7.16,"339,841","13,657,300"
2017-10-13,7.18,9.01,6.6,7.25,"1,027,130","16,005,800"
2017-10-14,7.27,7.92,6.95,7.18,"262,810","16,205,800"
2017-10-15,7.17,7.53,6.62,6.89,"136,679","15,979,100"
2017-10-16,6.89,7.42,6.49,7.29,"207,719","15,369,900"
2017-10-17,7.14,7.5,6.54,7.06,"222,375","15,907,100"
